Nom;Poids (kg);Conso (W);Cout (€);Durée Vie LEO (an);Origine (Pays);Couple (Nm);Moment angulaire (Nms)
RW 1 type A - Astrofein;0,065;0,62;;1;Allemagne;0,000023;0,000058
RW 1 type B - Astrofein;0,057;0,62;;1;Allemagne;0,000004;0,0001
RW 250 - Astrofein;2,5;13;;7;Allemagne;0,095;3,7
RW 35 - Astrofein;0,5;4;;5;Allemagne;0,005;0,1
RW 90 - Astrofein;0,9;3,5;;7;Allemagne;0,015;0,34
TA6494 - Tamagawa Seiki;1,1;3;;;Japon;0,02;0,3
RW 0,01 - Rocket Lab;0,12;0,25;19000;;Etats-Unis;0,001;0,01
RW 0,03 - Rocket Lab;0,185;0,3;23750;;Etats-Unis;0,002;0,03
RW 0,06 - Rocket Lab;0,226;0,5;33250;;Etats-Unis;0,02;0,06
RW 1 - Rocket Lab;1,38;5,3;76000;;Etats-Unis;0,1;1
RW 4 - Rocket Lab;5;38;114000;;Etats-Unis;0,2;12
RW 5 - Rocket Lab;5;38;95000;;Etats-Unis;0,2;12
RWA05 - Berlin Space Technologies;1,7;0,5;;5;Allemagne;0,016;0,5
RWA05-24 - Berlin Space Technologies;1,7;0,5;;5;Allemagne;0,0086;0,5
RWA 15 - L3Harris Technologies;14;57;;7;Etats-Unis;0,5;20
RWP015 - Blue Canyon Technologies;0,13;1;;5;Etats-Unis;0,004;0,015
RWP050 - Blue Canyon Technologies;0,24;1;;5;Etats-Unis;0,007;0,05
RWP100 - Blue Canyon Technologies;0,33;1;;5;Etats-Unis;0,007;0,1
RWP500 - Blue Canyon Technologies;0,75;6;;10;Etats-Unis;0,025;0,5
RW1 - Blue Canyon Technologies;0,95;9;;10;Etats-Unis;0,1;1
RW4 - Blue Canyon Technologies;3,2;10;;10;Etats-Unis;0,25;4
RW8 - Blue Canyon Technologies;4,4;10;;10;Etats-Unis;0,25;8
W18 - Bradford Space;5,2;29;;;Etats-Unis;0,265;18
W18E - Bradford Space;5,65;29;;;Etats-Unis;0,265;22
W18ES - Bradford Space;6,02;29;;;Etats-Unis;0,265;25
W45 - Bradford Space;6,7;29;;;Etats-Unis;0,248;40
W45E - Bradford Space;7,45;29;;;Etats-Unis;0,248;45
