"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensors:    Active                               "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Jun 2023 10:00:00.000 to 8 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,12836.403
44.413,33.852,13406.928
44.413,34.000,14030.828
44.485,33.704,12835.951
44.485,33.852,13115.437
44.485,34.000,13711.745
44.485,34.148,14030.295
44.557,33.556,12835.979
44.557,33.704,13406.615
44.557,33.852,13406.366
44.557,34.000,13114.745
44.557,34.148,13406.294
44.557,34.296,13406.031
44.628,33.556,13406.905
44.628,33.704,13406.444
44.628,33.852,13406.024
44.628,34.000,12835.167
44.628,34.148,12567.503
44.628,34.296,12567.393
44.700,33.556,14030.003
44.700,33.704,13711.034
44.700,33.852,12835.272
44.700,34.000,12567.285
44.700,34.148,12834.467
44.700,34.296,12834.305
44.700,34.444,12566.765
44.772,33.556,12835.123
44.772,33.704,13405.539
44.772,33.852,13113.890
44.772,34.000,12834.636
44.772,34.148,12834.241
44.772,34.296,12834.079
44.772,34.444,12834.157
44.772,34.593,13113.001
44.844,33.556,12310.163
44.844,33.704,12566.776
44.844,33.852,13404.967
44.844,34.000,13404.917
44.844,34.148,12566.876
44.844,34.296,12834.148
44.844,34.444,13404.359
44.844,34.593,13112.483
44.844,34.741,12565.453
44.844,34.889,12308.593
44.844,35.037,12308.457
44.916,33.704,12566.142
44.916,33.852,12566.248
44.916,34.000,12566.455
44.916,34.148,13709.457
44.916,34.296,13404.535
44.916,34.444,12565.824
44.916,34.593,12832.765
44.916,34.741,12564.825
44.916,34.889,12307.928
44.916,35.037,12307.618
44.916,35.185,12307.516
44.988,33.704,12309.327
44.988,33.852,12309.283
44.988,34.000,12833.355
44.988,34.148,12565.850
44.988,34.296,12833.141
44.988,34.444,12832.818
44.988,34.593,12308.278
44.988,34.741,12307.836
44.988,34.889,12564.035
44.988,35.037,12061.015
44.988,35.185,12060.652
44.988,35.333,12060.514
45.060,33.704,12309.278
45.060,33.852,12833.079
45.060,34.000,12565.112
45.060,34.148,12308.295
45.060,34.296,12308.031
45.060,34.444,12564.491
45.060,34.593,12832.002
45.060,34.741,12061.405
45.060,34.889,12060.856
45.060,35.037,12060.648
45.060,35.185,12060.346
45.060,35.333,11595.890
45.060,35.926,11595.795
45.060,36.074,11165.901
45.060,36.222,11165.522
45.060,36.370,11165.549
45.132,33.556,12565.830
45.132,33.704,12565.267
45.132,33.852,12564.845
45.132,34.000,12564.495
45.132,34.148,12307.556
45.132,34.296,12307.278
45.132,34.444,12307.152
45.132,34.593,12060.840
45.132,34.741,12307.104
45.132,34.889,12060.718
45.132,35.037,11596.112
45.132,35.185,11595.771
45.132,35.333,11595.530
45.132,35.481,11376.344
45.132,35.630,11376.175
45.132,35.778,11376.165
45.132,35.926,11165.469
45.132,36.074,11376.438
45.132,36.222,11376.656
45.132,36.370,11376.346
45.204,33.259,12062.003
45.204,33.407,12308.372
45.204,33.556,12564.967
45.204,33.704,12061.983
45.204,33.852,12307.707
45.204,34.000,12307.311
45.204,34.148,12307.105
45.204,34.296,12060.574
45.204,34.444,12060.270
45.204,34.593,11823.574
45.204,34.741,11595.944
45.204,34.889,11595.919
45.204,35.037,11166.214
45.204,35.185,11376.541
45.204,35.333,11376.248
45.204,35.481,11376.148
45.204,35.630,11165.249
45.204,35.778,11165.099
45.204,35.926,11165.147
45.204,36.074,11376.110
45.204,36.222,11376.395
45.204,36.370,11166.012
45.276,33.111,11597.587
45.276,33.259,12307.717
45.276,33.407,12307.527
45.276,33.556,12307.269
45.276,33.704,12307.198
45.276,33.852,12061.051
45.276,34.000,11596.700
45.276,34.148,12060.308
45.276,34.296,12060.073
45.276,34.444,11376.989
45.276,34.593,11595.444
45.276,34.741,11376.387
45.276,34.889,11376.185
45.276,35.037,11376.179
45.276,35.185,11376.298
45.276,35.333,10766.508
45.276,35.481,11165.138
45.276,35.630,11165.062
45.276,35.778,10962.074
45.276,35.926,11375.916
45.276,36.074,11375.993
45.276,36.222,11376.241
45.276,36.370,11595.583
45.348,32.667,12307.530
45.348,33.111,12307.334
45.348,33.259,12060.835
45.348,33.407,12306.753
45.348,33.556,12306.511
45.348,33.704,12060.176
45.348,33.852,12060.034
45.348,34.000,12060.078
45.348,34.148,11376.943
45.348,34.296,11376.678
45.348,34.444,11595.191
45.348,34.593,11165.351
45.348,34.741,11165.155
45.348,34.889,11375.698
45.348,35.037,11164.936
45.348,35.185,11164.893
45.348,35.333,10962.021
45.348,35.778,11375.917
45.348,35.926,11165.322
45.348,36.074,11165.496
45.348,36.222,11595.413
45.348,36.370,12059.477
45.420,32.519,12060.343
45.420,32.667,11823.838
45.420,32.815,12060.756
45.420,32.963,11377.789
45.420,33.111,11823.726
45.420,33.259,12306.358
45.420,33.407,12306.163
45.420,33.556,11823.086
45.420,33.704,12059.474
45.420,33.852,11822.738
45.420,34.000,11595.108
45.420,34.148,11595.039
45.420,34.296,10962.195
45.420,34.444,10961.908
45.420,34.593,11375.643
45.420,34.741,11375.525
45.420,34.889,10961.508
45.420,35.037,11164.531
45.420,35.185,11164.538
45.420,36.074,11822.924
45.420,36.222,11822.860
45.420,36.370,12059.502
45.420,36.519,12059.624
45.492,32.667,12059.819
45.492,32.815,12305.973
45.492,32.963,12305.914
45.492,33.111,11823.082
45.492,33.259,11595.360
45.492,33.407,11595.204
45.492,33.556,11822.542
45.492,33.704,11375.920
45.492,33.852,11375.682
45.492,34.000,11375.535
45.492,34.148,11375.368
45.492,34.296,11375.341
45.492,34.444,10961.518
45.492,34.593,10576.610
45.492,34.741,10765.442
45.492,34.889,11164.370
45.492,35.037,10961.263
45.492,35.185,10961.356
45.563,32.815,12058.938
45.563,32.963,12058.837
45.563,33.111,12058.757
45.563,33.259,11375.922
45.563,33.407,10961.748
45.563,33.556,11164.598
45.563,33.704,10961.470
45.563,33.852,11164.336
45.563,34.000,11164.124
45.563,34.148,11164.088
45.563,34.296,11164.040
45.563,34.444,11164.016
45.563,34.593,10765.254
45.563,34.741,10576.179
45.563,34.889,10765.199
45.563,35.037,10765.435
45.635,32.963,11594.026
45.635,33.111,11375.127
45.635,33.259,11593.797
45.635,33.407,11374.985
45.635,33.556,10765.025
45.635,33.704,10764.829
45.635,33.852,10960.608
45.635,34.000,10575.946
45.635,34.148,10960.497
45.635,34.296,10960.450
45.635,34.444,10960.559
45.635,34.593,11163.744
45.635,34.741,11163.963
45.635,34.889,10576.269
45.635,35.037,10765.284
45.707,33.111,11374.184
45.707,33.259,11163.345
45.707,33.407,11163.373
45.707,33.556,11374.076
45.707,33.704,10764.408
45.707,33.852,10575.238
45.707,34.000,10575.242
45.707,34.148,10764.260
45.707,34.296,10575.480
45.707,34.444,10960.272
45.707,34.593,10960.462
45.707,34.741,11163.903
45.707,34.889,11374.865
45.779,33.407,10959.587
45.779,33.556,10959.559
45.779,33.704,10959.718
45.779,33.852,10763.926
45.779,34.000,10574.875
45.779,34.148,10574.918
