"Coverage Properties"
"Custom Regions Coverage                                             "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 0.1000 (deg)                                            "
"Number of Points: 2638                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Sensors:    Active                                "
"Satellite/Satellite011/Sensor/Sensor1:    Active            "
"Satellite/Satellite012/Sensor/Sensor2:    Active            "
"Satellite/Satellite021/Sensor/Sensor3:    Active            "
"Satellite/Satellite022/Sensor/Sensor4:    Active            "
"Satellite/Satellite031/Sensor/Sensor5:    Active            "
"Satellite/Satellite032/Sensor/Sensor6:    Active            "
"Satellite/Satellite041/Sensor/Sensor7:    Active            "
"Satellite/Satellite042/Sensor/Sensor8:    Active            "
"Access Interval: 1 Jun 2023 10:00:00.000 to 15 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,4929.796
44.413,33.852,4909.350
44.413,34.000,4869.093
44.485,33.704,4828.768
44.485,33.852,4848.517
44.485,34.000,4888.473
44.485,34.148,4908.700
44.557,33.556,4847.842
44.557,33.704,4808.557
44.557,33.852,4789.135
44.557,34.000,4847.818
44.557,34.148,4828.102
44.557,34.296,4887.795
44.628,33.556,4750.016
44.628,33.704,4788.493
44.628,33.852,4807.906
44.628,34.000,4788.398
44.628,34.148,4807.853
44.628,34.296,4827.413
44.700,33.556,4730.504
44.700,33.704,4787.755
44.700,33.852,4768.497
44.700,34.000,4730.494
44.700,34.148,4787.757
44.700,34.296,4787.731
44.700,34.444,4768.541
44.772,33.556,4767.943
44.772,33.704,4710.997
44.772,33.852,4748.736
44.772,34.000,4767.893
44.772,34.148,4710.995
44.772,34.296,4673.831
44.772,34.444,4710.990
44.772,34.593,4729.722
44.844,33.556,4767.246
44.844,33.704,4748.170
44.844,33.852,4673.224
44.844,34.000,4673.149
44.844,34.148,4691.655
44.844,34.296,4691.653
44.844,34.444,4691.585
44.844,34.593,4654.747
44.844,34.741,4654.760
44.844,34.889,4729.043
44.844,35.037,4673.089
44.916,33.704,4672.562
44.916,33.852,4691.073
44.916,34.000,4672.524
44.916,34.148,4654.108
44.916,34.296,4635.861
44.916,34.444,4635.872
44.916,34.593,4635.836
44.916,34.741,4635.772
44.916,34.889,4617.661
44.916,35.037,4617.634
44.916,35.185,4599.755
44.988,33.704,4617.213
44.988,33.852,4635.283
44.988,34.000,4635.261
44.988,34.148,4563.807
44.988,34.296,4617.118
44.988,34.444,4635.168
44.988,34.593,4581.322
44.988,34.741,4563.584
44.988,34.889,4598.968
44.988,35.037,4598.959
44.988,35.185,4563.568
44.988,35.333,4581.207
45.060,33.704,4563.093
45.060,33.852,4580.728
45.060,34.000,4598.504
45.060,34.148,4563.105
45.060,34.296,4545.528
45.060,34.444,4562.949
45.060,34.593,4580.628
45.060,34.741,4562.947
45.060,34.889,4527.910
45.060,35.037,4510.669
45.060,35.185,4527.920
45.060,35.333,4527.890
45.060,35.926,4493.395
45.060,36.074,4527.787
45.060,36.222,4493.386
45.060,36.370,4493.406
45.132,33.556,4493.082
45.132,33.704,4493.077
45.132,33.852,4527.366
45.132,34.000,4527.384
45.132,34.148,4544.845
45.132,34.296,4544.864
45.132,34.444,4493.000
45.132,34.593,4492.918
45.132,34.741,4509.986
45.132,34.889,4459.058
45.132,35.037,4475.895
45.132,35.185,4475.814
45.132,35.333,4475.748
45.132,35.481,4475.787
45.132,35.630,4492.763
45.132,35.778,4458.867
45.132,35.926,4458.778
45.132,36.074,4458.751
45.132,36.222,4425.462
45.132,36.370,4442.155
45.204,33.259,4458.506
45.204,33.407,4492.308
45.204,33.556,4492.296
45.204,33.704,4458.410
45.204,33.852,4475.292
45.204,34.000,4475.317
45.204,34.148,4458.437
45.204,34.296,4492.228
45.204,34.444,4475.217
45.204,34.593,4408.533
45.204,34.741,4424.972
45.204,34.889,4458.245
45.204,35.037,4424.892
45.204,35.185,4424.867
45.204,35.333,4424.863
45.204,35.481,4424.870
45.204,35.630,4458.103
45.204,35.778,4441.378
45.204,35.926,4391.934
45.204,36.074,4375.653
45.204,36.222,4408.219
45.204,36.370,4408.180
45.276,33.111,4440.924
45.276,33.259,4457.747
45.276,33.407,4440.970
45.276,33.556,4407.861
45.276,33.704,4407.919
45.276,33.852,4424.320
45.276,34.000,4424.217
45.276,34.148,4407.736
45.276,34.296,4391.380
45.276,34.444,4407.695
45.276,34.593,4391.396
45.276,34.741,4391.363
45.276,34.889,4375.045
45.276,35.037,4375.080
45.276,35.185,4391.332
45.276,35.333,4391.209
45.276,35.481,4374.931
45.276,35.630,4374.949
45.276,35.778,4358.806
45.276,35.926,4358.854
45.276,36.074,4391.192
45.276,36.222,4358.746
45.276,36.370,4342.740
45.348,32.667,4358.176
45.348,33.111,4374.387
45.348,33.259,4358.321
45.348,33.407,4374.494
45.348,33.556,4358.335
45.348,33.704,4374.445
45.348,33.852,4358.313
45.348,34.000,4326.336
45.348,34.148,4342.188
45.348,34.296,4374.271
45.348,34.444,4342.174
45.348,34.593,4358.168
45.348,34.741,4342.194
45.348,34.889,4326.300
45.348,35.037,4326.273
45.348,35.185,4358.118
45.348,35.333,4310.450
45.348,35.778,4310.393
45.348,35.926,4326.166
45.348,36.074,4310.387
45.348,36.222,4294.741
45.348,36.370,4310.308
45.420,32.519,4357.440
45.420,32.667,4325.546
45.420,32.815,4294.042
45.420,32.963,4294.067
45.420,33.111,4309.700
45.420,33.259,4309.761
45.420,33.407,4309.799
45.420,33.556,4325.583
45.420,33.704,4294.114
45.420,33.852,4294.126
45.420,34.000,4294.121
45.420,34.148,4263.090
45.420,34.296,4294.016
45.420,34.444,4294.047
45.420,34.593,4278.509
45.420,34.741,4325.487
45.420,34.889,4309.702
45.420,35.037,4278.474
45.420,35.185,4263.014
