"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Aug 2023 10:00:00.000 to 8 Aug 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,3637.227
44.413,33.852,3614.709
44.413,34.000,3592.546
44.485,33.704,3526.373
44.485,33.852,3547.896
44.485,34.000,3569.651
44.485,34.148,3591.645
44.557,33.556,3483.242
44.557,33.704,3483.188
44.557,33.852,3483.286
44.557,34.000,3546.928
44.557,34.148,3525.483
44.557,34.296,3504.357
44.628,33.556,3482.312
44.628,33.704,3441.243
44.628,33.852,3503.260
44.628,34.000,3482.299
44.628,34.148,3482.297
44.628,34.296,3461.647
44.700,33.556,3419.912
44.700,33.704,3420.084
44.700,33.852,3419.988
44.700,34.000,3400.083
44.700,34.148,3440.196
44.700,34.296,3460.676
44.700,34.444,3420.062
44.772,33.556,3379.254
44.772,33.704,3379.273
44.772,33.852,3359.766
44.772,34.000,3340.434
44.772,34.148,3359.684
44.772,34.296,3359.627
44.772,34.444,3340.439
44.772,34.593,3321.422
44.844,33.556,3320.155
44.844,33.704,3301.370
44.844,33.852,3301.383
44.844,34.000,3320.187
44.844,34.148,3301.260
44.844,34.296,3301.244
44.844,34.444,3301.338
44.844,34.593,3301.566
44.844,34.741,3301.505
44.844,34.889,3320.223
44.844,35.037,3320.166
44.916,33.704,3263.062
44.916,33.852,3281.453
44.916,34.000,3263.098
44.916,34.148,3226.904
44.916,34.296,3209.060
44.916,34.444,3209.216
44.916,34.593,3281.489
44.916,34.741,3244.926
44.916,34.889,3244.762
44.916,35.037,3244.704
44.916,35.185,3244.716
44.988,33.704,3207.716
44.988,33.852,3207.704
44.988,34.000,3172.735
44.988,34.148,3172.786
44.988,34.296,3172.864
44.988,34.444,3190.148
44.988,34.593,3207.678
44.988,34.741,3207.662
44.988,34.889,3190.051
44.988,35.037,3172.610
44.988,35.185,3172.621
44.988,35.333,3207.678
45.060,33.704,3136.900
45.060,33.852,3136.951
45.060,34.000,3120.248
45.060,34.148,3087.309
45.060,34.296,3103.834
45.060,34.444,3137.226
45.060,34.593,3137.027
45.060,34.741,3136.938
45.060,34.889,3136.917
45.060,35.037,3120.115
45.060,35.185,3120.124
45.060,35.333,3136.911
45.060,35.926,3103.856
45.060,36.074,3137.290
45.060,36.222,3120.305
45.060,36.370,3136.990
45.132,33.556,3021.185
45.132,33.704,3021.178
45.132,33.852,3021.265
45.132,34.000,3021.457
45.132,34.148,3053.256
45.132,34.296,3053.228
45.132,34.444,3053.201
45.132,34.593,3037.186
45.132,34.741,3021.304
45.132,34.889,3021.284
45.132,35.037,3021.339
45.132,35.185,3021.304
45.132,35.333,3021.272
45.132,35.481,3021.309
45.132,35.630,3037.198
45.132,35.778,3053.243
45.132,35.926,3053.299
45.132,36.074,3069.340
45.132,36.222,3037.254
45.132,36.370,3021.309
45.204,33.259,2928.163
45.204,33.407,2928.104
45.204,33.556,2928.068
45.204,33.704,2913.369
45.204,33.852,2913.449
45.204,34.000,2943.036
45.204,34.148,2958.029
45.204,34.296,2958.002
45.204,34.444,2928.148
45.204,34.593,2928.122
45.204,34.741,2898.880
45.204,34.889,2898.854
45.204,35.037,2928.053
45.204,35.185,2913.404
45.204,35.333,2898.853
45.204,35.481,2898.889
45.204,35.630,2928.174
45.204,35.778,2943.070
45.204,35.926,2958.019
45.204,36.074,2943.045
45.204,36.222,2943.047
45.204,36.370,2913.498
45.276,33.111,2840.343
45.276,33.259,2840.343
45.276,33.407,2840.259
45.276,33.556,2840.217
45.276,33.704,2840.298
45.276,33.852,2854.277
45.276,34.000,2868.364
45.276,34.148,2868.344
45.276,34.296,2854.270
45.276,34.444,2854.287
45.276,34.593,2854.235
45.276,34.741,2854.281
45.276,34.889,2854.206
45.276,35.037,2854.114
45.276,35.185,2854.117
45.276,35.333,2840.260
45.276,35.481,2854.267
45.276,35.630,2854.283
45.276,35.778,2868.349
45.276,35.926,2854.268
45.276,36.074,2854.297
45.276,36.222,2854.274
45.276,36.370,2854.289
45.348,32.667,2743.946
45.348,33.111,2743.954
45.348,33.259,2743.977
45.348,33.407,2731.101
45.348,33.556,2718.352
45.348,33.704,2744.085
45.348,33.852,2757.125
45.348,34.000,2743.992
45.348,34.148,2743.945
45.348,34.296,2743.943
45.348,34.444,2731.082
45.348,34.593,2731.156
45.348,34.741,2744.045
45.348,34.889,2744.047
45.348,35.037,2718.298
45.348,35.185,2718.295
45.348,35.333,2744.072
45.348,35.778,2743.999
45.348,35.926,2757.015
45.348,36.074,2757.039
45.348,36.222,2757.111
45.348,36.370,2757.168
45.420,32.519,2703.546
45.420,32.667,2703.523
45.420,32.815,2703.578
45.420,32.963,2703.537
45.420,33.111,2703.524
45.420,33.259,2703.569
45.420,33.407,2703.690
45.420,33.556,2729.219
45.420,33.704,2729.187
45.420,33.852,2729.090
45.420,34.000,2729.051
45.420,34.148,2716.195
45.420,34.296,2716.180
45.420,34.444,2716.229
45.420,34.593,2729.063
45.420,34.741,2729.113
45.420,34.889,2716.347
45.420,35.037,2716.446
45.420,35.185,2716.481
45.420,36.074,2716.294
45.420,36.222,2729.155
45.420,36.370,2729.223
45.420,36.519,2729.281
45.492,32.667,2676.712
45.492,32.815,2689.115
45.492,32.963,2689.126
45.492,33.111,2676.700
45.492,33.259,2676.762
45.492,33.407,2701.827
45.492,33.556,2714.524
45.492,33.704,2701.826
45.492,33.852,2689.213
45.492,34.000,2689.146
45.492,34.148,2689.142
45.492,34.296,2676.697
45.492,34.444,2689.125
45.492,34.593,2689.135
45.492,34.741,2689.188
45.492,34.889,2689.297
45.492,35.037,2701.918
45.492,35.185,2701.951
45.563,32.815,2687.558
45.563,32.963,2687.569
45.563,33.111,2687.653
45.563,33.259,2700.245
45.563,33.407,2712.889
45.563,33.556,2712.854
45.563,33.704,2712.847
45.563,33.852,2700.177
45.563,34.000,2687.603
45.563,34.148,2687.588
45.563,34.296,2700.138
45.563,34.444,2687.550
45.563,34.593,2687.558
45.563,34.741,2687.634
45.563,34.889,2712.947
45.563,35.037,2713.006
45.635,32.963,2686.294
45.635,33.111,2711.544
45.635,33.259,2724.325
