"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:20:32.593,1 Jun 2023 10:24:23.582,230.989
2,1 Jun 2023 11:59:35.512,1 Jun 2023 12:03:38.947,243.436
3,1 Jun 2023 13:38:19.212,1 Jun 2023 13:40:49.531,150.319
4,2 Jun 2023 08:19:25.620,2 Jun 2023 08:23:45.861,260.241
5,2 Jun 2023 09:58:33.876,2 Jun 2023 10:02:24.269,230.393
6,2 Jun 2023 11:37:35.793,2 Jun 2023 11:41:39.483,243.689
7,2 Jun 2023 13:16:20.766,2 Jun 2023 13:18:47.762,146.996
8,3 Jun 2023 07:57:25.830,3 Jun 2023 08:01:46.335,260.505
9,3 Jun 2023 09:36:35.160,3 Jun 2023 09:40:24.968,229.809
10,3 Jun 2023 11:15:36.075,3 Jun 2023 11:19:39.993,243.918
11,3 Jun 2023 12:54:22.413,3 Jun 2023 12:56:47.081,144.668
12,4 Jun 2023 07:35:26.097,4 Jun 2023 07:39:46.801,260.704
13,4 Jun 2023 09:14:36.451,4 Jun 2023 09:18:25.679,229.227
14,4 Jun 2023 10:53:36.356,4 Jun 2023 10:57:40.559,244.204
15,4 Jun 2023 12:32:24.162,4 Jun 2023 12:34:46.458,142.296
16,5 Jun 2023 07:13:26.402,5 Jun 2023 07:17:47.248,260.845
17,5 Jun 2023 08:52:37.743,5 Jun 2023 08:56:26.406,228.663
18,5 Jun 2023 10:31:36.636,5 Jun 2023 10:35:41.123,244.486
19,5 Jun 2023 12:10:26.025,5 Jun 2023 12:12:45.744,139.719
20,6 Jun 2023 06:51:26.271,6 Jun 2023 06:55:47.680,261.408
21,6 Jun 2023 08:30:39.039,6 Jun 2023 08:34:27.146,228.107
22,6 Jun 2023 10:09:36.916,6 Jun 2023 10:13:41.658,244.742
23,6 Jun 2023 11:48:28.014,6 Jun 2023 11:50:44.930,136.916
24,7 Jun 2023 06:29:26.194,7 Jun 2023 06:33:48.111,261.918
25,7 Jun 2023 08:08:40.336,7 Jun 2023 08:12:27.900,227.563
26,7 Jun 2023 09:47:37.198,7 Jun 2023 09:51:42.159,244.961
27,7 Jun 2023 11:26:30.153,7 Jun 2023 11:28:44.012,133.859
28,8 Jun 2023 06:07:26.180,8 Jun 2023 06:11:48.540,262.360
29,8 Jun 2023 07:46:41.634,8 Jun 2023 07:50:28.668,227.035
30,8 Jun 2023 09:25:37.479,8 Jun 2023 09:29:42.636,245.157

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
