"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
20 May 2023 11:26:22.790,9.509,2.250051,-155.263,-126.763963,-5.790521,67.545320,2180000.000,-25.8392,-22.8289,4.593347e-01
20 May 2023 11:26:52.000,9.509,2.250051,-154.270,-125.771101,-5.790524,68.538179,2180000.000,-24.8464,-21.8361,4.544306e-01
20 May 2023 11:27:22.000,9.509,2.250050,-153.137,-124.637896,-5.790528,69.671380,2180000.000,-23.7132,-20.7029,4.481139e-01
20 May 2023 11:27:52.000,9.509,2.250048,-151.871,-123.371827,-5.790535,70.937442,2180000.000,-22.4471,-19.4368,4.400294e-01
20 May 2023 11:28:22.000,9.509,2.250045,-150.460,-121.960335,-5.790545,72.348924,2180000.000,-21.0356,-18.0253,4.295499e-01
20 May 2023 11:28:52.000,9.509,2.250040,-148.916,-120.416462,-5.790563,73.892779,2180000.000,-19.4918,-16.4815,4.160335e-01
20 May 2023 11:29:22.000,9.509,2.250032,-147.334,-118.834721,-5.790594,75.474489,2180000.000,-17.9101,-14.8998,3.995912e-01
20 May 2023 11:29:52.000,9.509,2.250019,-146.004,-117.504930,-5.790646,76.804228,2180000.000,-16.5803,-13.5700,3.834271e-01
20 May 2023 11:30:22.000,9.509,2.250000,-145.453,-116.953519,-5.790719,77.355566,2180000.000,-16.0290,-13.0187,3.760308e-01
20 May 2023 11:30:52.000,9.509,2.249981,-146.007,-117.508143,-5.790792,76.800868,2180000.000,-16.5837,-13.5734,3.834709e-01
20 May 2023 11:31:22.000,9.509,2.249968,-147.339,-118.839879,-5.790845,75.469080,2180000.000,-17.9155,-14.9052,3.996524e-01
20 May 2023 11:31:52.000,9.509,2.249959,-148.922,-120.422579,-5.790876,73.886349,2180000.000,-19.4982,-16.4879,4.160948e-01
20 May 2023 11:32:22.000,9.509,2.249955,-150.466,-121.967022,-5.790894,72.341888,2180000.000,-21.0427,-18.0324,4.296063e-01
20 May 2023 11:32:52.000,9.509,2.249952,-151.878,-123.378991,-5.790904,70.929909,2180000.000,-22.4547,-19.4444,4.400810e-01
20 May 2023 11:33:22.000,9.509,2.249950,-153.145,-124.645549,-5.790911,69.663344,2180000.000,-23.7212,-20.7109,4.481616e-01
20 May 2023 11:33:52.000,9.509,2.249949,-154.279,-125.779281,-5.790915,68.529608,2180000.000,-24.8550,-21.8447,4.544754e-01
20 May 2023 11:34:21.794,9.509,2.249949,-155.291,-126.791558,-5.790918,67.517328,2180000.000,-25.8672,-22.8569,4.594651e-01
20 May 2023 13:01:13.654,9.509,2.250031,-155.282,-126.782387,-5.790601,67.526816,2180000.000,-25.8577,-22.8474,4.594210e-01
20 May 2023 13:01:43.000,9.509,2.250026,-154.741,-126.241851,-5.790619,68.067335,2180000.000,-25.3172,-22.3069,4.568254e-01
20 May 2023 13:02:13.000,9.509,2.250020,-154.260,-125.760178,-5.790640,68.548986,2180000.000,-24.8356,-21.8253,4.543741e-01
20 May 2023 13:02:43.000,9.509,2.250014,-153.885,-125.385194,-5.790665,68.923945,2180000.000,-24.4606,-21.4503,4.523708e-01
20 May 2023 13:03:13.000,9.509,2.250007,-153.651,-125.151348,-5.790693,69.157763,2180000.000,-24.2268,-21.2165,4.510777e-01
20 May 2023 13:03:43.000,9.509,2.249999,-153.583,-125.083746,-5.790722,69.225335,2180000.000,-24.1592,-21.1489,4.506975e-01
20 May 2023 13:04:13.000,9.509,2.249992,-153.689,-125.190119,-5.790752,69.118933,2180000.000,-24.2656,-21.2553,4.512948e-01
20 May 2023 13:04:43.000,9.509,2.249985,-153.957,-125.458052,-5.790779,68.850973,2180000.000,-24.5336,-21.5233,4.527674e-01
20 May 2023 13:05:13.000,9.509,2.249978,-154.359,-125.859365,-5.790803,68.449636,2180000.000,-24.9349,-21.9246,4.548908e-01
20 May 2023 13:05:43.000,9.509,2.249973,-154.858,-126.358717,-5.790824,67.950263,2180000.000,-25.4343,-22.4240,4.574012e-01
20 May 2023 13:06:06.636,9.509,2.249969,-155.298,-126.798483,-5.790837,67.510483,2180000.000,-25.8741,-22.8638,4.594969e-01
20 May 2023 22:35:03.093,9.509,2.250050,-155.297,-126.797977,-5.790525,67.511302,2180000.000,-25.8733,-22.8630,4.594931e-01
20 May 2023 22:35:33.000,9.509,2.250049,-154.307,-125.808050,-5.790529,68.501225,2180000.000,-24.8833,-21.8730,4.546233e-01
20 May 2023 22:36:03.000,9.509,2.250048,-153.213,-124.714076,-5.790534,69.595193,2180000.000,-23.7894,-20.7791,4.485645e-01
20 May 2023 22:36:33.000,9.509,2.250046,-152.009,-123.509936,-5.790542,70.799326,2180000.000,-22.5852,-19.5749,4.409685e-01
20 May 2023 22:37:03.000,9.509,2.250042,-150.698,-122.198450,-5.790556,72.110799,2180000.000,-21.2738,-18.2635,4.314359e-01
20 May 2023 22:37:33.000,9.509,2.250037,-149.316,-120.816889,-5.790577,73.492339,2180000.000,-19.8922,-16.8819,4.197641e-01
20 May 2023 22:38:03.000,9.509,2.250028,-147.985,-119.485503,-5.790611,74.823691,2180000.000,-18.5609,-15.5506,4.067007e-01
20 May 2023 22:38:33.000,9.509,2.250015,-146.971,-118.472069,-5.790662,75.837073,2180000.000,-17.5475,-14.5372,3.954084e-01
20 May 2023 22:39:03.000,9.509,2.249998,-146.646,-118.146423,-5.790728,76.162653,2180000.000,-17.2219,-14.2116,3.915117e-01
20 May 2023 22:39:33.000,9.509,2.249981,-147.168,-118.668473,-5.790791,75.640540,2180000.000,-17.7440,-14.7337,3.976958e-01
20 May 2023 22:40:03.000,9.509,2.249969,-148.292,-119.792894,-5.790838,74.516072,2180000.000,-18.8685,-15.8582,4.098903e-01
20 May 2023 22:40:33.000,9.509,2.249961,-149.655,-121.155593,-5.790868,73.153342,2180000.000,-20.2312,-17.2209,4.227958e-01
20 May 2023 22:41:03.000,9.509,2.249957,-151.027,-122.528152,-5.790887,71.780764,2180000.000,-21.6038,-18.5935,4.339683e-01
20 May 2023 22:41:33.000,9.509,2.249953,-152.316,-123.816427,-5.790899,70.492478,2180000.000,-22.8921,-19.8818,4.430032e-01
