"Time (UTCG)","EIRP (dBW)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Flux Density (dBW/m^2)","g/T (dB/K)","C/No (dB*Hz)","Bandwidth (kHz)","C/N (dB)","Eb/No (dB)","BER"
20 May 2023 13:00:13.974,9.509,2.250054,-155.261,-126.761930,15.793112,89.130985,2180000.000,-4.2536,-1.2433,1.101734e-01
20 May 2023 13:00:43.000,9.509,2.250054,-154.219,-125.720073,15.793111,90.172842,2180000.000,-3.2117,-0.2014,8.351723e-02
20 May 2023 13:01:13.000,9.509,2.250053,-152.995,-124.495499,15.793111,91.397415,2180000.000,-1.9871,1.0232,5.580383e-02
20 May 2023 13:01:43.000,9.509,2.250053,-151.575,-123.075688,15.793109,92.817226,2180000.000,-0.5673,2.4430,3.049690e-02
20 May 2023 13:02:13.000,9.509,2.250053,-149.892,-121.392759,15.793107,94.500151,2180000.000,1.1156,4.1259,1.148002e-02
20 May 2023 13:02:43.000,9.509,2.250051,-147.841,-119.342143,15.793102,96.550762,2180000.000,3.1662,6.1765,1.990577e-03
20 May 2023 13:03:13.000,9.509,2.250049,-145.266,-116.766793,15.793089,99.126100,2180000.000,5.7415,8.7518,5.363544e-05
20 May 2023 13:03:43.000,9.509,2.250041,-142.024,-113.524873,15.793055,102.367986,2180000.000,8.9834,11.9937,9.220894e-09
20 May 2023 13:04:13.000,9.509,2.250015,-138.923,-110.423257,15.792950,105.469497,2180000.000,12.0849,15.0952,4.477993e-16
20 May 2023 13:04:43.000,9.509,2.249974,-139.650,-111.150913,15.792796,104.741686,2180000.000,11.3571,14.3674,7.117792e-14
20 May 2023 13:05:13.000,9.509,2.249956,-143.055,-114.555295,15.792731,101.337239,2180000.000,7.9527,10.9630,2.919389e-07
20 May 2023 13:05:43.000,9.509,2.249950,-146.099,-117.599459,15.792711,98.293057,2180000.000,4.9085,7.9188,2.163549e-04
20 May 2023 13:06:13.000,9.509,2.249948,-148.498,-119.998959,15.792704,95.893549,2180000.000,2.5090,5.5193,3.794789e-03
20 May 2023 13:06:43.000,9.509,2.249947,-150.425,-121.926045,15.792700,93.966460,2180000.000,0.5819,3.5922,1.623500e-02
20 May 2023 13:07:13.000,9.509,2.249947,-152.021,-123.521515,15.792699,92.370987,2180000.000,-1.0136,1.9967,3.756108e-02
20 May 2023 13:07:43.000,9.509,2.249946,-153.376,-124.877153,15.792698,91.015348,2180000.000,-2.3692,0.6411,6.393672e-02
20 May 2023 13:08:13.000,9.509,2.249946,-154.552,-126.052951,15.792698,89.839550,2180000.000,-3.5450,-0.5347,9.179566e-02
20 May 2023 13:08:35.603,9.509,2.249946,-155.344,-126.845156,15.792697,89.047345,2180000.000,-4.3372,-1.3269,1.124004e-01
20 May 2023 14:36:39.807,9.509,2.250016,-155.331,-126.831703,15.792955,89.061056,2180000.000,-4.3235,-1.3132,1.120346e-01
20 May 2023 14:37:09.000,9.509,2.250011,-155.084,-126.584414,15.792933,89.308323,2180000.000,-4.0762,-1.0659,1.054880e-01
