"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,20 May 2023 11:26:22.790,20 May 2023 11:34:21.794,479.004
2,20 May 2023 13:01:13.654,20 May 2023 13:06:06.636,292.982
3,20 May 2023 22:35:03.093,20 May 2023 22:42:54.539,471.446
4,21 May 2023 00:09:33.723,21 May 2023 00:14:48.471,314.747
5,21 May 2023 11:20:54.380,21 May 2023 11:29:14.417,500.038
6,21 May 2023 22:29:32.726,21 May 2023 22:37:51.068,498.341
7,22 May 2023 09:44:59.344,22 May 2023 09:48:10.054,190.710
8,22 May 2023 11:15:41.507,22 May 2023 11:23:52.455,490.948
9,22 May 2023 20:53:46.125,22 May 2023 20:56:19.935,153.810
10,22 May 2023 22:24:16.688,22 May 2023 22:32:31.755,495.067
11,23 May 2023 09:38:12.773,23 May 2023 09:44:22.767,369.995
12,23 May 2023 11:10:45.336,23 May 2023 11:18:15.695,450.359
13,23 May 2023 20:46:54.173,23 May 2023 20:52:46.456,352.283
14,23 May 2023 22:19:16.068,23 May 2023 22:26:56.476,460.408
15,24 May 2023 09:32:13.645,24 May 2023 09:39:46.519,452.874
16,24 May 2023 11:06:11.419,24 May 2023 11:12:19.574,368.155
17,24 May 2023 20:40:54.544,24 May 2023 20:48:16.534,441.990
18,24 May 2023 22:14:36.116,24 May 2023 22:21:00.917,384.801
19,25 May 2023 09:26:35.983,25 May 2023 09:34:48.275,492.292
20,25 May 2023 11:02:23.611,25 May 2023 11:05:41.317,197.706
21,25 May 2023 20:35:15.557,25 May 2023 20:43:22.928,487.371
22,25 May 2023 22:10:37.370,25 May 2023 22:14:25.527,228.157
23,26 May 2023 09:21:14.572,26 May 2023 09:29:34.209,499.637
24,26 May 2023 20:29:51.656,26 May 2023 20:38:12.194,500.538
25,27 May 2023 07:44:28.984,27 May 2023 07:49:21.266,292.282
26,27 May 2023 09:16:08.833,27 May 2023 09:24:05.845,477.012

