"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,20 May 2023 13:00:13.974,20 May 2023 13:08:35.603,501.629
2,20 May 2023 14:36:39.807,20 May 2023 14:39:19.970,160.162
3,20 May 2023 22:31:20.258,20 May 2023 22:39:17.353,477.095
4,21 May 2023 00:05:39.428,21 May 2023 00:11:16.765,337.337
5,21 May 2023 11:24:04.360,21 May 2023 11:27:59.524,235.164
6,21 May 2023 12:55:01.246,21 May 2023 13:03:14.948,493.701
7,21 May 2023 22:25:53.155,21 May 2023 22:34:13.277,500.122
8,22 May 2023 00:02:27.259,22 May 2023 00:03:47.730,80.471
9,22 May 2023 11:17:28.540,22 May 2023 11:23:54.383,385.842
10,22 May 2023 12:50:03.659,22 May 2023 12:57:43.105,459.446
11,22 May 2023 20:49:07.714,22 May 2023 20:53:23.000,255.286
12,22 May 2023 22:20:37.191,22 May 2023 22:28:54.446,497.256
13,23 May 2023 11:11:31.697,23 May 2023 11:19:11.389,459.692
14,23 May 2023 12:45:24.153,23 May 2023 12:51:57.980,393.828
15,23 May 2023 20:42:55.415,23 May 2023 20:49:17.217,381.801
16,23 May 2023 22:15:33.821,23 May 2023 22:23:20.217,466.396
17,24 May 2023 11:05:55.177,24 May 2023 11:14:09.988,494.811
18,24 May 2023 12:41:12.555,24 May 2023 12:45:50.644,278.089
19,24 May 2023 20:37:08.082,24 May 2023 20:44:40.647,452.566
20,24 May 2023 22:10:47.749,24 May 2023 22:17:26.672,398.923
21,25 May 2023 11:00:34.347,25 May 2023 11:08:55.601,501.254
22,25 May 2023 20:31:34.633,25 May 2023 20:39:45.269,490.637
23,25 May 2023 22:06:34.535,25 May 2023 22:10:59.013,264.478
24,26 May 2023 09:23:41.583,26 May 2023 09:28:59.629,318.046
25,26 May 2023 10:55:28.223,26 May 2023 11:03:30.007,481.784
26,26 May 2023 18:55:51.934,26 May 2023 18:57:41.682,109.748
27,26 May 2023 20:26:12.472,26 May 2023 20:34:34.533,502.060
28,27 May 2023 09:17:27.901,27 May 2023 09:24:32.757,424.856

