"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:11:59.502,2 Aug 2023 04:13:12.735,73.233
2,2 Aug 2023 05:45:02.000,2 Aug 2023 05:46:54.731,112.731
3,2 Aug 2023 07:18:32.062,2 Aug 2023 07:20:29.494,117.432
4,3 Aug 2023 04:06:24.848,3 Aug 2023 04:08:11.846,106.998
5,3 Aug 2023 05:39:50.726,3 Aug 2023 05:41:39.887,109.161
6,3 Aug 2023 07:13:16.862,3 Aug 2023 07:15:16.105,119.242
7,4 Aug 2023 04:01:03.363,4 Aug 2023 04:03:01.297,117.935
8,4 Aug 2023 05:34:38.287,4 Aug 2023 05:36:26.679,108.393
9,4 Aug 2023 07:08:04.255,4 Aug 2023 07:09:57.973,113.718
10,5 Aug 2023 03:55:48.176,5 Aug 2023 03:57:46.973,118.798
11,5 Aug 2023 05:29:24.145,5 Aug 2023 05:31:14.998,110.853
12,5 Aug 2023 07:02:57.584,5 Aug 2023 07:04:30.837,93.253
13,6 Aug 2023 03:50:36.068,6 Aug 2023 03:52:31.265,115.197
14,6 Aug 2023 05:24:08.676,6 Aug 2023 05:26:03.834,115.158
15,6 Aug 2023 06:58:23.339,6 Aug 2023 06:58:27.524,4.185
16,7 Aug 2023 02:12:09.317,7 Aug 2023 02:13:42.276,92.959
17,7 Aug 2023 03:45:24.898,7 Aug 2023 03:47:15.789,110.891
18,7 Aug 2023 05:18:52.961,7 Aug 2023 05:20:51.783,118.823
19,8 Aug 2023 02:06:42.062,8 Aug 2023 02:08:35.632,113.571
20,8 Aug 2023 03:40:13.231,8 Aug 2023 03:42:01.629,108.399
21,8 Aug 2023 05:13:38.618,8 Aug 2023 05:15:36.637,118.019

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:58:14.756,2 Aug 2023 05:00:13.660,118.904
2,2 Aug 2023 06:31:50.614,2 Aug 2023 06:33:39.390,108.776
3,2 Aug 2023 08:05:17.682,2 Aug 2023 08:07:07.714,110.031
4,3 Aug 2023 04:53:00.721,3 Aug 2023 04:54:58.758,118.037
5,3 Aug 2023 06:26:36.032,3 Aug 2023 06:28:27.988,111.957
6,3 Aug 2023 08:00:14.052,3 Aug 2023 08:01:36.505,82.452
7,4 Aug 2023 03:14:58.928,4 Aug 2023 03:15:51.952,53.024
8,4 Aug 2023 04:47:49.009,4 Aug 2023 04:49:42.972,113.963
9,4 Aug 2023 06:21:20.364,4 Aug 2023 06:23:16.689,116.325
10,5 Aug 2023 03:09:16.505,5 Aug 2023 03:10:57.505,101.001
11,5 Aug 2023 04:42:37.849,5 Aug 2023 04:44:27.778,109.929
12,5 Aug 2023 06:16:04.840,5 Aug 2023 06:18:04.095,119.255
13,6 Aug 2023 03:03:52.439,6 Aug 2023 03:05:48.644,116.204
14,6 Aug 2023 04:37:25.825,6 Aug 2023 04:39:14.088,108.264
15,6 Aug 2023 06:10:51.258,6 Aug 2023 06:12:47.579,116.320
16,7 Aug 2023 02:58:35.873,7 Aug 2023 03:00:35.089,119.216
17,7 Aug 2023 04:32:12.151,7 Aug 2023 04:34:02.053,109.902
18,7 Aug 2023 06:05:42.381,7 Aug 2023 06:07:23.605,101.223
19,8 Aug 2023 02:53:23.213,8 Aug 2023 02:55:19.579,116.366
20,8 Aug 2023 04:26:56.968,8 Aug 2023 04:28:50.889,113.922
21,8 Aug 2023 06:00:47.682,8 Aug 2023 06:01:41.439,53.757

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 11:48:54.567,1 Aug 2023 11:50:49.509,114.943
2,1 Aug 2023 13:22:28.178,1 Aug 2023 13:24:21.274,113.096
3,1 Aug 2023 14:56:18.764,1 Aug 2023 14:57:10.994,52.230
4,2 Aug 2023 10:10:31.048,2 Aug 2023 10:12:00.825,89.777
5,2 Aug 2023 11:43:44.706,2 Aug 2023 11:45:34.675,109.969
6,2 Aug 2023 13:17:13.117,2 Aug 2023 13:19:10.875,117.758
7,3 Aug 2023 10:05:03.419,3 Aug 2023 10:06:56.108,112.689
8,3 Aug 2023 11:38:34.474,3 Aug 2023 11:40:21.140,106.666
9,3 Aug 2023 13:11:58.986,3 Aug 2023 13:13:58.040,119.054
10,4 Aug 2023 09:59:45.663,4 Aug 2023 10:01:44.796,119.133
11,4 Aug 2023 11:33:22.677,4 Aug 2023 11:35:09.474,106.798
12,4 Aug 2023 13:06:48.004,4 Aug 2023 13:08:39.777,111.773
13,5 Aug 2023 09:54:33.104,5 Aug 2023 09:56:30.541,117.436
14,5 Aug 2023 11:28:09.020,5 Aug 2023 11:29:59.320,110.300
15,5 Aug 2023 13:01:44.136,5 Aug 2023 13:03:11.069,86.933
16,6 Aug 2023 08:16:29.192,6 Aug 2023 08:17:27.899,58.706
17,6 Aug 2023 09:49:22.747,6 Aug 2023 09:51:15.479,112.732
18,6 Aug 2023 11:22:54.133,6 Aug 2023 11:24:49.421,115.287
19,7 Aug 2023 08:10:49.765,7 Aug 2023 08:12:32.633,102.868
20,7 Aug 2023 09:44:12.920,7 Aug 2023 09:46:01.096,108.176
21,7 Aug 2023 11:17:39.267,7 Aug 2023 11:19:38.289,119.022
22,8 Aug 2023 08:05:27.346,8 Aug 2023 08:07:24.262,116.916
23,8 Aug 2023 09:39:02.099,8 Aug 2023 09:40:48.360,106.261

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 11:02:11.428,1 Aug 2023 11:04:07.122,115.694
2,1 Aug 2023 12:35:45.069,1 Aug 2023 12:37:31.392,106.322
3,1 Aug 2023 14:09:09.177,1 Aug 2023 14:11:07.322,118.145
4,2 Aug 2023 10:56:55.458,2 Aug 2023 10:58:54.698,119.240
5,2 Aug 2023 12:30:32.734,2 Aug 2023 12:32:20.230,107.496
6,2 Aug 2023 14:03:59.597,2 Aug 2023 14:05:46.837,107.240
7,3 Aug 2023 10:51:43.787,3 Aug 2023 10:53:40.038,116.251
8,3 Aug 2023 12:25:18.634,3 Aug 2023 12:27:10.302,111.668
9,3 Aug 2023 13:58:59.785,3 Aug 2023 14:00:12.977,73.192
10,4 Aug 2023 09:13:28.492,4 Aug 2023 09:14:45.728,77.236
11,4 Aug 2023 10:46:33.723,4 Aug 2023 10:48:25.036,111.314
12,4 Aug 2023 12:20:03.606,4 Aug 2023 12:22:00.174,116.568
13,5 Aug 2023 09:07:56.143,5 Aug 2023 09:09:44.679,108.536
14,5 Aug 2023 10:41:23.750,5 Aug 2023 10:43:11.045,107.294
15,5 Aug 2023 12:14:49.035,5 Aug 2023 12:16:48.342,119.307
16,6 Aug 2023 09:02:36.268,6 Aug 2023 09:04:34.670,118.402
17,6 Aug 2023 10:36:12.464,6 Aug 2023 10:37:58.846,106.382
18,6 Aug 2023 12:09:36.869,6 Aug 2023 12:11:31.946,115.077
19,7 Aug 2023 08:57:22.557,7 Aug 2023 08:59:20.982,118.426
20,7 Aug 2023 10:30:59.303,7 Aug 2023 10:32:48.358,109.055
21,7 Aug 2023 12:04:30.252,7 Aug 2023 12:06:07.034,96.781
22,8 Aug 2023 07:19:37.968,8 Aug 2023 07:20:01.807,23.839
23,8 Aug 2023 08:52:11.813,8 Aug 2023 08:54:05.977,114.164

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 16:14:56.890,1 Aug 2023 16:15:27.964,31.074
2,1 Aug 2023 17:47:34.638,1 Aug 2023 17:49:29.394,114.756
3,1 Aug 2023 19:21:06.842,1 Aug 2023 19:23:02.365,115.524
4,2 Aug 2023 16:09:05.798,2 Aug 2023 16:10:41.794,95.996
5,2 Aug 2023 17:42:23.531,2 Aug 2023 17:44:14.029,110.499
