"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 10491                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite0011/Sensor/Sensor1:    Active          "
"Satellite/Satellite0012/Sensor/Sensor2:    Active          "
"Satellite/Satellite0021/Sensor/Sensor3:    Active          "
"Satellite/Satellite0022/Sensor/Sensor4:    Active          "
"Satellite/Satellite0031/Sensor/Sensor5:    Active          "
"Satellite/Satellite0032/Sensor/Sensor6:    Active          "
"Satellite/Satellite0041/Sensor/Sensor7:    Active          "
"Satellite/Satellite0042/Sensor/Sensor8:    Active          "
"Satellite/Satellite0051/Sensor/Sensor9:    Active          "
"Satellite/Satellite0052/Sensor/Sensor10:    Active         "
"Satellite/Satellite0061/Sensor/Sensor11:    Active         "
"Satellite/Satellite0062/Sensor/Sensor12:    Active         "
"Satellite/Satellite0071/Sensor/Sensor13:    Active         "
"Satellite/Satellite0072/Sensor/Sensor14:    Active         "
"Satellite/Satellite0081/Sensor/Sensor15:    Active         "
"Satellite/Satellite0082/Sensor/Sensor16:    Active         "
"Satellite/Satellite0091/Sensor/Sensor17:    Active         "
"Satellite/Satellite0092/Sensor/Sensor18:    Active         "
"Satellite/Satellite0101/Sensor/Sensor19:    Active         "
"Satellite/Satellite0102/Sensor/Sensor20:    Active         "
"Satellite/SatelliteRCO011/Sensor/Sensor22:    Active       "
"Satellite/SatelliteRCO012/Sensor/Sensor23:    Active       "
"Satellite/SatelliteRCO021/Sensor/Sensor24:    Active       "
"Satellite/SatelliteRCO022/Sensor/Sensor25:    Active       "
"Satellite/SatelliteRCO031/Sensor/Sensor26:    Active       "
"Satellite/SatelliteRCO032/Sensor/Sensor27:    Active       "
"Satellite/SatelliteRCO041/Sensor/Sensor28:    Active       "
"Satellite/SatelliteRCO042/Sensor/Sensor29:    Active       "
"Satellite/SatelliteRCO051/Sensor/Sensor30:    Active       "
"Satellite/SatelliteRCO052/Sensor/Sensor31:    Active       "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
38.711,33.791,4019.566
38.711,33.922,3988.092
38.711,34.052,3957.288
38.711,34.183,3988.415
38.711,34.314,4084.341
38.711,34.444,4084.296
38.711,34.575,4051.827
38.711,34.706,3988.401
38.711,34.837,3896.746
38.711,34.967,3896.537
38.711,43.856,3988.167
38.711,43.987,3957.462
38.711,44.118,4084.528
38.711,44.248,4084.493
38.711,44.379,4052.164
38.711,44.510,4020.199
38.711,44.641,3988.336
38.711,44.771,4019.526
38.711,44.902,3926.633
38.814,33.791,4019.368
38.814,33.922,3956.961
38.814,34.052,3926.528
38.814,34.183,4019.613
38.814,34.314,4019.664
38.814,34.444,3988.455
38.814,34.575,4019.677
38.814,34.706,4019.566
38.814,34.837,3867.130
38.814,34.967,3866.838
38.814,35.098,3926.473
38.814,35.229,3956.967
38.814,35.359,3896.637
38.814,35.490,3896.553
38.814,35.621,3957.201
38.814,35.752,3926.928
38.814,35.882,4020.173
38.814,36.013,4052.283
38.814,36.144,4020.270
38.814,36.275,4019.897
38.814,36.405,4051.945
38.814,36.536,3957.215
38.814,36.667,3956.963
38.814,36.797,3956.835
38.814,36.928,3926.212
38.814,37.059,3926.232
38.814,37.190,3987.739
38.814,37.320,3987.901
38.814,37.451,3988.035
38.814,37.582,3988.160
38.814,37.712,4051.573
38.814,37.843,4019.527
38.814,37.974,4019.304
38.814,38.105,3956.556
38.814,38.235,3895.758
38.814,38.366,3925.942
38.814,38.497,3866.326
38.814,38.627,3925.898
38.814,38.758,3925.887
38.814,38.889,3866.355
38.814,39.020,3926.217
38.814,39.150,4019.114
38.814,39.281,4051.191
38.814,39.412,3988.015
38.814,39.542,3956.929
38.814,39.673,3956.912
38.814,39.804,3956.778
38.814,39.935,3926.300
38.814,40.065,3987.584
38.814,40.196,3926.265
38.814,40.327,3926.328
38.814,40.458,3896.374
38.814,40.588,3926.512
38.814,40.719,3988.042
38.814,40.850,3957.106
38.814,40.980,4051.625
38.814,41.111,3957.128
38.814,41.242,3926.434
38.814,41.373,3926.371
38.814,41.503,3866.903
38.814,41.634,3896.399
38.814,41.765,3896.264
38.814,41.895,3896.188
38.814,42.026,3956.831
38.814,42.157,3926.354
38.814,42.288,3926.410
38.814,42.418,3896.392
38.814,42.549,3957.110
38.814,42.680,3957.051
38.814,42.810,3956.904
38.814,42.941,3987.848
38.814,43.072,3896.331
38.814,43.203,3956.747
38.814,43.333,3956.607
38.814,43.464,3956.744
38.814,43.595,3926.461
38.814,43.725,3956.941
38.814,43.856,4019.446
38.814,43.987,4019.745
38.814,44.118,4117.399
38.814,44.248,4019.989
38.814,44.379,4051.843
38.814,44.510,4019.751
38.814,44.641,3988.229
38.814,44.771,3987.894
38.814,44.902,3987.830
38.916,33.791,3956.716
38.916,33.922,3956.918
