"Coverage Properties"
"Latitude Bounds Coverage                                            "
"Min. Latitude: 0.0000 (deg)                                         "
"Max. Latitude: 90.0000 (deg)                                        "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 2.0000 (deg)                                            "
"Number of Points: 5734                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Constellation1:    Active                         "
"Satellite/Satellite4011/Sensor/Sensor1:    Active           "
"Satellite/Satellite4012/Sensor/Sensor2:    Active           "
"Satellite/Satellite4021/Sensor/Sensor3:    Active           "
"Satellite/Satellite4022/Sensor/Sensor4:    Active           "
"Satellite/Satellite4031/Sensor/Sensor5:    Active           "
"Satellite/Satellite4032/Sensor/Sensor6:    Active           "
"Satellite/Satellite4041/Sensor/Sensor7:    Active           "
"Satellite/Satellite4042/Sensor/Sensor8:    Active           "
"Satellite/Satellite4051/Sensor/Sensor9:    Active           "
"Satellite/Satellite4052/Sensor/Sensor10:    Active          "
"Satellite/Satellite4061/Sensor/Sensor11:    Active          "
"Satellite/Satellite4062/Sensor/Sensor12:    Active          "
"Satellite/Satellite4071/Sensor/Sensor13:    Active          "
"Satellite/Satellite4072/Sensor/Sensor14:    Active          "
"Satellite/Satellite4081/Sensor/Sensor15:    Active          "
"Satellite/Satellite4082/Sensor/Sensor16:    Active          "
"Satellite/Satellite4091/Sensor/Sensor17:    Active          "
"Satellite/Satellite4092/Sensor/Sensor18:    Active          "
"Satellite/Satellite4101/Sensor/Sensor19:    Active          "
"Satellite/Satellite4102/Sensor/Sensor20:    Active          "
"Satellite/Satellite4111/Sensor/Sensor21:    Active          "
"Satellite/Satellite4112/Sensor/Sensor22:    Active          "
"Satellite/Satellite4121/Sensor/Sensor23:    Active          "
"Satellite/Satellite4122/Sensor/Sensor24:    Active          "
"Access Interval: 4 Oct 2023 10:00:00.000 to 11 Oct 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.900,1.000,13367.177
0.900,3.000,13988.468
0.900,5.000,13668.934
0.900,7.000,13989.246
0.900,9.000,14670.568
0.900,11.000,13669.470
0.900,13.000,14323.629
0.900,15.000,13985.313
0.900,17.000,14322.258
0.900,19.000,14672.356
0.900,21.000,13664.693
0.900,23.000,13989.713
0.900,25.000,13670.666
0.900,27.000,14318.006
0.900,29.000,14323.618
0.900,31.000,14672.028
0.900,33.000,14319.494
0.900,35.000,13989.430
0.900,37.000,13987.911
0.900,39.000,13669.365
0.900,41.000,13990.358
0.900,43.000,13667.972
0.900,45.000,14322.032
0.900,47.000,13989.578
0.900,49.000,13982.847
0.900,51.000,14322.530
0.900,53.000,13366.640
0.900,55.000,14666.512
0.900,57.000,13671.188
0.900,59.000,13988.348
0.900,61.000,13985.432
0.900,63.000,13989.137
0.900,65.000,13988.844
0.900,67.000,13986.442
0.900,69.000,13672.035
0.900,71.000,14319.786
0.900,73.000,14321.721
0.900,75.000,14323.141
0.900,77.000,13665.421
0.900,79.000,13989.504
0.900,81.000,13670.950
0.900,83.000,14317.216
0.900,85.000,13989.420
0.900,87.000,14321.975
0.900,89.000,13666.528
0.900,91.000,13989.377
0.900,93.000,13988.791
0.900,95.000,13667.991
0.900,97.000,14673.007
0.900,99.000,13669.048
0.900,101.000,13988.405
0.900,103.000,14322.853
0.900,105.000,13983.952
0.900,107.000,13988.981
0.900,109.000,13988.675
0.900,111.000,13984.068
0.900,113.000,13989.050
0.900,115.000,13670.629
0.900,117.000,13983.491
0.900,119.000,13988.946
0.900,121.000,14322.300
0.900,123.000,13984.937
0.900,125.000,13989.735
0.900,127.000,14321.043
0.900,129.000,13669.791
0.900,131.000,14323.000
0.900,133.000,13362.993
0.900,135.000,14322.129
0.900,137.000,13671.043
0.900,139.000,14317.791
0.900,141.000,13989.110
0.900,143.000,13671.297
0.900,145.000,13665.192
0.900,147.000,13670.993
0.900,149.000,14322.705
0.900,151.000,13984.033
0.900,153.000,14323.368
0.900,155.000,13987.697
0.900,157.000,14320.890
0.900,159.000,13989.753
0.900,161.000,13985.339
0.900,163.000,13988.458
0.900,165.000,13988.872
0.900,167.000,13984.869
0.900,169.000,14321.792
0.900,171.000,13366.961
0.900,173.000,13982.522
0.900,175.000,13988.727
0.900,177.000,13989.291
0.900,179.000,13665.231
0.900,181.000,13671.625
0.900,183.000,14670.994
0.900,185.000,13668.699
0.900,187.000,14322.999
0.900,189.000,13668.176
0.900,191.000,14321.244
0.900,193.000,13367.242
0.900,195.000,14319.061
0.900,197.000,13988.703
0.900,199.000,13367.508
0.900,201.000,13664.968
0.900,203.000,13670.707
0.900,205.000,15039.499
0.900,207.000,13984.188
0.900,209.000,14673.874
0.900,211.000,14671.731
0.900,213.000,13986.262
0.900,215.000,13989.866
0.900,217.000,13668.848
0.900,219.000,13987.804
0.900,221.000,13989.120
0.900,223.000,13668.488
0.900,225.000,14321.446
0.900,227.000,13367.170
0.900,229.000,13983.202
0.900,231.000,13670.614
0.900,233.000,13989.477
0.900,235.000,13983.743
0.900,237.000,13671.716
0.900,239.000,13988.509
0.900,241.000,13667.130
0.900,243.000,14323.055
0.900,245.000,13365.085
0.900,247.000,14669.608
0.900,249.000,13989.155
0.900,251.000,14320.643
0.900,253.000,13988.436
0.900,255.000,13367.513
0.900,257.000,13666.424
0.900,259.000,13366.744
0.900,261.000,14672.837
0.900,263.000,13983.247
0.900,265.000,14672.675
0.900,267.000,13670.736
0.900,269.000,13984.436
0.900,271.000,13672.132
0.900,273.000,13669.639
0.900,275.000,13986.710
0.900,277.000,13671.414
0.900,279.000,13669.539
0.900,281.000,13988.136
0.900,283.000,13671.245
0.900,285.000,14318.007
0.900,287.000,13366.550
0.900,289.000,14322.850
0.900,291.000,14316.712
0.900,293.000,14322.725
0.900,295.000,14322.062
0.900,297.000,13361.657
0.900,299.000,14322.958
0.900,301.000,13365.739
0.900,303.000,14318.690
0.900,305.000,13671.083
0.900,307.000,13988.229
0.900,309.000,13987.814
0.900,311.000,13671.351
0.900,313.000,14668.766
0.900,315.000,13670.130
0.900,317.000,14673.019
0.900,319.000,13665.709
0.900,321.000,13989.668
0.900,323.000,13671.268
0.900,325.000,13361.457
0.900,327.000,13990.010
0.900,329.000,13670.189
0.900,331.000,13984.945
0.900,333.000,13989.452
0.900,335.000,13988.169
0.900,337.000,13987.636
0.900,339.000,13671.387
0.900,341.000,14319.817
0.900,343.000,13670.056
0.900,345.000,14323.134
0.900,347.000,13666.489
0.900,349.000,14322.475
0.900,351.000,13989.304
0.900,353.000,13982.365
0.900,355.000,14672.088
0.900,357.000,13366.243
0.900,359.000,14316.770
2.700,1.000,7695.765
2.700,3.000,7694.478
2.700,5.000,7792.956
2.700,7.000,7695.783
2.700,9.000,7793.548
2.700,11.000,7693.405
2.700,13.000,7796.532
2.700,15.000,7595.147
2.700,17.000,7597.712
2.700,19.000,7796.055
2.700,21.000,7406.096
2.700,23.000,8112.166
2.700,25.000,7502.172
2.700,27.000,7792.403
2.700,29.000,7696.482
2.700,31.000,7597.433
2.700,33.000,7692.698
2.700,35.000,7598.181
2.700,37.000,8110.306
2.700,39.000,7500.346
2.700,41.000,7599.357
2.700,43.000,7595.485
2.700,45.000,7502.468
2.700,47.000,8004.573
2.700,49.000,7227.713
2.700,51.000,8112.376
2.700,53.000,7502.610
2.700,55.000,7692.472
2.700,57.000,7795.778
2.700,59.000,7694.518
2.700,61.000,7594.719
2.700,63.000,7598.309
2.700,65.000,7794.465
2.700,67.000,7595.121
2.700,69.000,7796.611
2.700,71.000,7693.053
2.700,73.000,7694.636
2.700,75.000,7898.989
2.700,77.000,7406.242
2.700,79.000,8111.820
2.700,81.000,7502.556
2.700,83.000,7594.890
2.700,85.000,7695.543
2.700,87.000,7502.062
2.700,89.000,7692.008
2.700,91.000,7597.973
2.700,93.000,8222.409
2.700,95.000,7406.951
2.700,97.000,7696.586
2.700,99.000,7501.244
2.700,101.000,7501.702
2.700,103.000,7899.294
2.700,105.000,7316.037
2.700,107.000,8003.615
2.700,109.000,7597.955
2.700,111.000,7692.332
2.700,113.000,7898.235
2.700,115.000,7695.112
2.700,117.000,7594.370
2.700,119.000,7598.141
2.700,121.000,7795.559
2.700,123.000,7499.307
2.700,125.000,7696.596
2.700,127.000,7693.828
2.700,129.000,7693.814
2.700,131.000,7899.211
2.700,133.000,7406.533
2.700,135.000,8003.224
2.700,137.000,7502.882
2.700,139.000,7499.663
2.700,141.000,7795.412
2.700,143.000,7502.495
2.700,145.000,7691.809
2.700,147.000,7597.777
2.700,149.000,8111.973
2.700,151.000,7499.124
2.700,153.000,7696.373
2.700,155.000,7897.237
2.700,157.000,7408.121
2.700,159.000,7899.371
2.700,161.000,7316.436
2.700,163.000,8002.742
2.700,165.000,7503.164
2.700,167.000,7692.249
2.700,169.000,7897.930
2.700,171.000,7502.936
2.700,173.000,7594.245
2.700,175.000,7502.913
2.700,177.000,8112.338
2.700,179.000,7498.949
2.700,181.000,7796.479
2.700,183.000,7694.905
2.700,185.000,7500.496
2.700,187.000,7899.379
2.700,189.000,7407.322
2.700,191.000,8002.364
2.700,193.000,7503.141
2.700,195.000,7499.821
2.700,197.000,7897.760
2.700,199.000,7502.820
2.700,201.000,7691.716
2.700,203.000,7597.510
2.700,205.000,7898.669
2.700,207.000,7499.565
2.700,209.000,7697.023
2.700,211.000,8003.579
2.700,213.000,7500.087
2.700,215.000,7899.367
2.700,217.000,7407.701
2.700,219.000,7896.345
2.700,221.000,7598.276
2.700,223.000,7595.116
2.700,225.000,7794.838
2.700,227.000,7503.052
2.700,229.000,7691.804
2.700,231.000,7502.490
2.700,233.000,8004.516
2.700,235.000,7594.448
2.700,237.000,7899.060
2.700,239.000,7795.015
2.700,241.000,7406.964
2.700,243.000,7796.874
2.700,245.000,7500.874
2.700,247.000,7693.477
2.700,249.000,7598.365
2.700,251.000,7500.375
2.700,253.000,7897.265
2.700,255.000,7503.058
2.700,257.000,7791.855
2.700,259.000,7597.152
2.700,261.000,7898.857
2.700,263.000,7594.488
2.700,265.000,7598.484
2.700,267.000,7795.266
2.700,269.000,7406.580
2.700,271.000,7899.178
2.700,273.000,7501.207
2.700,275.000,7792.758
2.700,277.000,7598.271
2.700,279.000,7595.956
2.700,281.000,7694.256
2.700,283.000,7503.122
2.700,285.000,7792.409
2.700,287.000,7596.916
2.700,289.000,8004.628
2.700,291.000,7594.481
2.700,293.000,7696.101
2.700,295.000,7795.614
2.700,297.000,7316.137
2.700,299.000,8004.819
2.700,301.000,7408.922
2.700,303.000,7595.184
2.700,305.000,7695.879
2.700,307.000,7693.781
2.700,309.000,7896.493
2.700,311.000,7598.249
2.700,313.000,7692.637
2.700,315.000,7596.714
2.700,317.000,7898.999
2.700,319.000,7594.621
2.700,321.000,7598.126
2.700,323.000,7795.686
2.700,325.000,7406.136
2.700,327.000,8004.279
2.700,329.000,7501.734
2.700,331.000,7692.101
2.700,333.000,7695.652
2.700,335.000,7501.618
2.700,337.000,7693.373
2.700,339.000,7503.155
2.700,341.000,8001.197
2.700,343.000,7596.247
2.700,345.000,8004.753
2.700,347.000,7594.959
2.700,349.000,7598.116
2.700,351.000,7796.160
2.700,353.000,7315.821
2.700,355.000,8112.751
2.700,357.000,7409.432
2.700,359.000,7499.638
4.500,1.000,7795.765
4.500,3.000,7501.383
4.500,5.000,7595.383
4.500,7.000,7503.444
4.500,9.000,7500.118
4.500,11.000,7500.709
4.500,13.000,7598.217
4.500,15.000,7595.995
4.500,17.000,7597.256
4.500,19.000,7597.794
4.500,21.000,7693.205
4.500,23.000,7597.496
4.500,25.000,7597.501
4.500,27.000,7500.461
4.500,29.000,7696.299
4.500,31.000,7694.507
4.500,33.000,7500.312
4.500,35.000,7795.993
4.500,37.000,7317.222
4.500,39.000,7407.887
4.500,41.000,7503.161
4.500,43.000,7596.013
4.500,45.000,7596.948
4.500,47.000,7597.952
4.500,49.000,7408.160
4.500,51.000,7597.304
4.500,53.000,7795.453
4.500,55.000,7595.910
4.500,57.000,7695.696
4.500,59.000,7501.458
4.500,61.000,7499.915
4.500,63.000,7598.377
4.500,65.000,7407.944
4.500,67.000,7407.452
4.500,69.000,7695.728
4.500,71.000,7596.039
4.500,73.000,7596.437
4.500,75.000,7695.485
4.500,77.000,7500.553
4.500,79.000,7694.568
4.500,81.000,7597.920
4.500,83.000,7500.708
4.500,85.000,7598.008
4.500,87.000,7694.381
4.500,89.000,7407.348
4.500,91.000,7695.929
4.500,93.000,7500.971
4.500,95.000,7407.636
4.500,97.000,7598.299
4.500,99.000,7501.053
4.500,101.000,7596.184
4.500,103.000,7503.067
4.500,105.000,7407.781
4.500,107.000,7596.772
4.500,109.000,7695.788
4.500,111.000,7693.213
4.500,113.000,7695.413
4.500,115.000,7694.791
4.500,117.000,7595.158
4.500,119.000,7598.229
4.500,121.000,7408.659
4.500,123.000,7500.262
4.500,125.000,7695.699
4.500,127.000,7596.173
4.500,129.000,7595.838
4.500,131.000,7695.679
4.500,133.000,7500.200
4.500,135.000,7501.372
4.500,137.000,7598.275
4.500,139.000,7595.462
4.500,141.000,7502.826
4.500,143.000,7695.094
4.500,145.000,7500.182
4.500,147.000,7503.305
4.500,149.000,7596.800
4.500,151.000,7595.398
4.500,153.000,7598.334
4.500,155.000,7501.287
4.500,157.000,7500.804
4.500,159.000,7503.121
4.500,161.000,7500.218
4.500,163.000,7501.063
4.500,165.000,7795.971
4.500,167.000,7595.330
4.500,169.000,7597.587
4.500,171.000,7695.396
4.500,173.000,7500.353
4.500,175.000,7598.035
4.500,177.000,7502.071
4.500,179.000,7595.588
4.500,181.000,7695.580
4.500,183.000,7694.110
4.500,185.000,7595.719
4.500,187.000,7598.269
4.500,189.000,7500.276
4.500,191.000,7408.020
4.500,193.000,7695.988
4.500,195.000,7500.096
4.500,197.000,7597.322
4.500,199.000,7598.063
4.500,201.000,7500.127
4.500,203.000,7597.885
4.500,205.000,7597.447
4.500,207.000,7595.907
4.500,209.000,7796.404
4.500,211.000,7694.675
4.500,213.000,7595.706
4.500,215.000,7598.142
4.500,217.000,7500.585
4.500,219.000,7407.614
4.500,221.000,7695.962
4.500,223.000,7500.021
4.500,225.000,7694.389
4.500,227.000,7695.732
4.500,229.000,7407.344
4.500,231.000,7695.103
4.500,233.000,7597.550
4.500,235.000,7693.782
4.500,237.000,7695.614
4.500,239.000,7694.144
4.500,241.000,7407.673
4.500,243.000,7410.483
4.500,245.000,7595.988
4.500,247.000,7317.133
4.500,249.000,7796.112
4.500,251.000,7407.544
4.500,253.000,7596.573
4.500,255.000,7598.311
4.500,257.000,7407.318
4.500,259.000,7597.340
4.500,261.000,7597.774
4.500,263.000,7693.659
4.500,265.000,7695.499
4.500,267.000,7597.021
4.500,269.000,7500.243
4.500,271.000,7597.991
4.500,273.000,7693.806
4.500,275.000,7407.206
4.500,277.000,7695.873
4.500,279.000,7500.313
4.500,281.000,7596.084
4.500,283.000,7695.891
4.500,285.000,7316.737
4.500,287.000,7694.518
4.500,289.000,7597.819
4.500,291.000,7896.596
4.500,293.000,7597.923
4.500,295.000,7694.766
4.500,297.000,7500.584
4.500,299.000,7410.300
4.500,301.000,7596.850
4.500,303.000,7316.850
4.500,305.000,7795.968
4.500,307.000,7317.613
