"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 3.0000 (deg)                                           "
"Number of Points: 2413                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite0011/Sensor/Sensor1:    Active          "
"Satellite/Satellite0012/Sensor/Sensor2:    Active          "
"Satellite/Satellite0021/Sensor/Sensor3:    Active          "
"Satellite/Satellite0022/Sensor/Sensor4:    Active          "
"Satellite/Satellite0031/Sensor/Sensor5:    Active          "
"Satellite/Satellite0032/Sensor/Sensor6:    Active          "
"Satellite/Satellite0041/Sensor/Sensor7:    Active          "
"Satellite/Satellite0042/Sensor/Sensor8:    Active          "
"Satellite/Satellite0051/Sensor/Sensor10:    Active         "
"Satellite/Satellite0052/Sensor/Sensor12:    Active         "
"Satellite/Satellite111/Sensor/Sensor13:    Active          "
"Satellite/Satellite112/Sensor/Sensor14:    Active          "
"Satellite/Satellite121/Sensor/Sensor15:    Active          "
"Satellite/Satellite122/Sensor/Sensor16:    Active          "
"Satellite/Satellite131/Sensor/Sensor17:    Active          "
"Satellite/Satellite132/Sensor/Sensor18:    Active          "
"Satellite/Satellite141/Sensor/Sensor19:    Active          "
"Satellite/Satellite142/Sensor/Sensor20:    Active          "
"Satellite/Satellite151/Sensor/Sensor21:    Active          "
"Satellite/Satellite152/Sensor/Sensor22:    Active          "
"Satellite/Satellite211/Sensor/Sensor24:    Active          "
"Satellite/Satellite212/Sensor/Sensor25:    Active          "
"Satellite/Satellite221/Sensor/Sensor26:    Active          "
"Satellite/Satellite222/Sensor/Sensor27:    Active          "
"Satellite/Satellite231/Sensor/Sensor28:    Active          "
"Satellite/Satellite232/Sensor/Sensor29:    Active          "
"Satellite/Satellite241/Sensor/Sensor30:    Active          "
"Satellite/Satellite242/Sensor/Sensor31:    Active          "
"Satellite/Satellite251/Sensor/Sensor32:    Active          "
"Satellite/Satellite252/Sensor/Sensor33:    Active          "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
1.417,1.538,4150.705
1.417,4.615,4084.718
1.417,7.692,4150.611
1.417,10.769,4084.089
1.417,13.846,4185.501
1.417,16.923,4084.144
1.417,20.000,4116.903
1.417,23.077,4083.752
1.417,26.154,4084.084
1.417,29.231,4050.950
1.417,32.308,4050.619
1.417,35.385,4150.932
1.417,38.462,4084.597
1.417,41.538,4084.611
1.417,44.615,3987.531
1.417,47.692,4083.672
1.417,50.769,4150.594
1.417,53.846,4019.208
1.417,56.923,4050.972
1.417,60.000,4116.690
1.417,63.077,4150.662
1.417,66.154,4116.547
1.417,69.231,4050.704
1.417,72.308,4084.037
1.417,75.385,4084.060
1.417,78.462,4116.440
1.417,81.538,4116.820
1.417,84.615,4052.139
1.417,87.692,4151.019
1.417,90.769,4116.945
1.417,93.846,4083.315
1.417,96.923,4151.035
1.417,100.000,4083.878
1.417,103.077,4116.982
1.417,106.154,4150.422
1.417,109.231,4084.874
1.417,112.308,4184.531
1.417,115.385,4116.667
1.417,118.462,3987.936
1.417,121.538,4083.928
1.417,124.615,4050.189
1.417,127.692,4050.462
1.417,130.769,4018.778
1.417,133.846,4150.915
1.417,136.923,4051.453
1.417,140.000,4051.028
1.417,143.077,4117.101
1.417,146.154,4150.769
1.417,149.231,4117.490
1.417,152.308,4083.951
1.417,155.385,4151.028
1.417,158.462,4219.792
1.417,161.538,4083.227
1.417,164.615,4050.807
1.417,167.692,4019.407
1.417,170.769,4083.516
1.417,173.846,4019.273
1.417,176.923,4018.806
1.417,180.000,4151.027
1.417,183.077,4185.287
1.417,186.154,4117.452
1.417,189.231,4083.982
1.417,192.308,4117.052
1.417,195.385,4219.124
1.417,198.462,4018.607
1.417,201.538,4019.181
1.417,204.615,4184.789
1.417,207.692,4149.966
1.417,210.769,3987.385
1.417,213.846,3956.152
1.417,216.923,4051.580
1.417,220.000,4083.911
1.417,223.077,4083.790
1.417,226.154,4184.535
1.417,229.231,4220.141
1.417,232.308,4051.799
1.417,235.385,4051.797
1.417,238.462,4150.368
1.417,241.538,4219.730
1.417,244.615,4050.811
1.417,247.692,4116.763
1.417,250.769,4150.793
1.417,253.846,4184.990
1.417,256.923,4083.956
1.417,260.000,3987.487
1.417,263.077,3956.672
1.417,266.154,4019.158
1.417,269.231,3987.502
1.417,272.308,4083.253
1.417,275.385,4116.708
1.417,278.462,4150.608
1.417,281.538,4019.733
1.417,284.615,4116.548
1.417,287.692,4219.478
1.417,290.769,4184.850
1.417,293.846,4116.903
1.417,296.923,4051.521
1.417,300.000,4184.933
1.417,303.077,4254.863
1.417,306.154,3987.805
1.417,309.231,3956.216
1.417,312.308,4019.111
1.417,315.385,4083.807
1.417,318.462,4184.875
1.417,321.538,4184.484
1.417,324.615,4084.465
1.417,327.692,4084.582
