"Coverage Properties"
"Latitude Bounds Coverage                                            "
"Min. Latitude: -60.0000 (deg)                                       "
"Max. Latitude: 60.0000 (deg)                                        "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 2.0000 (deg)                                            "
"Number of Points: 9396                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Constellation3:    Active                         "
"Satellite/Satellite4011/Sensor/Sensor27:    Active          "
"Satellite/Satellite4012/Sensor/Sensor28:    Active          "
"Satellite/Satellite4021/Sensor/Sensor29:    Active          "
"Satellite/Satellite4022/Sensor/Sensor30:    Active          "
"Satellite/Satellite4031/Sensor/Sensor31:    Active          "
"Satellite/Satellite4032/Sensor/Sensor32:    Active          "
"Satellite/Satellite4041/Sensor/Sensor33:    Active          "
"Satellite/Satellite4042/Sensor/Sensor34:    Active          "
"Satellite/Satellite4051/Sensor/Sensor35:    Active          "
"Satellite/Satellite4052/Sensor/Sensor36:    Active          "
"Satellite/Satellite4061/Sensor/Sensor37:    Active          "
"Satellite/Satellite4062/Sensor/Sensor38:    Active          "
"Satellite/Satellite4071/Sensor/Sensor39:    Active          "
"Satellite/Satellite4072/Sensor/Sensor40:    Active          "
"Satellite/Satellite4081/Sensor/Sensor41:    Active          "
"Satellite/Satellite4082/Sensor/Sensor42:    Active          "
"Satellite/Satellite4091/Sensor/Sensor43:    Active          "
"Satellite/Satellite4092/Sensor/Sensor44:    Active          "
"Satellite/Satellite4101/Sensor/Sensor45:    Active          "
"Satellite/Satellite4102/Sensor/Sensor46:    Active          "
"Satellite/Satellite4111/Sensor/Sensor47:    Active          "
"Satellite/Satellite4112/Sensor/Sensor48:    Active          "
"Satellite/Satellite4121/Sensor/Sensor49:    Active          "
"Satellite/Satellite4122/Sensor/Sensor50:    Active          "
"Access Interval: 4 Oct 2023 10:00:00.000 to 11 Oct 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
-59.048,1.667,3602.114
-59.048,5.000,3602.061
-59.048,8.333,3602.112
-59.048,11.667,3580.576
-59.048,15.000,3669.322
-59.048,18.333,3602.616
-59.048,21.667,3669.573
-59.048,25.000,3558.965
-59.048,28.333,3624.280
-59.048,31.667,3602.013
-59.048,35.000,3646.453
-59.048,38.333,3558.840
-59.048,41.667,3580.734
-59.048,45.000,3602.502
-59.048,48.333,3602.575
-59.048,51.667,3646.859
-59.048,55.000,3559.115
-59.048,58.333,3646.512
-59.048,61.667,3601.894
-59.048,65.000,3624.208
-59.048,68.333,3537.546
-59.048,71.667,3646.861
-59.048,75.000,3602.414
-59.048,78.333,3646.946
-59.048,81.667,3580.732
-59.048,85.000,3602.485
-59.048,88.333,3602.278
-59.048,91.667,3580.074
-59.048,95.000,3580.343
-59.048,98.333,3602.086
-59.048,101.667,3646.823
-59.048,105.000,3602.398
-59.048,108.333,3647.005
-59.048,111.667,3559.239
-59.048,115.000,3692.256
-59.048,118.333,3624.212
-59.048,121.667,3601.842
-59.048,125.000,3558.646
-59.048,128.333,3624.146
-59.048,131.667,3602.509
-59.048,135.000,3602.477
-59.048,138.333,3647.015
-59.048,141.667,3624.580
-59.048,145.000,3669.410
-59.048,148.333,3580.504
-59.048,151.667,3580.179
-59.048,155.000,3580.066
-59.048,158.333,3646.380
-59.048,161.667,3580.638
-59.048,165.000,3646.915
-59.048,168.333,3580.896
-59.048,171.667,3624.693
-59.048,175.000,3580.733
-59.048,178.333,3602.292
-59.048,181.667,3601.886
-59.048,185.000,3601.864
-59.048,188.333,3580.387
-59.048,191.667,3559.189
-59.048,195.000,3669.574
-59.048,198.333,3580.888
-59.048,201.667,3669.415
-59.048,205.000,3559.111
-59.048,208.333,3646.691
-59.048,211.667,3580.109
-59.048,215.000,3601.845
-59.048,218.333,3537.525
-59.048,221.667,3624.546
-59.048,225.000,3646.943
-59.048,228.333,3581.099
-59.048,231.667,3646.815
-59.048,235.000,3580.551
-59.048,238.333,3669.285
-59.048,241.667,3558.676
-59.048,245.000,3623.821
-59.048,248.333,3558.635
-59.048,251.667,3669.417
-59.048,255.000,3602.543
-59.048,258.333,3647.062
-59.048,261.667,3559.264
-59.048,265.000,3602.427
-59.048,268.333,3624.424
-59.048,271.667,3558.854
-59.048,275.000,3601.826
-59.048,278.333,3558.663
-59.048,281.667,3624.540
-59.048,285.000,3580.666
-59.048,288.333,3669.580
-59.048,291.667,3580.636
