"Coverage Properties"
"Latitude Bounds Coverage                                            "
"Min. Latitude: 0.0000 (deg)                                         "
"Max. Latitude: 90.0000 (deg)                                        "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 2.0000 (deg)                                            "
"Number of Points: 5734                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Constellation1:    Active                         "
"Satellite/Satellite4011/Sensor/Sensor27:    Active          "
"Satellite/Satellite4012/Sensor/Sensor28:    Active          "
"Satellite/Satellite4021/Sensor/Sensor29:    Active          "
"Satellite/Satellite4022/Sensor/Sensor30:    Active          "
"Satellite/Satellite4031/Sensor/Sensor31:    Active          "
"Satellite/Satellite4032/Sensor/Sensor32:    Active          "
"Satellite/Satellite4041/Sensor/Sensor33:    Active          "
"Satellite/Satellite4042/Sensor/Sensor34:    Active          "
"Satellite/Satellite4051/Sensor/Sensor35:    Active          "
"Satellite/Satellite4052/Sensor/Sensor36:    Active          "
"Satellite/Satellite4061/Sensor/Sensor37:    Active          "
"Satellite/Satellite4062/Sensor/Sensor38:    Active          "
"Satellite/Satellite4071/Sensor/Sensor39:    Active          "
"Satellite/Satellite4072/Sensor/Sensor40:    Active          "
"Satellite/Satellite4081/Sensor/Sensor41:    Active          "
"Satellite/Satellite4082/Sensor/Sensor42:    Active          "
"Satellite/Satellite4091/Sensor/Sensor43:    Active          "
"Satellite/Satellite4092/Sensor/Sensor44:    Active          "
"Satellite/Satellite4101/Sensor/Sensor45:    Active          "
"Satellite/Satellite4102/Sensor/Sensor46:    Active          "
"Satellite/Satellite4111/Sensor/Sensor47:    Active          "
"Satellite/Satellite4112/Sensor/Sensor48:    Active          "
"Satellite/Satellite4121/Sensor/Sensor49:    Active          "
"Satellite/Satellite4122/Sensor/Sensor50:    Active          "
"Access Interval: 4 Oct 2023 10:00:00.000 to 11 Oct 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.900,1.000,7501.065
0.900,3.000,7597.404
0.900,5.000,7597.666
0.900,7.000,7500.960
0.900,9.000,7795.077
0.900,11.000,7694.859
0.900,13.000,7596.593
0.900,15.000,7501.413
0.900,17.000,7597.850
0.900,19.000,7694.659
0.900,21.000,7500.712
0.900,23.000,7795.522
0.900,25.000,7501.942
0.900,27.000,7596.651
0.900,29.000,7597.343
0.900,31.000,7695.486
0.900,33.000,7694.280
0.900,35.000,7408.019
0.900,37.000,7795.668
0.900,39.000,7501.979
0.900,41.000,7501.438
0.900,43.000,7501.760
0.900,45.000,7795.094
0.900,47.000,7694.851
0.900,49.000,7500.999
0.900,51.000,7597.901
0.900,53.000,7597.162
0.900,55.000,7596.351
0.900,57.000,7596.738
0.900,59.000,7694.982
0.900,61.000,7694.594
0.900,63.000,7408.628
0.900,65.000,7695.265
0.900,67.000,7597.288
0.900,69.000,7501.433
0.900,71.000,7694.418
0.900,73.000,7695.193
0.900,75.000,7694.008
0.900,77.000,7500.874
0.900,79.000,7696.000
0.900,81.000,7596.710
0.900,83.000,7501.246
0.900,85.000,7597.280
0.900,87.000,7597.305
0.900,89.000,7501.511
0.900,91.000,7501.066
0.900,93.000,7795.678
0.900,95.000,7596.678
0.900,97.000,7501.187
0.900,99.000,7597.425
0.900,101.000,7695.122
0.900,103.000,7694.238
0.900,105.000,7408.555
0.900,107.000,7795.523
0.900,109.000,7596.946
0.900,111.000,7694.031
0.900,113.000,7597.369
0.900,115.000,7597.408
0.900,117.000,7596.408
0.900,119.000,7501.237
0.900,121.000,7695.343
0.900,123.000,7501.681
0.900,125.000,7501.395
0.900,127.000,7694.637
0.900,129.000,7597.685
0.900,131.000,7501.247
0.900,133.000,7501.324
0.900,135.000,7598.502
0.900,137.000,7596.250
0.900,139.000,7596.152
0.900,141.000,7898.073
0.900,143.000,7502.113
0.900,145.000,7501.478
0.900,147.000,7408.788
0.900,149.000,7898.088
0.900,151.000,7501.309
0.900,153.000,7501.402
0.900,155.000,7597.581
0.900,157.000,7694.793
0.900,159.000,7693.879
0.900,161.000,7501.791
0.900,163.000,7795.616
0.900,165.000,7501.410
0.900,167.000,7694.222
0.900,169.000,7694.974
0.900,171.000,7597.271
0.900,173.000,7501.326
0.900,175.000,7596.757
0.900,177.000,7695.451
0.900,179.000,7408.362
0.900,181.000,7501.419
0.900,183.000,7694.987
0.900,185.000,7597.170
0.900,187.000,7501.196
0.900,189.000,7501.618
0.900,191.000,7795.800
0.900,193.000,7500.882
0.900,195.000,7596.531
0.900,197.000,7898.146
0.900,199.000,7501.714
0.900,201.000,7596.350
0.900,203.000,7597.188
0.900,205.000,7898.017
0.900,207.000,7408.696
0.900,209.000,7694.507
0.900,211.000,7695.257
0.900,213.000,7501.695
0.900,215.000,7693.976
0.900,217.000,7502.014
0.900,219.000,7795.396
0.900,221.000,7501.034
0.900,223.000,7794.828
0.900,225.000,7795.128
0.900,227.000,7501.692
0.900,229.000,7501.633
0.900,231.000,7597.072
0.900,233.000,7695.384
0.900,235.000,7317.587
0.900,237.000,7596.979
0.900,239.000,7795.625
0.900,241.000,7597.030
0.900,243.000,7596.677
0.900,245.000,7501.977
0.900,247.000,7795.310
0.900,249.000,7500.835
0.900,251.000,7597.042
0.900,253.000,7795.544
0.900,255.000,7408.551
0.900,257.000,7596.674
0.900,259.000,7502.365
0.900,261.000,7897.832
0.900,263.000,7501.159
0.900,265.000,7694.876
0.900,267.000,7695.140
0.900,269.000,7501.065
0.900,271.000,7694.522
0.900,273.000,7409.529
0.900,275.000,7597.290
0.900,277.000,7408.089
0.900,279.000,7795.209
0.900,281.000,7695.132
0.900,283.000,7501.176
0.900,285.000,7794.806
0.900,287.000,7502.152
0.900,289.000,7694.942
0.900,291.000,7408.095
0.900,293.000,7794.858
0.900,295.000,7597.876
0.900,297.000,7408.170
0.900,299.000,7596.667
0.900,301.000,7597.141
0.900,303.000,7794.905
0.900,305.000,7408.369
0.900,307.000,7597.307
0.900,309.000,7795.344
0.900,311.000,7500.947
0.900,313.000,7694.651
0.900,315.000,7597.586
0.900,317.000,7597.139
0.900,319.000,7500.919
0.900,321.000,7597.665
0.900,323.000,7795.173
0.900,325.000,7501.152
0.900,327.000,7795.199
0.900,329.000,7501.947
0.900,331.000,7596.635
0.900,333.000,7501.168
0.900,335.000,7597.797
0.900,337.000,7694.700
0.900,339.000,7408.028
0.900,341.000,7795.276
0.900,343.000,7502.159
0.900,345.000,7794.528
0.900,347.000,7501.216
0.900,349.000,7795.010
0.900,351.000,7695.112
0.900,353.000,7408.010
0.900,355.000,7694.859
0.900,357.000,7502.408
0.900,359.000,7694.179
2.700,1.000,7501.022
2.700,3.000,7694.602
2.700,5.000,7597.312
2.700,7.000,7501.060
