"Coverage Properties"
"Latitude Bounds Coverage                                            "
"Min. Latitude: 0.0000 (deg)                                         "
"Max. Latitude: 90.0000 (deg)                                        "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 2.0000 (deg)                                            "
"Number of Points: 5734                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Constellation1:    Active                         "
"Satellite/Satellite4011/Sensor/Sensor1:    Active           "
"Satellite/Satellite4012/Sensor/Sensor2:    Active           "
"Satellite/Satellite4021/Sensor/Sensor3:    Active           "
"Satellite/Satellite4022/Sensor/Sensor4:    Active           "
"Satellite/Satellite4031/Sensor/Sensor5:    Active           "
"Satellite/Satellite4032/Sensor/Sensor6:    Active           "
"Satellite/Satellite4041/Sensor/Sensor7:    Active           "
"Satellite/Satellite4042/Sensor/Sensor8:    Active           "
"Satellite/Satellite4051/Sensor/Sensor9:    Active           "
"Satellite/Satellite4052/Sensor/Sensor10:    Active          "
"Satellite/Satellite4061/Sensor/Sensor11:    Active          "
"Satellite/Satellite4062/Sensor/Sensor12:    Active          "
"Satellite/Satellite4071/Sensor/Sensor13:    Active          "
"Satellite/Satellite4072/Sensor/Sensor14:    Active          "
"Satellite/Satellite4081/Sensor/Sensor15:    Active          "
"Satellite/Satellite4082/Sensor/Sensor16:    Active          "
"Satellite/Satellite4091/Sensor/Sensor17:    Active          "
"Satellite/Satellite4092/Sensor/Sensor18:    Active          "
"Satellite/Satellite4101/Sensor/Sensor19:    Active          "
"Satellite/Satellite4102/Sensor/Sensor20:    Active          "
"Satellite/Satellite4111/Sensor/Sensor21:    Active          "
"Satellite/Satellite4112/Sensor/Sensor22:    Active          "
"Satellite/Satellite4121/Sensor/Sensor23:    Active          "
"Satellite/Satellite4122/Sensor/Sensor24:    Active          "
"Access Interval: 4 Oct 2023 10:00:00.000 to 11 Oct 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.900,1.000,13365.939
0.900,3.000,13074.274
0.900,5.000,14323.952
0.900,7.000,14320.636
0.900,9.000,15039.453
0.900,11.000,13669.153
0.900,13.000,13989.138
0.900,15.000,13668.233
0.900,17.000,14671.263
0.900,19.000,13668.371
0.900,21.000,13669.211
0.900,23.000,13669.144
0.900,25.000,14320.262
0.900,27.000,15038.897
0.900,29.000,13987.803
0.900,31.000,14672.622
0.900,33.000,13073.908
0.900,35.000,14671.469
0.900,37.000,13073.958
0.900,39.000,14322.349
0.900,41.000,13074.754
0.900,43.000,14673.007
0.900,45.000,13986.979
0.900,47.000,15037.727
0.900,49.000,13986.900
0.900,51.000,13987.105
0.900,53.000,14320.521
0.900,55.000,13986.462
0.900,57.000,13987.610
0.900,59.000,13074.004
0.900,61.000,13989.094
0.900,63.000,13987.400
0.900,65.000,15038.911
0.900,67.000,13987.037
0.900,69.000,13990.290
0.900,71.000,13668.330
0.900,73.000,14670.920
0.900,75.000,13667.973
0.900,77.000,13988.215
0.900,79.000,13669.313
0.900,81.000,14321.336
0.900,83.000,13987.902
0.900,85.000,13365.076
0.900,87.000,14320.831
0.900,89.000,13668.315
0.900,91.000,14320.740
0.900,93.000,13073.731
0.900,95.000,13989.804
0.900,97.000,13074.521
0.900,99.000,14672.255
0.900,101.000,13987.067
0.900,103.000,15038.878
0.900,105.000,13365.279
0.900,107.000,13988.780
0.900,109.000,13668.541
0.900,111.000,13986.184
0.900,113.000,13668.399
0.900,115.000,13364.517
0.900,117.000,13989.129
0.900,119.000,13988.254
0.900,121.000,15425.921
0.900,123.000,13669.135
0.900,125.000,14672.063
0.900,127.000,13364.546
0.900,129.000,14322.033
0.900,131.000,13667.989
0.900,133.000,14671.869
0.900,135.000,13668.601
0.900,137.000,14320.908
0.900,139.000,13987.072
0.900,141.000,14320.701
0.900,143.000,13988.062
0.900,145.000,13986.952
0.900,147.000,14320.665
0.900,149.000,13364.280
0.900,151.000,14321.394
0.900,153.000,13364.849
0.900,155.000,14671.843
0.900,157.000,13987.107
0.900,159.000,14323.751
0.900,161.000,13669.111
0.900,163.000,14321.688
0.900,165.000,13668.299
0.900,167.000,14320.434
0.900,169.000,13986.362
0.900,171.000,13669.714
0.900,173.000,13987.294
0.900,175.000,13668.962
0.900,177.000,14670.745
0.900,179.000,13365.331
0.900,181.000,14670.911
0.900,183.000,13074.047
0.900,185.000,14322.697
0.900,187.000,13364.361
0.900,189.000,13988.637
