"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 1.0000 (deg)                                           "
"Number of Points: 21712                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Citrouille:    Active                            "
"Satellite/C1/Sensor/Sensor19:    Active                    "
"Satellite/C2/Sensor/Sensor20:    Active                    "
"Satellite/C3/Sensor/Sensor21:    Active                    "
"Satellite/C4/Sensor/Sensor22:    Active                    "
"Satellite/C5/Sensor/Sensor23:    Active                    "
"Satellite/C6/Sensor/Sensor24:    Active                    "
"Satellite/C7/Sensor/Sensor25:    Active                    "
"Satellite/C8/Sensor/Sensor26:    Active                    "
"Access Interval: 1 May 2023 10:00:00.000 to 1 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.472,0.513,18407.098
0.472,1.538,18796.291
0.472,2.564,18406.122
0.472,3.590,18031.963
0.472,4.615,18533.641
0.472,5.641,18405.739
0.472,6.667,18279.057
0.472,7.692,18534.469
0.472,8.718,19483.875
0.472,9.744,19204.018
0.472,10.769,19203.870
0.472,11.795,19066.456
0.472,12.821,19202.487
0.472,13.846,18928.917
0.472,14.872,17673.310
0.472,15.897,18663.018
0.472,16.923,18663.884
0.472,17.949,18534.385
0.472,18.974,18534.926
0.472,20.000,19065.877
0.472,21.026,18930.242
0.472,22.051,19202.331
0.472,23.077,18929.354
0.472,24.103,18280.767
0.472,25.128,18795.217
0.472,26.154,17911.005
0.472,27.179,18279.516
0.472,28.205,18534.134
0.472,29.231,18533.421
0.472,30.256,18928.653
0.472,31.282,19342.446
0.472,32.308,19628.070
0.472,33.333,18798.193
0.472,34.359,19627.330
0.472,35.385,19202.987
0.472,36.410,18929.652
0.472,37.436,18279.654
0.472,38.462,18533.390
0.472,39.487,19341.147
0.472,40.513,18280.883
0.472,41.538,18796.146
0.472,42.564,19066.017
0.472,43.590,19920.520
0.472,44.615,19065.645
0.472,45.641,19065.329
0.472,46.667,18929.849
0.472,47.692,18795.840
0.472,48.718,18663.494
0.472,49.744,17673.862
0.472,50.769,19064.040
0.472,51.795,18795.316
0.472,52.821,18279.868
0.472,53.846,19065.392
0.472,54.872,19484.931
0.472,55.897,19627.769
0.472,56.923,18930.581
0.472,57.949,19065.186
0.472,58.974,18534.537
0.472,60.000,19063.569
0.472,61.026,17790.869
0.472,62.051,18405.626
0.472,63.077,18795.771
0.472,64.103,18534.504
0.472,65.128,19202.223
0.472,66.154,19065.887
0.472,67.179,19202.561
0.472,68.205,18664.776
0.472,69.231,19064.565
0.472,70.256,18795.528
0.472,71.282,18405.951
0.472,72.308,18154.879
0.472,73.333,18406.213
0.472,74.359,19340.857
0.472,75.385,18032.727
0.472,76.410,19064.640
0.472,77.436,19343.288
0.472,78.462,19627.727
0.472,79.487,18930.524
0.472,80.513,18665.113
0.472,81.538,18929.164
0.472,82.564,18663.657
0.472,83.590,18533.021
0.472,84.615,18032.337
0.472,85.641,18929.570
0.472,86.667,18535.119
0.472,87.692,19202.606
0.472,88.718,19627.698
0.472,89.744,18931.059
0.472,90.769,19341.571
0.472,91.795,18796.392
0.472,92.821,19064.653
0.472,93.846,18280.299
0.472,94.872,18406.085
0.472,95.897,18280.052
0.472,96.923,19202.000
0.472,97.949,18795.795
0.472,98.974,18280.437
0.472,100.000,20070.365
0.472,101.026,19343.501
0.472,102.051,18930.676
0.472,103.077,18407.419
0.472,104.103,19482.458
0.472,105.128,19064.094
0.472,106.154,18533.704
0.472,107.179,18279.365
0.472,108.205,18664.620
0.472,109.231,19482.975
0.472,110.256,18665.123
0.472,111.282,19342.883
0.472,112.308,19484.785
0.472,113.333,19483.003
0.472,114.359,18796.191
0.472,115.385,18406.861
0.472,116.410,19064.193
0.472,117.436,18534.275
0.472,118.462,18663.791
0.472,119.487,18406.847
0.472,120.513,19202.456
0.472,121.538,18664.136
0.472,122.564,19342.070
0.472,123.590,19627.712
0.472,124.615,18665.858
0.472,125.641,18929.445
0.472,126.667,18406.466
0.472,127.692,18533.678
0.472,128.718,18279.265
0.472,129.744,18405.027
0.472,130.769,18406.007
0.472,131.795,19065.373
0.472,132.821,19065.322
0.472,133.846,18666.002
0.472,134.872,20070.866
0.472,135.897,19202.769
0.472,136.923,18664.062
0.472,137.949,18534.464
0.472,138.974,18928.879
0.472,140.000,18795.641
0.472,141.026,18155.892
0.472,142.051,18664.335
0.472,143.077,18930.264
0.472,144.103,19064.552
0.472,145.128,18534.478
0.472,146.154,19342.347
0.472,147.179,18796.833
0.472,148.205,18406.512
0.472,149.231,18534.012
0.472,150.256,18279.777
0.472,151.282,18405.680
0.472,152.308,18405.853
0.472,153.333,18795.313
0.472,154.359,18930.446
0.472,155.385,19065.972
0.472,156.410,18797.206
0.472,157.436,19342.671
0.472,158.462,19342.094
0.472,159.487,17911.617
0.472,160.513,18533.702
0.472,161.538,18405.751
0.472,162.564,18928.704
0.472,163.590,18032.926
0.472,164.615,18406.529
0.472,165.641,19065.519
0.472,166.667,19342.012
0.472,167.692,18534.284
0.472,168.718,18535.378
0.472,169.744,19626.709
0.472,170.769,18406.785
0.472,171.795,18405.853
0.472,172.821,18154.978
0.472,173.846,18279.402
0.472,174.872,18928.070
0.472,175.897,18155.132
0.472,176.923,18929.743
0.472,177.949,19343.251
0.472,178.974,19627.563
0.472,180.000,18931.268
0.472,181.026,19203.622
0.472,182.051,18664.053
0.472,183.077,18533.331
0.472,184.103,18663.172
0.472,185.128,18279.844
0.472,186.154,18663.930
0.472,187.179,18280.431
0.472,188.205,19341.681
0.472,189.231,19203.552
0.472,190.256,18796.691
0.472,191.282,19064.886
0.472,192.308,19202.856
0.472,193.333,18929.475
0.472,194.359,18032.498
0.472,195.385,18154.933
0.472,196.410,18155.098
0.472,197.436,18794.672
0.472,198.462,18533.700
0.472,199.487,18534.715
0.472,200.513,19484.251
0.472,201.538,19343.157
0.472,202.564,19066.228
0.472,203.590,18930.828
0.472,204.615,19482.750
0.472,205.641,18279.651
0.472,206.667,18795.014
0.472,207.692,18795.414
0.472,208.718,18406.894
0.472,209.744,18796.004
0.472,210.769,19065.071
0.472,211.795,19203.406
0.472,212.821,18797.575
0.472,213.846,18929.474
0.472,214.872,19342.021
0.472,215.897,18796.808
0.472,216.923,18155.745
0.472,217.949,18155.291
0.472,218.974,18663.242
0.472,220.000,18279.707
0.472,221.026,18533.980
0.472,222.051,18534.597
0.472,223.077,19627.089
0.472,224.103,19343.221
0.472,225.128,18665.571
0.472,226.154,18796.577
0.472,227.179,19341.634
0.472,228.205,18533.438
0.472,229.231,17910.669
0.472,230.256,18405.787
0.472,231.282,18664.179
0.472,232.308,18795.802
0.472,233.333,18406.713
0.472,234.359,18665.449
0.472,235.385,19342.861
0.472,236.410,18929.774
0.472,237.436,18796.147
0.472,238.462,19065.429
0.472,239.487,18795.644
0.472,240.513,18279.675
0.472,241.538,18533.594
0.472,242.564,18405.992
0.472,243.590,18406.226
0.472,244.615,19064.213
0.472,245.641,19065.439
0.472,246.667,19484.204
0.472,247.692,18930.733
0.472,248.718,18796.395
0.472,249.744,19202.395
0.472,250.769,18533.986
0.472,251.795,18154.394
0.472,252.821,18405.669
0.472,253.846,18928.779
0.472,254.872,18929.325
0.472,255.897,18534.702
0.472,256.923,18930.232
0.472,257.949,19627.356
0.472,258.974,19342.195
0.472,260.000,18406.810
0.472,261.026,19202.306
0.472,262.051,18795.862
0.472,263.077,18663.367
0.472,264.103,18155.296
0.472,265.128,18534.170
0.472,266.154,18795.476
0.472,267.179,19064.416
0.472,268.205,19202.466
0.472,269.231,19066.256
0.472,270.256,18930.884
0.472,271.282,18796.248
0.472,272.308,19202.230
0.472,273.333,18929.122
0.472,274.359,17791.169
0.472,275.385,18533.657
0.472,276.410,19064.384
0.472,277.436,18664.950
0.472,278.462,18535.304
0.472,279.487,19627.096
0.472,280.513,19627.839
0.472,281.538,19627.687
0.472,282.564,18534.953
0.472,283.590,18664.738
0.472,284.615,19341.649
0.472,285.641,18406.553
0.472,286.667,18280.008
0.472,287.692,18534.473
0.472,288.718,18795.849
0.472,289.744,19064.574
0.472,290.769,18664.768
0.472,291.795,18930.553
0.472,292.821,19342.538
0.472,293.846,18929.733
0.472,294.872,18280.716
0.472,295.897,18664.432
0.472,296.923,18533.575
0.472,297.949,18405.367
0.472,298.974,18664.051
0.472,300.000,18664.895
0.472,301.026,19065.353
0.472,302.051,19203.013
0.472,303.077,19484.279
0.472,304.103,19342.920
0.472,305.128,18796.635
0.472,306.154,18534.219
0.472,307.179,19201.958
0.472,308.205,18664.126
0.472,309.231,18032.630
0.472,310.256,18534.216
0.472,311.282,18664.036
0.472,312.308,18534.225
0.472,313.333,18795.912
0.472,314.359,18929.895
0.472,315.385,19342.067
0.472,316.410,18929.941
0.472,317.436,18280.367
0.472,318.462,18280.138
0.472,319.487,18928.412
0.472,320.513,18279.135
0.472,321.538,18534.166
0.472,322.564,18665.077
0.472,323.590,19203.132
0.472,324.615,19342.443
0.472,325.641,19066.223
0.472,326.667,19203.158
0.472,327.692,19065.138
0.472,328.718,18663.366
0.472,329.744,18795.436
0.472,330.769,18796.105
0.472,331.795,18534.480
0.472,332.821,18534.837
0.472,333.846,19341.703
0.472,334.872,18535.067
0.472,335.897,18795.941
0.472,336.923,18795.863
0.472,337.949,18929.701
0.472,338.974,18664.763
0.472,340.000,18032.701
0.472,341.026,18533.481
0.472,342.051,18795.017
0.472,343.077,18533.049
0.472,344.103,18032.144
0.472,345.128,18796.317
0.472,346.154,19203.437
0.472,347.179,19203.542
0.472,348.205,19342.529
0.472,349.231,18797.447
0.472,350.256,19482.865
0.472,351.282,18663.693
0.472,352.308,17910.805
0.472,353.333,18406.260
0.472,354.359,18663.757
0.472,355.385,18534.416
0.472,356.410,18534.990
0.472,357.436,19065.643
0.472,358.462,18796.704
0.472,359.487,19202.264
1.417,0.513,18929.534
1.417,1.538,18155.685
1.417,2.564,18279.666
1.417,3.590,18279.135
1.417,4.615,18155.406
1.417,5.641,18405.509
1.417,6.667,18032.644
1.417,7.692,19064.431
1.417,8.718,19066.281
1.417,9.744,19204.012
1.417,10.769,19343.017
1.417,11.795,19203.379
1.417,12.821,19202.868
1.417,13.846,18534.834
1.417,14.872,18533.669
1.417,15.897,18032.504
1.417,16.923,18928.576
1.417,17.949,18280.402
1.417,18.974,18407.032
1.417,20.000,18665.107
1.417,21.026,19065.383
1.417,22.051,19202.462
1.417,23.077,18535.098
1.417,24.103,18795.321
1.417,25.128,18279.714
1.417,26.154,18405.628
1.417,27.179,18032.413
1.417,28.205,18533.918
1.417,29.231,18663.799
1.417,30.256,18929.251
1.417,31.282,19483.647
1.417,32.308,19066.963
1.417,33.333,19920.917
1.417,34.359,19203.393
1.417,35.385,19202.952
1.417,36.410,18796.370
1.417,37.436,18795.665
1.417,38.462,18794.817
1.417,39.487,18663.896
1.417,40.513,19064.551
1.417,41.538,18281.078
1.417,42.564,19626.468
1.417,43.590,19203.058
1.417,44.615,19342.238
1.417,45.641,19065.490
1.417,46.667,19341.083
1.417,47.692,18663.491
1.417,48.718,18032.508
1.417,49.744,18663.147
1.417,50.769,18406.279
1.417,51.795,18928.761
1.417,52.821,18795.696
1.417,53.846,19065.503
1.417,54.872,19627.969
1.417,55.897,19204.278
1.417,56.923,19627.211
1.417,57.949,18407.422
1.417,58.974,18929.052
1.417,60.000,18406.148
1.417,61.026,18533.161
1.417,62.051,18032.295
1.417,63.077,18406.236
1.417,64.103,18664.339
1.417,65.128,18535.046
1.417,66.154,19341.767
1.417,67.179,18407.368
1.417,68.205,19064.882
1.417,69.231,18795.917
1.417,70.256,18533.720
1.417,71.282,18155.158
1.417,72.308,17911.396
1.417,73.333,19064.107
1.417,74.359,18664.190
1.417,75.385,18795.605
1.417,76.410,18281.429
1.417,77.436,19920.899
1.417,78.462,19484.722
1.417,79.487,19203.483
1.417,80.513,18535.142
1.417,81.538,18534.513
1.417,82.564,19201.429
1.417,83.590,18032.660
1.417,84.615,18279.415
1.417,85.641,18406.505
1.417,86.667,19064.899
1.417,87.692,18930.251
1.417,88.718,18930.767
1.417,89.744,19065.850
1.417,90.769,18665.339
1.417,91.795,19341.251
1.417,92.821,18155.741
1.417,93.846,18533.781
1.417,94.872,18279.874
1.417,95.897,18663.605
1.417,96.923,18534.844
1.417,97.949,18280.727
1.417,98.974,19482.742
1.417,100.000,19203.386
1.417,101.026,19921.185
1.417,102.051,18931.201
1.417,103.077,19065.191
1.417,104.103,18534.578
1.417,105.128,19201.399
1.417,106.154,18663.532
1.417,107.179,18032.282
1.417,108.205,19201.264
1.417,109.231,18664.848
1.417,110.256,19341.819
1.417,111.282,18930.969
1.417,112.308,19483.808
1.417,113.333,18930.109
1.417,114.359,19202.274
1.417,115.385,18928.939
1.417,116.410,18155.517
1.417,117.436,19063.878
1.417,118.462,18406.338
1.417,119.487,18929.509
1.417,120.513,18535.028
1.417,121.538,19626.101
1.417,122.564,19342.334
1.417,123.590,19484.762
1.417,124.615,19342.810
1.417,125.641,18407.404
1.417,126.667,19063.994
1.417,127.692,18405.699
1.417,128.718,18405.590
1.417,129.744,17791.710
1.417,130.769,18663.605
1.417,131.795,19064.979
1.417,132.821,18407.673
1.417,133.846,19483.800
1.417,134.872,19484.148
1.417,135.897,19342.037
1.417,136.923,18280.965
1.417,137.949,18795.391
1.417,138.974,18663.742
1.417,140.000,18795.511
1.417,141.026,18534.144
1.417,142.051,18156.254
1.417,143.077,19341.663
1.417,144.103,18664.718
1.417,145.128,19065.240
1.417,146.154,18536.122
1.417,147.179,19483.682
1.417,148.205,18664.385
1.417,149.231,18405.998
1.417,150.256,18405.662
1.417,151.282,18155.483
1.417,152.308,18794.900
1.417,153.333,18155.665
1.417,154.359,18929.644
1.417,155.385,18796.904
1.417,156.410,19065.628
1.417,157.436,19342.280
1.417,158.462,18535.157
1.417,159.487,18406.414
1.417,160.513,18405.900
1.417,161.538,18794.687
1.417,162.564,18155.407
1.417,163.590,18533.786
1.417,164.615,18155.828
1.417,165.641,18796.387
1.417,166.667,19065.124
1.417,167.692,18664.799
1.417,168.718,19065.368
1.417,169.744,18930.516
1.417,170.769,19201.755
1.417,171.795,18406.198
1.417,172.821,18279.336
1.417,173.846,18663.024
1.417,174.872,18533.368
1.417,175.897,18795.107
1.417,176.923,18664.570
1.417,177.949,19342.351
1.417,178.974,18930.991
1.417,180.000,20070.389
1.417,181.026,18930.601
1.417,182.051,18534.503
1.417,183.077,18795.061
1.417,184.103,18663.291
1.417,185.128,18663.582
1.417,186.154,18032.903
1.417,187.179,18928.966
1.417,188.205,19202.611
1.417,189.231,19772.506
1.417,190.256,19203.058
1.417,191.282,18797.140
1.417,192.308,19626.979
1.417,193.333,18929.982
1.417,194.359,18280.219
1.417,195.385,18032.269
1.417,196.410,18927.789
1.417,197.436,18280.019
1.417,198.462,18406.106
1.417,199.487,18795.793
1.417,200.513,18930.427
1.417,201.538,19483.988
1.417,202.564,18930.674
1.417,203.590,19483.645
1.417,204.615,18796.131
1.417,205.641,19063.799
1.417,206.667,18406.270
1.417,207.692,18534.437
1.417,208.718,18795.924
1.417,209.744,18929.292
1.417,210.769,18929.947
1.417,211.795,18797.357
1.417,212.821,19203.026
1.417,213.846,18797.031
1.417,214.872,19065.482
1.417,215.897,18796.797
1.417,216.923,18280.443
1.417,217.949,18533.829
1.417,218.974,18279.320
1.417,220.000,18405.738
1.417,221.026,18280.002
1.417,222.051,18929.057
1.417,223.077,18664.770
1.417,224.103,19065.440
1.417,225.128,18535.388
1.417,226.154,18664.984
1.417,227.179,18928.989
1.417,228.205,18032.155
1.417,229.231,18154.948
1.417,230.256,18155.487
1.417,231.282,18663.866
1.417,232.308,18534.292
1.417,233.333,18534.730
1.417,234.359,18796.937
