"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 3.0000 (deg)                                           "
"Number of Points: 2413                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite00011/Sensor/Sensor12:    Active        "
"Satellite/Satellite00012/Sensor/Sensor13:    Active        "
"Satellite/Satellite00021/Sensor/Sensor14:    Active        "
"Satellite/Satellite00022/Sensor/Sensor15:    Active        "
"Satellite/Satellite00031/Sensor/Sensor16:    Active        "
"Satellite/Satellite00032/Sensor/Sensor17:    Active        "
"Satellite/Satellite00041/Sensor/Sensor18:    Active        "
"Satellite/Satellite00042/Sensor/Sensor19:    Active        "
"Satellite/Satellite00051/Sensor/Sensor20:    Active        "
"Satellite/Satellite00052/Sensor/Sensor21:    Active        "
"Satellite/Satellite00061/Sensor/Sensor22:    Active        "
"Satellite/Satellite00062/Sensor/Sensor23:    Active        "
"Satellite/Satellite00071/Sensor/Sensor24:    Active        "
"Satellite/Satellite00072/Sensor/Sensor25:    Active        "
"Satellite/Satellite00081/Sensor/Sensor26:    Active        "
"Satellite/Satellite00082/Sensor/Sensor27:    Active        "
"Satellite/Satellite00091/Sensor/Sensor28:    Active        "
"Satellite/Satellite00092/Sensor/Sensor29:    Active        "
"Satellite/Satellite00101/Sensor/Sensor30:    Active        "
"Satellite/Satellite00102/Sensor/Sensor31:    Active        "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Satellite/Satellite051/Sensor/Sensor9:    Active           "
"Satellite/Satellite052/Sensor/Sensor10:    Active          "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
1.417,1.538,7032.975
1.417,4.615,7232.942
1.417,7.692,6936.792
1.417,10.769,7032.798
1.417,13.846,7335.938
1.417,16.923,7442.441
1.417,20.000,7129.819
1.417,23.077,7031.397
1.417,26.154,7131.820
1.417,29.231,7231.414
1.417,32.308,7130.417
1.417,35.385,7230.615
1.417,38.462,7232.515
1.417,41.538,7335.854
1.417,44.615,6936.441
1.417,47.692,7130.391
1.417,50.769,7232.769
1.417,53.846,7033.489
1.417,56.923,7031.886
1.417,60.000,7231.444
1.417,63.077,7442.483
1.417,66.154,7334.688
1.417,69.231,7031.615
1.417,72.308,7032.286
1.417,75.385,7132.250
1.417,78.462,7230.972
1.417,81.538,7031.842
1.417,84.615,7232.341
1.417,87.692,7336.479
1.417,90.769,7230.202
1.417,93.846,7129.320
1.417,96.923,7130.973
1.417,100.000,7442.142
1.417,103.077,7032.514
1.417,106.154,7129.700
1.417,109.231,7232.580
1.417,112.308,7335.966
1.417,115.385,7334.347
1.417,118.462,7031.878
1.417,121.538,6938.578
1.417,124.615,7232.025
1.417,127.692,6936.445
1.417,130.769,7230.882
1.417,133.846,7335.885
1.417,136.923,7231.645
1.417,140.000,7229.442
1.417,143.077,7032.500
1.417,146.154,7231.753
1.417,149.231,7232.007
1.417,152.308,7130.023
1.417,155.385,7231.134
1.417,158.462,7443.123
1.417,161.538,7334.291
1.417,164.615,7230.498
1.417,167.692,7230.626
1.417,170.769,7131.361
1.417,173.846,7231.250
1.417,176.923,7031.932
1.417,180.000,7231.736
1.417,183.077,7335.656
1.417,186.154,7231.503
1.417,189.231,7031.643
1.417,192.308,7130.968
1.417,195.385,7131.842
1.417,198.462,7130.485
1.417,201.538,7032.334
1.417,204.615,7335.903
1.417,207.692,7442.265
1.417,210.769,7440.017
1.417,213.846,7129.616
1.417,216.923,7032.778
1.417,220.000,7131.814
1.417,223.077,7130.159
1.417,226.154,7334.877
1.417,229.231,7335.907
1.417,232.308,7232.429
1.417,235.385,6936.739
1.417,238.462,7031.671
1.417,241.538,7131.435
1.417,244.615,7231.271
1.417,247.692,7231.709
1.417,250.769,7130.599
1.417,253.846,7335.898
1.417,256.923,7442.300
1.417,260.000,7230.577
1.417,263.077,7230.886
1.417,266.154,7033.355
1.417,269.231,7335.645
1.417,272.308,7032.094
1.417,275.385,7232.161
1.417,278.462,7232.294
1.417,281.538,7334.807
1.417,284.615,6936.744
1.417,287.692,6936.901
1.417,290.769,7033.878
1.417,293.846,7231.802
1.417,296.923,7032.491
1.417,300.000,7334.740
1.417,303.077,7336.379
1.417,306.154,7130.419
1.417,309.231,6936.518
1.417,312.308,7130.443
1.417,315.385,7131.467
1.417,318.462,7231.499
1.417,321.538,7333.875
1.417,324.615,7335.125
1.417,327.692,7232.931
1.417,330.769,7130.785
1.417,333.846,7129.919
1.417,336.923,7033.277
1.417,340.000,7232.417
1.417,343.077,7231.439
1.417,346.154,7031.758
1.417,349.231,7131.531
1.417,352.308,7231.944
1.417,355.385,7129.825
1.417,358.462,7230.536
4.250,1.538,5396.567
4.250,4.615,5455.143
4.250,7.692,5454.989
4.250,10.769,5454.422
4.250,13.846,5573.224
4.250,16.923,5455.783
4.250,20.000,5513.016
4.250,23.077,5396.895
4.250,26.154,5454.603
4.250,29.231,5513.477
4.250,32.308,5513.835
4.250,35.385,5396.995
4.250,38.462,5396.695
4.250,41.538,5574.307
4.250,44.615,5634.759
4.250,47.692,5454.592
4.250,50.769,5454.522
4.250,53.846,5514.450
4.250,56.923,5396.598
4.250,60.000,5454.966
4.250,63.077,5573.381
4.250,66.154,5454.740
4.250,69.231,5397.070
4.250,72.308,5396.486
4.250,75.385,5513.998
4.250,78.462,5573.444
4.250,81.538,5454.623
4.250,84.615,5454.013
4.250,87.692,5514.495
4.250,90.769,5573.368
4.250,93.846,5454.474
4.250,96.923,5514.295
4.250,100.000,5396.841
4.250,103.077,5397.224
4.250,106.154,5396.820
4.250,109.231,5454.748
4.250,112.308,5574.302
4.250,115.385,5573.841
4.250,118.462,5397.171
4.250,121.538,5396.496
4.250,124.615,5574.017
4.250,127.692,5573.023
4.250,130.769,5573.452
4.250,133.846,5341.066
4.250,136.923,5397.217
4.250,140.000,5340.209
4.250,143.077,5397.058
4.250,146.154,5634.663
4.250,149.231,5514.160
4.250,152.308,5513.203
4.250,155.385,5340.524
4.250,158.462,5513.783
4.250,161.538,5574.004
4.250,164.615,5512.856
4.250,167.692,5454.508
4.250,170.769,5513.616
4.250,173.846,5454.412
4.250,176.923,5454.555
4.250,180.000,5454.647
4.250,183.077,5397.176
4.250,186.154,5514.372
4.250,189.231,5396.665
4.250,192.308,5513.646
4.250,195.385,5513.824
4.250,198.462,5455.273
4.250,201.538,5454.426
4.250,204.615,5454.807
4.250,207.692,5454.818
4.250,210.769,5512.746
4.250,213.846,5340.956
4.250,216.923,5396.426
4.250,220.000,5514.191
4.250,223.077,5454.391
4.250,226.154,5454.632
4.250,229.231,5513.453
4.250,232.308,5514.042
4.250,235.385,5396.897
4.250,238.462,5396.476
4.250,241.538,5514.168
4.250,244.615,5513.375
4.250,247.692,5454.523
4.250,250.769,5397.307
4.250,253.846,5396.799
4.250,256.923,5574.028
4.250,260.000,5573.777
4.250,263.077,5454.681
4.250,266.154,5513.029
