"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 1.0000 (deg)                                           "
"Number of Points: 21712                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/RCO:    Active                                   "
"Satellite/Satellite111/Sensor/Sensor2:    Active           "
"Satellite/Satellite112/Sensor/Sensor3:    Active           "
"Satellite/Satellite121/Sensor/Sensor4:    Active           "
"Satellite/Satellite122/Sensor/Sensor5:    Active           "
"Satellite/Satellite131/Sensor/Sensor6:    Active           "
"Satellite/Satellite132/Sensor/Sensor7:    Active           "
"Satellite/Satellite141/Sensor/Sensor8:    Active           "
"Satellite/Satellite142/Sensor/Sensor9:    Active           "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.472,0.513,28726.202
0.472,1.538,27419.637
0.472,2.564,28726.818
0.472,3.590,28727.983
0.472,4.615,28729.207
0.472,5.641,30167.176
0.472,6.667,28729.846
0.472,7.692,28728.971
0.472,8.718,28727.608
0.472,9.744,27420.396
0.472,10.769,27420.547
0.472,11.795,27420.715
0.472,12.821,27420.353
0.472,13.846,27420.546
0.472,14.872,28728.197
0.472,15.897,28729.345
0.472,16.923,31755.697
0.472,17.949,30166.918
0.472,18.974,28729.237
0.472,20.000,28728.532
0.472,21.026,27420.434
0.472,22.051,27420.368
0.472,23.077,27420.647
0.472,24.103,27420.141
0.472,25.128,28726.888
0.472,26.154,28728.076
0.472,27.179,27422.462
0.472,28.205,28729.740
0.472,29.231,28727.962
0.472,30.256,27419.440
0.472,31.282,27417.551
0.472,32.308,26223.232
0.472,33.333,27415.693
0.472,34.359,27416.029
0.472,35.385,26224.374
0.472,36.410,27419.411
0.472,37.436,27421.692
0.472,38.462,27422.197
0.472,39.487,28729.615
0.472,40.513,27422.314
0.472,41.538,27419.829
0.472,42.564,27417.824
0.472,43.590,27416.119
0.472,44.615,26222.973
0.472,45.641,27415.738
0.472,46.667,27416.731
0.472,47.692,26225.805
0.472,48.718,28726.959
0.472,49.744,27421.844
0.472,50.769,30166.509
0.472,51.795,28728.442
0.472,52.821,27419.948
0.472,53.846,27418.261
0.472,54.872,26224.582
0.472,55.897,26223.506
0.472,56.923,26223.401
0.472,57.949,27416.934
