"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 60.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.5000 (deg)                                           "
"Number of Points: 64152                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/RCO:    Active                                   "
"Satellite/RCO111/Sensor/Sensor3:    Active                 "
"Satellite/RCO112/Sensor/Sensor4:    Active                 "
"Satellite/RCO121/Sensor/Sensor5:    Active                 "
"Satellite/RCO122/Sensor/Sensor6:    Active                 "
"Satellite/RCO131/Sensor/Sensor7:    Active                 "
"Satellite/RCO132/Sensor/Sensor8:    Active                 "
"Satellite/RCO141/Sensor/Sensor9:    Active                 "
"Satellite/RCO142/Sensor/Sensor36:    Active                "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.278,0.256,20720.054
0.278,0.769,19387.093
0.278,1.282,17678.702
0.278,1.795,17680.036
0.278,2.308,17678.411
0.278,2.821,19386.506
0.278,3.333,20719.883
0.278,3.846,20715.878
0.278,4.359,20713.785
0.278,4.872,20713.453
0.278,5.385,20714.876
0.278,5.897,20718.142
0.278,6.410,20031.459
0.278,6.923,17676.743
0.278,7.436,18215.947
0.278,7.949,17679.258
0.278,8.462,18212.925
0.278,8.974,20032.199
0.278,9.487,20717.714
0.278,10.000,20714.194
0.278,10.513,20712.516
0.278,11.026,20712.556
0.278,11.538,20714.300
0.278,12.051,20717.904
0.278,12.564,19385.570
0.278,13.077,18213.707
0.278,13.590,17679.846
0.278,14.103,17679.452
0.278,14.615,18212.025
0.278,15.128,20722.265
0.278,15.641,20717.317
0.278,16.154,20714.462
0.278,16.667,20713.402
0.278,17.179,20714.074
0.278,17.692,20716.562
0.278,18.205,20720.939
0.278,18.718,18780.619
0.278,19.231,17679.011
0.278,19.744,18216.266
0.278,20.256,17677.892
0.278,20.769,19386.593
0.278,21.282,20719.781
0.278,21.795,20715.462
0.278,22.308,20713.019
0.278,22.821,20712.348
0.278,23.333,20713.363
0.278,23.846,20716.155
0.278,24.359,20721.024
0.278,24.872,18211.973
0.278,25.385,18215.609
0.278,25.897,17679.852
0.278,26.410,18213.756
0.278,26.923,19385.989
0.278,27.436,20719.124
0.278,27.949,20715.457
0.278,28.462,20713.650
0.278,28.974,20713.595
0.278,29.487,20715.312
0.278,30.000,20718.865
0.278,30.513,20032.250
0.278,31.026,17676.976
0.278,31.538,18216.085
0.278,32.051,18215.581
0.278,32.564,18212.168
0.278,33.077,20722.254
0.278,33.590,20717.054
0.278,34.103,20713.830
0.278,34.615,20712.438
0.278,35.128,20712.742
0.278,35.641,20714.774
0.278,36.154,20718.701
0.278,36.667,18778.264
0.278,37.179,17170.540
0.278,37.692,17677.192
0.278,38.205,17170.003
0.278,38.718,18207.529
0.278,39.231,20025.469
0.278,39.744,20020.774
0.278,40.256,20018.081
0.278,40.769,20017.158
0.278,41.282,20017.963
0.278,41.795,20020.566
0.278,42.308,19378.734
0.278,42.821,18206.535
0.278,43.333,17168.531
0.278,43.846,17675.177
0.278,44.359,17167.864
0.278,44.872,18774.862
0.278,45.385,20022.844
0.278,45.897,20019.208
0.278,46.410,20017.447
0.278,46.923,20017.455
0.278,47.436,20019.194
0.278,47.949,20022.842
0.278,48.462,19381.531
0.278,48.974,17168.514
0.278,49.487,17676.955
0.278,50.000,17676.558
0.278,50.513,17167.937
0.278,51.026,19381.098
0.278,51.538,20022.486
0.278,52.051,20019.016
0.278,52.564,20017.354
0.278,53.077,20017.431
0.278,53.590,20019.279
0.278,54.103,20022.940
0.278,54.615,18775.132
0.278,55.128,17167.651
0.278,55.641,17169.354
0.278,56.154,17674.377
0.278,56.667,17671.311
0.278,57.179,20024.984
0.278,57.692,20020.524
0.278,58.205,20017.977
0.278,58.718,20017.260
0.278,59.231,20018.257
0.278,59.744,20021.072
0.278,60.256,19379.904
0.278,60.769,18208.192
0.278,61.282,17170.490
0.278,61.795,17677.098
0.278,62.308,17675.019
0.278,62.821,18207.102
0.278,63.333,20024.597
0.278,63.846,20020.261
0.278,64.359,20017.853
0.278,64.872,20017.203
0.278,65.385,20018.297
0.278,65.897,20021.193
0.278,66.410,19379.106
0.278,66.923,17671.730
0.278,67.436,17169.109
0.278,67.949,17169.243
0.278,68.462,18208.464
0.278,68.974,18774.738
0.278,69.487,20022.159
0.278,70.000,20018.829
0.278,70.513,20017.362
0.278,71.026,20017.641
0.278,71.538,20019.674
0.278,72.051,20023.656
0.278,72.564,18776.583
0.278,73.077,17169.581
0.278,73.590,17171.406
0.278,74.103,17676.257
0.278,74.615,18209.176
0.278,75.128,20029.004
0.278,75.641,20715.520
0.278,76.154,20712.699
0.278,76.667,20711.310
0.278,77.179,20711.678
0.278,77.692,20713.847
