"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 3.0000 (deg)                                           "
"Number of Points: 2413                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite0011/Sensor/Sensor1:    Active          "
"Satellite/Satellite0012/Sensor/Sensor2:    Active          "
"Satellite/Satellite0021/Sensor/Sensor3:    Active          "
"Satellite/Satellite0022/Sensor/Sensor4:    Active          "
"Satellite/Satellite0031/Sensor/Sensor5:    Active          "
"Satellite/Satellite0032/Sensor/Sensor6:    Active          "
"Satellite/Satellite0041/Sensor/Sensor7:    Active          "
"Satellite/Satellite0042/Sensor/Sensor8:    Active          "
"Satellite/Satellite0051/Sensor/Sensor9:    Active          "
"Satellite/Satellite0052/Sensor/Sensor10:    Active         "
"Satellite/Satellite0061/Sensor/Sensor11:    Active         "
"Satellite/Satellite0062/Sensor/Sensor12:    Active         "
"Satellite/Satellite0071/Sensor/Sensor13:    Active         "
"Satellite/Satellite0072/Sensor/Sensor14:    Active         "
"Satellite/Satellite0081/Sensor/Sensor15:    Active         "
"Satellite/Satellite0082/Sensor/Sensor16:    Active         "
"Satellite/Satellite0091/Sensor/Sensor17:    Active         "
"Satellite/Satellite0092/Sensor/Sensor18:    Active         "
"Satellite/Satellite0101/Sensor/Sensor19:    Active         "
"Satellite/Satellite0102/Sensor/Sensor20:    Active         "
"Satellite/SatelliteRCO011/Sensor/Sensor22:    Active       "
"Satellite/SatelliteRCO012/Sensor/Sensor23:    Active       "
"Satellite/SatelliteRCO021/Sensor/Sensor24:    Active       "
"Satellite/SatelliteRCO022/Sensor/Sensor25:    Active       "
"Satellite/SatelliteRCO031/Sensor/Sensor26:    Active       "
"Satellite/SatelliteRCO032/Sensor/Sensor27:    Active       "
"Satellite/SatelliteRCO041/Sensor/Sensor28:    Active       "
"Satellite/SatelliteRCO042/Sensor/Sensor29:    Active       "
"Satellite/SatelliteRCO051/Sensor/Sensor30:    Active       "
"Satellite/SatelliteRCO052/Sensor/Sensor31:    Active       "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
1.417,1.538,7783.816
1.417,4.615,7905.791
1.417,7.692,7782.845
1.417,10.769,7553.169
1.417,13.846,8028.469
1.417,16.923,8288.074
1.417,20.000,7902.514
1.417,23.077,8026.058
1.417,26.154,8156.591
1.417,29.231,7784.352
1.417,32.308,8025.576
1.417,35.385,7903.192
1.417,38.462,7785.258
1.417,41.538,7905.324
1.417,44.615,7443.374
1.417,47.692,7444.310
1.417,50.769,7785.374
1.417,53.846,7555.457
1.417,56.923,7666.378
1.417,60.000,7667.197
1.417,63.077,8156.821
1.417,66.154,7904.054
1.417,69.231,7782.397
1.417,72.308,7553.393
1.417,75.385,7905.799
1.417,78.462,7667.568
1.417,81.538,7552.881
1.417,84.615,7784.493
1.417,87.692,8030.018
1.417,90.769,7904.047
1.417,93.846,7782.119
1.417,96.923,7667.884
1.417,100.000,8156.544
1.417,103.077,7783.082
1.417,106.154,7782.795
1.417,109.231,7904.545
1.417,112.308,8028.522
1.417,115.385,8026.803
1.417,118.462,8026.092
1.417,121.538,7904.209
1.417,124.615,8028.802
1.417,127.692,7552.513
1.417,130.769,7782.052
1.417,133.846,8288.229
1.417,136.923,7904.859
1.417,140.000,8026.905
1.417,143.077,7552.711
1.417,146.154,7903.786
1.417,149.231,8156.869
1.417,152.308,7902.092
1.417,155.385,7902.182
1.417,158.462,8288.742
1.417,161.538,7667.400
1.417,164.615,8025.681
1.417,167.692,8027.244
1.417,170.769,7904.997
1.417,173.846,7668.584
1.417,176.923,7443.203
1.417,180.000,7554.230
1.417,183.077,8029.304
1.417,186.154,7668.539
1.417,189.231,7782.600
1.417,192.308,7783.369
1.417,195.385,7905.304
1.417,198.462,7903.526
1.417,201.538,7553.475
1.417,204.615,8027.716
1.417,207.692,7906.021
1.417,210.769,8026.489
1.417,213.846,7782.255
1.417,216.923,7783.240
1.417,220.000,7785.815
1.417,223.077,7903.508
1.417,226.154,7782.053
1.417,229.231,8028.386
1.417,232.308,8029.378
1.417,235.385,7902.770
1.417,238.462,7782.231
1.417,241.538,7904.540
1.417,244.615,7904.292
1.417,247.692,8026.428
1.417,250.769,8026.583
1.417,253.846,8287.471
1.417,256.923,8156.527
1.417,260.000,7901.949
1.417,263.077,7902.611
1.417,266.154,8155.458
1.417,269.231,7904.836
1.417,272.308,7781.941
1.417,275.385,7666.486
1.417,278.462,7905.836
1.417,281.538,7785.103
1.417,284.615,7782.718
1.417,287.692,7552.668
1.417,290.769,7784.615
1.417,293.846,7904.040
1.417,296.923,7666.144
1.417,300.000,8026.828
1.417,303.077,7786.556
1.417,306.154,7554.964
1.417,309.231,7442.952
1.417,312.308,7667.882
1.417,315.385,7785.343
1.417,318.462,7903.881
1.417,321.538,7782.051
1.417,324.615,8027.147
1.417,327.692,7785.917
1.417,330.769,7784.226
1.417,333.846,7902.909
1.417,336.923,7667.732
1.417,340.000,7904.983
