"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 1.0000 (deg)                                           "
"Number of Points: 21712                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/SSO18:    Active                                 "
"Satellite/SSO18111:    Active                              "
"Satellite/SSO18121:    Active                              "
"Satellite/SSO18131:    Active                              "
"Satellite/SSO18141:    Active                              "
"Satellite/SSO18151:    Active                              "
"Satellite/SSO18161:    Active                              "
"Satellite/SSO18171:    Active                              "
"Satellite/SSO18181:    Active                              "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.472,0.513,3054.167
0.472,1.538,3052.128
0.472,2.564,3085.866
0.472,3.590,3083.959
0.472,4.615,3084.362
0.472,5.641,3085.429
0.472,6.667,3052.535
0.472,7.692,3037.410
0.472,8.718,3038.294
0.472,9.744,3057.268
0.472,10.769,3038.585
0.472,11.795,3037.740
0.472,12.821,3088.601
0.472,13.846,3123.375
0.472,14.872,3141.015
0.472,15.897,3122.038
0.472,16.923,3123.683
0.472,17.949,3070.137
0.472,18.974,3036.681
0.472,20.000,3055.966
0.472,21.026,3037.943
0.472,22.051,3038.039
0.472,23.077,3036.387
0.472,24.103,3051.786
0.472,25.128,3103.849
0.472,26.154,3102.118
0.472,27.179,3102.499
0.472,28.205,3122.190
0.472,29.231,3069.852
0.472,30.256,3054.319
0.472,31.282,3037.407
0.472,32.308,3056.245
0.472,33.333,3037.834
0.472,34.359,3054.479
0.472,35.385,3070.418
0.472,36.410,3123.193
0.472,37.436,3140.894
0.472,38.462,3122.025
0.472,39.487,3141.993
0.472,40.513,3052.478
0.472,41.538,3036.280
0.472,42.564,3038.555
0.472,43.590,3055.588
0.472,44.615,3055.748
0.472,45.641,3054.103
0.472,46.667,3051.618
0.472,47.692,3085.654
0.472,48.718,3083.889
0.472,49.744,3084.300
0.472,50.769,3085.780
0.472,51.795,3052.466
0.472,52.821,3055.360
