"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.0100 (deg)                                           "
"Number of Points: 551                                              "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/RCO:    Active                                   "
"Satellite/RCO111/Sensor/Sensor3:    Active                 "
"Satellite/RCO112/Sensor/Sensor4:    Active                 "
"Satellite/RCO121/Sensor/Sensor5:    Active                 "
"Satellite/RCO122/Sensor/Sensor6:    Active                 "
"Satellite/RCO131/Sensor/Sensor7:    Active                 "
"Satellite/RCO132/Sensor/Sensor8:    Active                 "
"Satellite/RCO141/Sensor/Sensor9:    Active                 "
"Satellite/RCO142/Sensor/Sensor36:    Active                "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.555,33.425,3413.663
44.555,33.439,3393.733
44.555,33.453,3393.685
44.555,33.467,3393.647
44.555,33.481,3393.614
44.555,33.495,3393.585
44.555,33.509,3393.559
44.555,33.523,3393.535
44.555,33.537,3393.513
44.555,33.551,3393.493
44.555,33.565,3393.474
44.555,33.579,3393.457
44.565,33.425,3413.481
44.565,33.439,3413.476
44.565,33.453,3373.929
44.565,33.467,3373.883
44.565,33.481,3373.852
44.565,33.495,3373.830
44.565,33.509,3393.431
44.565,33.523,3393.404
44.565,33.537,3393.379
44.565,33.551,3393.356
44.565,33.565,3393.335
44.565,33.579,3393.316
44.575,33.425,3413.311
44.575,33.439,3413.303
44.575,33.453,3413.296
44.575,33.467,3373.766
44.575,33.481,3373.711
44.575,33.495,3373.673
44.575,33.509,3373.642
44.575,33.523,3373.616
44.575,33.537,3373.593
44.575,33.551,3373.574
44.575,33.565,3373.557
44.575,33.579,3373.544
44.584,33.425,3413.154
44.584,33.439,3413.144
44.584,33.453,3413.135
44.584,33.467,3413.127
44.584,33.481,3373.625
44.584,33.495,3373.554
44.584,33.509,3373.512
44.584,33.523,3373.479
44.584,33.537,3373.451
44.584,33.551,3373.426
44.584,33.565,3373.404
44.584,33.579,3373.384
44.594,33.425,3393.116
44.594,33.439,3393.111
44.594,33.453,3393.108
44.594,33.467,3393.108
44.594,33.481,3393.115
44.594,33.495,3393.106
44.594,33.509,3373.408
44.594,33.523,3373.362
44.594,33.537,3373.326
44.594,33.551,3373.296
44.594,33.565,3373.270
44.594,33.579,3373.247
44.604,33.425,3392.945
44.604,33.439,3392.937
44.604,33.453,3392.930
44.604,33.467,3392.924
44.604,33.481,3392.919
44.604,33.495,3392.915
44.604,33.509,3392.912
44.604,33.523,3353.838
44.604,33.537,3353.792
44.604,33.551,3353.761
44.604,33.565,3353.738
44.604,33.579,3353.724
44.614,33.425,3392.789
44.614,33.439,3392.779
44.614,33.453,3392.771
44.614,33.467,3392.763
44.614,33.481,3392.756
44.614,33.495,3392.749
44.614,33.509,3392.744
44.614,33.523,3392.740
44.614,33.537,3353.685
44.614,33.551,3353.629
44.614,33.565,3353.592
44.614,33.579,3353.564
44.623,33.425,3373.019
44.623,33.439,3392.632
44.623,33.453,3392.622
44.623,33.467,3392.612
44.623,33.481,3392.604
44.623,33.495,3392.596
44.623,33.509,3392.590
44.623,33.523,3392.584
44.623,33.537,3392.578
44.623,33.551,3372.945
44.623,33.565,3353.480
44.623,33.579,3353.439
44.633,33.425,3372.833
44.633,33.439,3372.826
44.633,33.453,3372.821
44.633,33.467,3372.817
44.633,33.481,3372.815
44.633,33.495,3372.817
44.633,33.509,3372.828
44.633,33.523,3392.437
44.633,33.537,3392.430
44.633,33.551,3392.425
44.633,33.565,3392.420
44.633,33.579,3353.341
44.643,33.425,3372.678
44.643,33.439,3372.668
44.643,33.453,3372.659
44.643,33.467,3372.652
44.643,33.481,3372.645
44.643,33.495,3372.640
44.643,33.509,3372.636
44.643,33.523,3372.634
44.643,33.537,3372.632
44.643,33.551,3372.633
44.643,33.565,3372.635
44.643,33.579,3372.640
46.615,32.542,2815.443
46.615,32.556,2815.424
46.615,32.571,2815.419
46.615,32.585,2815.439
46.615,32.600,2829.234
46.615,32.614,2829.237
46.615,32.629,2843.168
46.615,32.643,2843.148
46.615,32.658,2843.129
46.615,32.672,2843.111
46.624,32.542,2829.270
46.624,32.556,2829.283
46.624,32.571,2829.275
46.624,32.585,2829.260
46.624,32.600,2843.202
46.624,32.614,2843.178
46.624,32.629,2843.155
46.624,32.643,2843.134
46.624,32.658,2843.114
46.624,32.672,2843.096
46.634,32.542,2829.298
46.634,32.556,2843.247
46.634,32.571,2843.254
46.634,32.585,2843.235
46.634,32.600,2843.199
46.634,32.614,2843.171
46.634,32.629,2843.146
46.634,32.643,2843.123
46.634,32.658,2843.103
46.634,32.672,2843.084
46.644,32.542,2843.252
46.644,32.556,2857.346
46.644,32.571,2857.329
46.644,32.585,2857.314
46.644,32.600,2857.299
46.644,32.614,2843.172
46.644,32.629,2843.142
46.644,32.643,2843.117
46.644,32.658,2843.095
46.644,32.672,2843.075
46.653,32.545,2857.342
46.653,32.559,2857.324
46.653,32.574,2857.308
46.653,32.589,2857.292
46.653,32.603,2857.277
46.653,32.618,2857.263
46.653,32.632,2843.141
46.653,32.647,2843.111
46.653,32.662,2843.087
46.653,32.676,2843.066
46.663,32.545,2857.326
46.663,32.559,2857.309
46.663,32.574,2857.292
46.663,32.589,2857.276
