"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 10491                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite0011/Sensor/Sensor1:    Active          "
"Satellite/Satellite0012/Sensor/Sensor2:    Active          "
"Satellite/Satellite0021/Sensor/Sensor3:    Active          "
"Satellite/Satellite0022/Sensor/Sensor4:    Active          "
"Satellite/Satellite0031/Sensor/Sensor5:    Active          "
"Satellite/Satellite0032/Sensor/Sensor6:    Active          "
"Satellite/Satellite0041/Sensor/Sensor7:    Active          "
"Satellite/Satellite0042/Sensor/Sensor8:    Active          "
"Satellite/Satellite0051/Sensor/Sensor9:    Active          "
"Satellite/Satellite0052/Sensor/Sensor10:    Active         "
"Satellite/Satellite0061/Sensor/Sensor11:    Active         "
"Satellite/Satellite0062/Sensor/Sensor12:    Active         "
"Satellite/Satellite0071/Sensor/Sensor13:    Active         "
"Satellite/Satellite0072/Sensor/Sensor14:    Active         "
"Satellite/Satellite0081/Sensor/Sensor15:    Active         "
"Satellite/Satellite0082/Sensor/Sensor16:    Active         "
"Satellite/Satellite0091/Sensor/Sensor17:    Active         "
"Satellite/Satellite0092/Sensor/Sensor18:    Active         "
"Satellite/Satellite0101/Sensor/Sensor19:    Active         "
"Satellite/Satellite0102/Sensor/Sensor20:    Active         "
"Satellite/Satellite0111/Sensor/Sensor21:    Active         "
"Satellite/Satellite0112/Sensor/Sensor22:    Active         "
"Satellite/Satellite0121/Sensor/Sensor23:    Active         "
"Satellite/Satellite0122/Sensor/Sensor24:    Active         "
"Satellite/Satellite0131/Sensor/Sensor25:    Active         "
"Satellite/Satellite0132/Sensor/Sensor26:    Active         "
"Satellite/Satellite0141/Sensor/Sensor27:    Active         "
"Satellite/Satellite0142/Sensor/Sensor28:    Active         "
"Satellite/Satellite0151/Sensor/Sensor29:    Active         "
"Satellite/Satellite0152/Sensor/Sensor30:    Active         "
"Satellite/Satellite0161/Sensor/Sensor31:    Active         "
"Satellite/Satellite0162/Sensor/Sensor32:    Active         "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
38.711,33.791,6593.620
38.711,33.922,6346.774
38.711,34.052,6117.714
38.711,34.183,5973.216
38.711,34.314,5705.492
38.711,34.444,5460.461
38.711,34.575,5344.680
38.711,34.706,5287.904
38.711,34.837,5127.678
38.711,34.967,5025.640
38.711,43.856,6872.694
38.711,43.987,7580.351
38.711,44.118,7808.485
38.711,44.248,7577.055
38.711,44.379,7154.089
38.711,44.510,6958.897
38.711,44.641,7150.881
38.711,44.771,7249.288
38.711,44.902,6952.708
38.814,33.791,6509.514
38.814,33.922,6268.789
38.814,34.052,6117.194
38.814,34.183,5904.022
38.814,34.314,5642.256
38.814,34.444,5459.988
38.814,34.575,5289.100
38.814,34.706,5287.588
38.814,34.837,5127.521
38.814,34.967,5025.542
38.814,35.098,4975.556
38.814,35.229,4879.701
38.814,35.359,4787.547
38.814,35.490,4414.462
38.814,35.621,4338.329
38.814,35.752,4300.960
38.814,35.882,4229.226
38.814,36.013,4194.082
38.814,36.144,3875.351
38.814,36.275,3816.811
38.814,36.405,3845.395
38.814,36.536,3874.579
38.814,36.667,3874.791
38.814,36.797,3653.218
38.814,36.928,3706.090
38.814,37.059,3845.590
38.814,37.190,3874.753
38.814,37.320,3874.963
38.814,37.451,3733.466
38.814,37.582,3706.140
38.814,37.712,3816.897
38.814,37.843,3845.613
38.814,37.974,3874.942
38.814,38.105,3760.969
38.814,38.235,3706.102
38.814,38.366,3816.784
38.814,38.497,3874.680
38.814,38.627,3874.829
38.814,38.758,3845.949
38.814,38.889,3817.225
38.814,39.020,3934.931
38.814,39.150,4028.298
38.814,39.281,4093.346
38.814,39.412,4194.849
38.814,39.542,4338.122
38.814,39.673,4452.346
38.814,39.804,4572.680
38.814,39.935,4699.771
38.814,40.065,4834.185
38.814,40.196,5025.268
38.814,40.327,5178.911
38.814,40.458,5286.939
38.814,40.588,5288.271
38.814,40.719,5458.862
38.814,40.850,5579.264
38.814,40.980,5705.194
38.814,41.111,5771.442
38.814,41.242,5906.856
38.814,41.373,6591.544
38.814,41.503,6767.197
38.814,41.634,6859.776
38.814,41.765,6862.097
38.814,41.895,6774.264
38.814,42.026,7574.277
38.814,42.157,7688.862
38.814,42.288,7467.261
38.814,42.418,6870.093
38.814,42.549,6780.671
38.814,42.680,7693.621
38.814,42.810,7693.931
38.814,42.941,7471.117
38.814,43.072,6872.935
38.814,43.203,6782.666
38.814,43.333,7471.999
38.814,43.464,7694.606
38.814,43.595,7470.861
38.814,43.725,6964.936
38.814,43.856,6871.451
38.814,43.987,7258.800
38.814,44.118,7691.070
38.814,44.248,7466.362
38.814,44.379,7055.165
38.814,44.510,6865.193
38.814,44.641,6956.622
38.814,44.771,7147.973
38.814,44.902,6859.353
38.916,33.791,6427.529
38.916,33.922,6268.246
38.916,34.052,6044.680
38.916,34.183,5836.403
