"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 10:31:28.773,1 May 2023 10:32:41.892,73.120
2,1 May 2023 20:43:38.769,1 May 2023 20:48:29.556,290.788
3,2 May 2023 09:13:13.423,2 May 2023 09:15:53.003,159.580
4,2 May 2023 20:54:00.748,2 May 2023 20:58:49.648,288.900
5,3 May 2023 09:21:45.360,3 May 2023 09:26:14.295,268.934
6,3 May 2023 21:04:21.781,3 May 2023 21:09:08.875,287.094
7,4 May 2023 09:31:49.618,4 May 2023 09:36:34.127,284.509
8,4 May 2023 21:14:41.945,4 May 2023 21:19:19.575,277.630
9,5 May 2023 09:42:07.036,5 May 2023 09:46:54.834,287.798
10,5 May 2023 21:25:01.226,5 May 2023 21:28:42.928,221.702
11,6 May 2023 09:52:26.599,6 May 2023 09:57:16.432,289.833
12,6 May 2023 20:08:47.368,6 May 2023 20:09:15.120,27.751
13,6 May 2023 21:35:41.030,6 May 2023 21:36:12.811,31.780

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 21:28:59.277,1 May 2023 21:31:39.001,159.724
2,2 May 2023 09:56:22.846,2 May 2023 10:01:13.512,290.666
3,2 May 2023 20:12:10.473,2 May 2023 20:13:22.806,72.333
4,3 May 2023 10:06:43.496,3 May 2023 10:11:28.723,285.227
5,3 May 2023 20:20:48.749,3 May 2023 20:23:49.784,181.035
6,4 May 2023 10:17:05.005,4 May 2023 10:20:52.656,227.652
7,4 May 2023 20:29:36.165,4 May 2023 20:34:11.854,275.689
8,5 May 2023 10:27:28.011,5 May 2023 10:29:21.759,113.748
9,5 May 2023 20:39:41.889,5 May 2023 20:44:33.094,291.205
10,6 May 2023 09:10:23.187,6 May 2023 09:11:49.672,86.486
11,6 May 2023 20:50:03.896,6 May 2023 20:54:53.480,289.585
12,7 May 2023 09:18:05.226,7 May 2023 09:22:18.392,253.166

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 12:02:03.483,1 May 2023 12:06:50.488,287.005
2,1 May 2023 23:44:57.598,1 May 2023 23:49:20.195,262.597
3,2 May 2023 12:12:22.825,2 May 2023 12:17:11.829,289.004
4,2 May 2023 23:55:22.350,2 May 2023 23:57:22.201,119.850
5,3 May 2023 12:22:42.974,3 May 2023 12:27:34.129,291.155
6,3 May 2023 22:38:10.373,3 May 2023 22:39:45.713,95.340
7,4 May 2023 12:33:03.943,4 May 2023 12:37:43.659,279.716
8,4 May 2023 22:46:42.807,4 May 2023 22:50:10.278,207.471
9,5 May 2023 12:43:25.755,5 May 2023 12:46:42.125,196.371
10,5 May 2023 22:55:50.397,5 May 2023 23:00:32.259,281.862
11,6 May 2023 12:53:51.097,6 May 2023 12:55:16.879,85.781
12,6 May 2023 23:06:02.386,6 May 2023 23:10:53.410,291.024

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 12:47:22.461,1 May 2023 12:49:56.310,153.848
2,1 May 2023 22:59:40.335,1 May 2023 23:04:28.611,288.276
3,2 May 2023 12:57:54.804,2 May 2023 12:58:39.499,44.696
4,2 May 2023 23:09:59.131,2 May 2023 23:14:49.450,290.319
5,3 May 2023 11:38:52.603,3 May 2023 11:42:14.647,202.045
6,3 May 2023 23:20:20.991,3 May 2023 23:25:09.465,288.474
