"Coverage Properties"
"Latitude Bounds Coverage                                            "
"Min. Latitude: 0.0000 (deg)                                         "
"Max. Latitude: 90.0000 (deg)                                        "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 2.0000 (deg)                                            "
"Number of Points: 5734                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Constellation1:    Active                         "
"Satellite/Satellite4011/Sensor/Sensor1:    Active           "
"Satellite/Satellite4012/Sensor/Sensor2:    Active           "
"Satellite/Satellite4021/Sensor/Sensor3:    Active           "
"Satellite/Satellite4022/Sensor/Sensor4:    Active           "
"Satellite/Satellite4031/Sensor/Sensor5:    Active           "
"Satellite/Satellite4032/Sensor/Sensor6:    Active           "
"Satellite/Satellite4041/Sensor/Sensor7:    Active           "
"Satellite/Satellite4042/Sensor/Sensor8:    Active           "
"Satellite/Satellite4051/Sensor/Sensor9:    Active           "
"Satellite/Satellite4052/Sensor/Sensor10:    Active          "
"Satellite/Satellite4061/Sensor/Sensor11:    Active          "
"Satellite/Satellite4062/Sensor/Sensor12:    Active          "
"Satellite/Satellite4071/Sensor/Sensor13:    Active          "
"Satellite/Satellite4072/Sensor/Sensor14:    Active          "
"Satellite/Satellite4081/Sensor/Sensor15:    Active          "
"Satellite/Satellite4082/Sensor/Sensor16:    Active          "
"Satellite/Satellite4091/Sensor/Sensor17:    Active          "
"Satellite/Satellite4092/Sensor/Sensor18:    Active          "
"Satellite/Satellite4101/Sensor/Sensor19:    Active          "
"Satellite/Satellite4102/Sensor/Sensor20:    Active          "
"Satellite/Satellite4111/Sensor/Sensor21:    Active          "
"Satellite/Satellite4112/Sensor/Sensor22:    Active          "
"Satellite/Satellite4121/Sensor/Sensor23:    Active          "
"Satellite/Satellite4122/Sensor/Sensor24:    Active          "
"Access Interval: 4 Oct 2023 10:00:00.000 to 11 Oct 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.900,1.000,7501.826
0.900,3.000,7596.313
0.900,5.000,7597.129
0.900,7.000,7794.335
0.900,9.000,7597.260
0.900,11.000,7695.155
0.900,13.000,7408.805
0.900,15.000,7596.418
0.900,17.000,7596.643
0.900,19.000,7694.482
0.900,21.000,7597.649
0.900,23.000,7694.678
0.900,25.000,7501.334
0.900,27.000,7597.062
0.900,29.000,7694.642
0.900,31.000,7695.236
0.900,33.000,7694.812
0.900,35.000,7501.749
0.900,37.000,7596.824
0.900,39.000,7501.443
0.900,41.000,7596.848
0.900,43.000,7598.016
0.900,45.000,7694.556
0.900,47.000,7501.643
0.900,49.000,7694.552
0.900,51.000,7596.589
0.900,53.000,7597.148
0.900,55.000,7695.291
0.900,57.000,7501.766
0.900,59.000,7596.561
0.900,61.000,7501.290
0.900,63.000,7596.933
0.900,65.000,7597.635
0.900,67.000,7694.779
0.900,69.000,7596.778
0.900,71.000,7596.608
0.900,73.000,7501.324
0.900,75.000,7597.187
0.900,77.000,7597.315
0.900,79.000,7597.169
0.900,81.000,7597.086
0.900,83.000,7501.161
0.900,85.000,7596.685
0.900,87.000,7597.768
0.900,89.000,7794.809
0.900,91.000,7794.703
0.900,93.000,7596.599
0.900,95.000,7501.147
0.900,97.000,7502.161
0.900,99.000,7597.330
0.900,101.000,7694.579
0.900,103.000,7694.946
0.900,105.000,7501.260
0.900,107.000,7694.066
0.900,109.000,7597.446
0.900,111.000,7694.893
0.900,113.000,7502.160
0.900,115.000,7596.800
0.900,117.000,7501.247
0.900,119.000,7501.845
0.900,121.000,7596.915
0.900,123.000,7794.984
0.900,125.000,7795.320
0.900,127.000,7501.062
0.900,129.000,7501.480
0.900,131.000,7597.176
0.900,133.000,7694.498
0.900,135.000,7597.704
0.900,137.000,7596.870
0.900,139.000,7500.939
0.900,141.000,7501.952
0.900,143.000,7597.087
0.900,145.000,7694.610
0.900,147.000,7795.395
0.900,149.000,7694.367
0.900,151.000,7596.837
0.900,153.000,7596.764
0.900,155.000,7597.276
0.900,157.000,7695.523
0.900,159.000,7596.745
0.900,161.000,7501.117
0.900,163.000,7502.143
0.900,165.000,7596.722
0.900,167.000,7694.971
0.900,169.000,7898.313
0.900,171.000,7596.271
0.900,173.000,7501.305
0.900,175.000,7501.968
0.900,177.000,7596.885
0.900,179.000,7795.393
0.900,181.000,7597.019
0.900,183.000,7501.042
0.900,185.000,7502.021
0.900,187.000,7596.757
0.900,189.000,7694.781
0.900,191.000,7795.416
0.900,193.000,7596.539
0.900,195.000,7501.187
0.900,197.000,7501.611
0.900,199.000,7596.994
0.900,201.000,7695.452
0.900,203.000,7597.156
0.900,205.000,7501.265
0.900,207.000,7501.927
0.900,209.000,7694.206
0.900,211.000,7795.057
0.900,213.000,7597.714
0.900,215.000,7596.545
0.900,217.000,7501.558
0.900,219.000,7596.433
0.900,221.000,7596.734
0.900,223.000,7795.875
0.900,225.000,7597.307
0.900,227.000,7596.329
0.900,229.000,7501.798
0.900,231.000,7693.983
0.900,233.000,7597.210
0.900,235.000,7695.586
0.900,237.000,7596.964
0.900,239.000,7501.260
0.900,241.000,7501.367
0.900,243.000,7694.314
0.900,245.000,7695.507
0.900,247.000,7694.767
0.900,249.000,7596.749
0.900,251.000,7501.599
0.900,253.000,7596.414
0.900,255.000,7597.446
0.900,257.000,7597.735
0.900,259.000,7596.954
0.900,261.000,7501.764
0.900,263.000,7596.305
0.900,265.000,7596.572
0.900,267.000,7795.734
0.900,269.000,7695.308
0.900,271.000,7694.753
0.900,273.000,7501.420
0.900,275.000,7596.225
0.900,277.000,7597.308
0.900,279.000,7794.944
0.900,281.000,7597.126
0.900,283.000,7597.295
0.900,285.000,7501.221
0.900,287.000,7596.560
0.900,289.000,7695.266
0.900,291.000,7597.331
0.900,293.000,7597.088
0.900,295.000,7596.794
0.900,297.000,7596.205
0.900,299.000,7694.530
0.900,301.000,7597.195
0.900,303.000,7597.274
0.900,305.000,7502.467
0.900,307.000,7501.233
0.900,309.000,7694.001
0.900,311.000,7794.959
0.900,313.000,7597.167
0.900,315.000,7597.338
0.900,317.000,7408.975
0.900,319.000,7596.112
0.900,321.000,7694.533
0.900,323.000,7794.733
0.900,325.000,7597.163
0.900,327.000,7597.719
0.900,329.000,7596.534
0.900,331.000,7693.983
0.900,333.000,7596.845
0.900,335.000,7694.668
0.900,337.000,7597.662
0.900,339.000,7501.822
0.900,341.000,7596.189
0.900,343.000,7694.756
0.900,345.000,7694.362
0.900,347.000,7597.270
0.900,349.000,7597.759
0.900,351.000,7501.502
0.900,353.000,7596.331
0.900,355.000,7694.633
0.900,357.000,7597.123
0.900,359.000,7597.455
2.700,1.000,7694.183
2.700,3.000,7501.407
2.700,5.000,7694.591
2.700,7.000,7501.389
2.700,9.000,7694.920
2.700,11.000,7597.205
2.700,13.000,7693.857
2.700,15.000,7501.731
2.700,17.000,7596.796
2.700,19.000,7501.517
2.700,21.000,7795.221
2.700,23.000,7596.898
2.700,25.000,7596.336
2.700,27.000,7597.233
2.700,29.000,7695.006
2.700,31.000,7695.257
2.700,33.000,7795.107
2.700,35.000,7596.745
2.700,37.000,7597.011
2.700,39.000,7408.805
2.700,41.000,7694.366
2.700,43.000,7597.361
2.700,45.000,7694.599
2.700,47.000,7409.031
2.700,49.000,7502.043
2.700,51.000,7501.293
2.700,53.000,7794.754
2.700,55.000,7597.229
2.700,57.000,7694.210
2.700,59.000,7501.825
2.700,61.000,7596.206
2.700,63.000,7501.360
2.700,65.000,7597.697
2.700,67.000,7596.870
2.700,69.000,7694.332
2.700,71.000,7502.177
2.700,73.000,7596.217
2.700,75.000,7501.743
2.700,77.000,7897.836
2.700,79.000,7596.862
2.700,81.000,7694.684
2.700,83.000,7318.486
2.700,85.000,7596.510
2.700,87.000,7502.048
2.700,89.000,7794.970
2.700,91.000,7596.923
2.700,93.000,7501.604
2.700,95.000,7501.215
2.700,97.000,7694.604
2.700,99.000,7597.054
2.700,101.000,7694.748
2.700,103.000,7502.546
2.700,105.000,7596.185
2.700,107.000,7501.264
2.700,109.000,7694.782
2.700,111.000,7596.869
2.700,113.000,7694.720
2.700,115.000,7502.242
2.700,117.000,7595.997
2.700,119.000,7408.467
2.700,121.000,7794.774
2.700,123.000,7597.122
2.700,125.000,7795.036
2.700,127.000,7408.677
2.700,129.000,7501.188
2.700,131.000,7501.639
2.700,133.000,7795.068
2.700,135.000,7695.130
2.700,137.000,7596.897
2.700,139.000,7408.672
2.700,141.000,7501.706
2.700,143.000,7596.861
2.700,145.000,7795.049
2.700,147.000,7695.432
2.700,149.000,7502.050
2.700,151.000,7597.201
2.700,153.000,7596.909
2.700,155.000,7596.911
2.700,157.000,7795.789
2.700,159.000,7501.946
2.700,161.000,7595.942
2.700,163.000,7408.681
2.700,165.000,7794.490
2.700,167.000,7597.095
2.700,169.000,7795.435
2.700,171.000,7408.826
2.700,173.000,7595.980
2.700,175.000,7501.454
2.700,177.000,7694.749
2.700,179.000,7597.675
2.700,181.000,7596.948
2.700,183.000,7501.347
2.700,185.000,7408.636
2.700,187.000,7596.536
2.700,189.000,7597.861
2.700,191.000,7795.507
2.700,193.000,7501.436
2.700,195.000,7596.442
2.700,197.000,7501.401
2.700,199.000,7596.855
2.700,201.000,7795.947
2.700,203.000,7597.250
2.700,205.000,7596.124
2.700,207.000,7408.701
2.700,209.000,7694.175
2.700,211.000,7597.025
2.700,213.000,7695.295
2.700,215.000,7501.656
2.700,217.000,7596.207
2.700,219.000,7596.183
2.700,221.000,7597.105
2.700,223.000,7695.428
2.700,225.000,7597.233
2.700,227.000,7596.475
2.700,229.000,7501.266
2.700,231.000,7596.264
2.700,233.000,7597.539
2.700,235.000,7695.419
2.700,237.000,7501.782
2.700,239.000,7501.215
2.700,241.000,7501.032
2.700,243.000,7694.238
2.700,245.000,7695.818
2.700,247.000,7694.578
2.700,249.000,7501.576
2.700,251.000,7596.479
2.700,253.000,7501.239
2.700,255.000,7597.290
2.700,257.000,7695.394
2.700,259.000,7596.870
2.700,261.000,7596.426
2.700,263.000,7501.187
2.700,265.000,7596.769
2.700,267.000,7695.271
2.700,269.000,7795.652
2.700,271.000,7795.101
2.700,273.000,7693.717
2.700,275.000,7501.179
2.700,277.000,7695.301
2.700,279.000,7502.017
2.700,281.000,7694.559
2.700,283.000,7501.911
2.700,285.000,7596.054
2.700,287.000,7501.531
2.700,289.000,7695.544
2.700,291.000,7597.055
2.700,293.000,7596.938
2.700,295.000,7596.645
2.700,297.000,7500.989
2.700,299.000,7502.054
2.700,301.000,7597.356
2.700,303.000,7694.549
2.700,305.000,7596.981
2.700,307.000,7596.231
2.700,309.000,7501.568
2.700,311.000,7597.326
2.700,313.000,7694.871
2.700,315.000,7502.073
2.700,317.000,7693.952
2.700,319.000,7596.222
2.700,321.000,7694.902
2.700,323.000,7501.797
2.700,325.000,7694.791
2.700,327.000,7502.197
2.700,329.000,7693.639
2.700,331.000,7501.344
2.700,333.000,7694.677
2.700,335.000,7501.760
2.700,337.000,7695.028
2.700,339.000,7596.760
2.700,341.000,7596.128
2.700,343.000,7502.320
2.700,345.000,7597.143
2.700,347.000,7597.090
2.700,349.000,7694.887
2.700,351.000,7596.419
2.700,353.000,7501.291
2.700,355.000,7502.223
2.700,357.000,7597.213
2.700,359.000,7409.310
4.500,1.000,7596.710
4.500,3.000,7596.150
4.500,5.000,7597.006
4.500,7.000,7596.986
4.500,9.000,7596.604
4.500,11.000,7694.554
4.500,13.000,7501.610
4.500,15.000,7694.121
4.500,17.000,7501.798
4.500,19.000,7694.653
4.500,21.000,7501.649
4.500,23.000,7694.192
4.500,25.000,7501.556
4.500,27.000,7596.818
4.500,29.000,7597.068
4.500,31.000,7695.804
4.500,33.000,7694.372
4.500,35.000,7501.556
4.500,37.000,7502.289
4.500,39.000,7501.373
4.500,41.000,7408.979
4.500,43.000,7597.230
4.500,45.000,7596.823
4.500,47.000,7408.790
4.500,49.000,7502.112
4.500,51.000,7501.476
4.500,53.000,7596.572
4.500,55.000,7597.446
4.500,57.000,7501.668
4.500,59.000,7694.220
4.500,61.000,7501.234
4.500,63.000,7501.782
4.500,65.000,7408.466
4.500,67.000,7694.497
4.500,69.000,7502.184
4.500,71.000,7794.272
4.500,73.000,7501.095
4.500,75.000,7597.194
4.500,77.000,7501.618
4.500,79.000,7596.972
4.500,81.000,7694.938
