"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 3.0000 (deg)                                           "
"Number of Points: 2413                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite0011/Sensor/Sensor1:    Active          "
"Satellite/Satellite0012/Sensor/Sensor2:    Active          "
"Satellite/Satellite0021/Sensor/Sensor3:    Active          "
"Satellite/Satellite0022/Sensor/Sensor4:    Active          "
"Satellite/Satellite0031/Sensor/Sensor5:    Active          "
"Satellite/Satellite0032/Sensor/Sensor6:    Active          "
"Satellite/Satellite0041/Sensor/Sensor7:    Active          "
"Satellite/Satellite0042/Sensor/Sensor8:    Active          "
"Satellite/Satellite0051/Sensor/Sensor9:    Active          "
"Satellite/Satellite0052/Sensor/Sensor10:    Active         "
"Satellite/Satellite0061/Sensor/Sensor11:    Active         "
"Satellite/Satellite0062/Sensor/Sensor12:    Active         "
"Satellite/Satellite0071/Sensor/Sensor13:    Active         "
"Satellite/Satellite0072/Sensor/Sensor14:    Active         "
"Satellite/Satellite0081/Sensor/Sensor15:    Active         "
"Satellite/Satellite0082/Sensor/Sensor16:    Active         "
"Satellite/Satellite0091/Sensor/Sensor17:    Active         "
"Satellite/Satellite0092/Sensor/Sensor18:    Active         "
"Satellite/Satellite0101/Sensor/Sensor19:    Active         "
"Satellite/Satellite0102/Sensor/Sensor20:    Active         "
"Satellite/Satellite0111/Sensor/Sensor21:    Active         "
"Satellite/Satellite0112/Sensor/Sensor22:    Active         "
"Satellite/Satellite0121/Sensor/Sensor23:    Active         "
"Satellite/Satellite0122/Sensor/Sensor24:    Active         "
"Satellite/Satellite0131/Sensor/Sensor25:    Active         "
"Satellite/Satellite0132/Sensor/Sensor26:    Active         "
"Satellite/Satellite0141/Sensor/Sensor27:    Active         "
"Satellite/Satellite0142/Sensor/Sensor28:    Active         "
"Satellite/Satellite0151/Sensor/Sensor29:    Active         "
"Satellite/Satellite0152/Sensor/Sensor30:    Active         "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
1.417,1.538,6503.155
1.417,4.615,6674.298
1.417,7.692,6263.252
1.417,10.769,6187.198
1.417,13.846,6586.949
1.417,16.923,6504.055
1.417,20.000,6187.132
1.417,23.077,6041.243
1.417,26.154,6342.982
1.417,29.231,6422.826
1.417,32.308,6041.726
1.417,35.385,6113.367
1.417,38.462,6423.011
1.417,41.538,6421.523
1.417,44.615,6262.864
1.417,47.692,6187.279
1.417,50.769,6674.005
1.417,53.846,6587.276
1.417,56.923,6113.220
1.417,60.000,6263.470
1.417,63.077,6673.919
1.417,66.154,6421.352
1.417,69.231,6186.958
1.417,72.308,6187.952
1.417,75.385,6505.132
1.417,78.462,6341.910
1.417,81.538,5970.806
1.417,84.615,6420.609
1.417,87.692,6423.717
1.417,90.769,6263.321
1.417,93.846,6187.264
1.417,96.923,6263.984
1.417,100.000,6762.801
1.417,103.077,6502.250
1.417,106.154,6113.241
1.417,109.231,6503.191
1.417,112.308,6587.946
1.417,115.385,6340.824
1.417,118.462,6186.970
1.417,121.538,6265.085
1.417,124.615,6588.213
1.417,127.692,6113.722
1.417,130.769,5970.771
1.417,133.846,6503.475
1.417,136.923,6422.720
1.417,140.000,6186.906
1.417,143.077,6113.402
1.417,146.154,6342.825
1.417,149.231,6504.492
1.417,152.308,6262.854
1.417,155.385,6263.024
1.417,158.462,6588.136
1.417,161.538,6503.140
1.417,164.615,6262.846
1.417,167.692,6262.668
1.417,170.769,6588.372
1.417,173.846,6503.600
1.417,176.923,6041.221
1.417,180.000,6113.768
1.417,183.077,6504.649
1.417,186.154,6264.391
1.417,189.231,6041.270
1.417,192.308,6188.035
1.417,195.385,6505.264
1.417,198.462,6342.042
1.417,201.538,6041.126
1.417,204.615,6420.930
1.417,207.692,6588.527
1.417,210.769,6420.419
1.417,213.846,6340.261
1.417,216.923,6188.463
1.417,220.000,6762.670
1.417,223.077,6264.020
1.417,226.154,6113.260
1.417,229.231,6264.701
1.417,232.308,6423.023
1.417,235.385,6113.754
1.417,238.462,6041.182
1.417,241.538,6264.835
1.417,244.615,6674.163
1.417,247.692,6187.732
1.417,250.769,6041.208
1.417,253.846,6503.586
1.417,256.923,6504.038
1.417,260.000,6262.902
1.417,263.077,6262.697
1.417,266.154,6422.522
1.417,269.231,6673.538
1.417,272.308,6113.720
1.417,275.385,6113.794
1.417,278.462,6504.332
1.417,281.538,6342.379
1.417,284.615,6113.230
1.417,287.692,6113.280
1.417,290.769,6423.052
1.417,293.846,6503.667
1.417,296.923,6113.227
1.417,300.000,6187.830
1.417,303.077,6588.309
1.417,306.154,6341.832
1.417,309.231,6262.713
1.417,312.308,6340.879
1.417,315.385,6674.630
1.417,318.462,6502.867
1.417,321.538,6113.276
1.417,324.615,6341.360
1.417,327.692,6504.852
1.417,330.769,6188.092
1.417,333.846,6113.381
1.417,336.923,6188.410
1.417,340.000,6588.702
1.417,343.077,6264.070
1.417,346.154,6041.073
1.417,349.231,6342.234
1.417,352.308,6588.027
1.417,355.385,6263.354
1.417,358.462,6113.443
4.250,1.538,6421.945
4.250,4.615,6504.487
4.250,7.692,6114.391
4.250,10.769,6113.081
4.250,13.846,6342.556
4.250,16.923,6503.934
4.250,20.000,6187.535
4.250,23.077,6113.129
4.250,26.154,6422.232
4.250,29.231,6422.752
4.250,32.308,6113.666
4.250,35.385,6187.872
4.250,38.462,6503.774
4.250,41.538,6503.527
4.250,44.615,6040.900
4.250,47.692,6187.263
4.250,50.769,6504.458
4.250,53.846,6342.607
4.250,56.923,6263.154
4.250,60.000,6187.308
4.250,63.077,6343.730
4.250,66.154,6420.779
4.250,69.231,6041.167
4.250,72.308,6263.393
4.250,75.385,6505.114
4.250,78.462,6264.640
4.250,81.538,6186.718
4.250,84.615,6188.177
4.250,87.692,6587.386
4.250,90.769,6264.073
4.250,93.846,6040.821
4.250,96.923,6341.896
4.250,100.000,6504.545
4.250,103.077,6263.775
4.250,106.154,6113.221
4.250,109.231,6264.302
4.250,112.308,6504.700
4.250,115.385,6262.899
4.250,118.462,6041.284
4.250,121.538,6421.291
4.250,124.615,6504.872
4.250,127.692,6263.394
4.250,130.769,6262.696
4.250,133.846,6265.182
4.250,136.923,6422.196
4.250,140.000,6041.729
4.250,143.077,6040.951
4.250,146.154,6587.797
4.250,149.231,6503.794
4.250,152.308,6113.849
4.250,155.385,6041.542
4.250,158.462,6422.545
4.250,161.538,6422.018
4.250,164.615,6186.765
4.250,167.692,6187.665
4.250,170.769,6504.053
4.250,173.846,6342.783
4.250,176.923,6113.370
4.250,180.000,6263.498
4.250,183.077,6422.853
4.250,186.154,6264.304
4.250,189.231,5970.642
4.250,192.308,6187.624
4.250,195.385,6505.162
4.250,198.462,6421.299
4.250,201.538,6113.497
4.250,204.615,6187.967
4.250,207.692,6422.744
4.250,210.769,6187.961
4.250,213.846,5970.827
4.250,216.923,6502.627
4.250,220.000,6504.692
4.250,223.077,6341.501
4.250,226.154,6040.882
4.250,229.231,6341.980
4.250,232.308,6504.001
4.250,235.385,6187.810
4.250,238.462,6113.021
4.250,241.538,6342.225
4.250,244.615,6504.482
4.250,247.692,6263.325
4.250,250.769,6113.736
4.250,253.846,6342.409
4.250,256.923,6422.676
