"Coverage Properties"
"Latitude Bounds Coverage                                           "
"Min. Latitude: 0.0000 (deg)                                        "
"Max. Latitude: 90.0000 (deg)                                       "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 1.0000 (deg)                                           "
"Number of Points: 21712                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/SSO:    Active                                   "
"Satellite/Satellite211/Sensor/Sensor11:    Active          "
"Satellite/Satellite212/Sensor/Sensor12:    Active          "
"Satellite/Satellite221/Sensor/Sensor13:    Active          "
"Satellite/Satellite222/Sensor/Sensor14:    Active          "
"Satellite/Satellite231/Sensor/Sensor15:    Active          "
"Satellite/Satellite232/Sensor/Sensor16:    Active          "
"Satellite/Satellite241/Sensor/Sensor17:    Active          "
"Satellite/Satellite242/Sensor/Sensor18:    Active          "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
0.472,0.513,43130.451
0.472,1.538,40245.071
0.472,2.564,35502.136
0.472,3.590,31758.938
0.472,4.615,31758.678
0.472,5.641,33526.600
0.472,6.667,37725.876
0.472,7.692,43126.805
0.472,8.718,46455.703
0.472,9.744,50335.225
0.472,10.769,50331.770
0.472,11.795,43130.828
0.472,12.821,40245.368
0.472,13.846,35502.785
0.472,14.872,31758.963
0.472,15.897,31758.762
0.472,16.923,33526.989
0.472,17.949,37725.410
0.472,18.974,40251.390
0.472,20.000,46455.634
0.472,21.026,50335.231
0.472,22.051,50332.413
0.472,23.077,43132.123
0.472,24.103,40245.767
0.472,25.128,35503.693
0.472,26.154,31759.197
0.472,27.179,31758.894
0.472,28.205,35501.115
0.472,29.231,40242.981
0.472,30.256,43128.897
0.472,31.282,50331.122
0.472,32.308,50333.511
0.472,33.333,46454.664
0.472,34.359,43126.371
0.472,35.385,37724.997
0.472,36.410,33526.672
0.472,37.436,31759.584
0.472,38.462,33524.506
0.472,39.487,35504.207
0.472,40.513,40246.110
0.472,41.538,43132.083
0.472,42.564,50333.469
0.472,43.590,50336.806
0.472,44.615,46455.891
0.472,45.641,43126.576
0.472,46.667,37725.832
0.472,47.692,33526.814
0.472,48.718,30170.647
0.472,49.744,33524.590
0.472,50.769,37722.897
0.472,51.795,40245.841
0.472,52.821,43132.460
0.472,53.846,50331.940
0.472,54.872,50337.198
0.472,55.897,50328.219
0.472,56.923,43126.518
0.472,57.949,37726.499
0.472,58.974,33527.460
0.472,60.000,31758.415
0.472,61.026,33524.688
0.472,62.051,37722.547
0.472,63.077,40245.410
0.472,64.103,46450.480
0.472,65.128,50331.230
0.472,66.154,50336.632
0.472,67.179,50328.725
0.472,68.205,43126.751
0.472,69.231,37727.585
0.472,70.256,35499.686
0.472,71.282,31758.561
0.472,72.308,31759.555
0.472,73.333,35502.440
0.472,74.359,40245.219
0.472,75.385,43130.974
0.472,76.410,50330.723
0.472,77.436,50336.552
0.472,78.462,46455.984
0.472,79.487,43127.153
0.472,80.513,37727.574
0.472,81.538,35499.680
0.472,82.564,31758.663
0.472,83.590,30170.781
0.472,84.615,35501.557
0.472,85.641,37729.183
0.472,86.667,43129.996
0.472,87.692,50330.347
0.472,88.718,46464.272
0.472,89.744,46456.105
0.472,90.769,43127.892
0.472,91.795,37727.467
0.472,92.821,35499.776
0.472,93.846,31758.932
0.472,94.872,30170.311
0.472,95.897,35501.110
0.472,96.923,37728.551
0.472,97.949,43129.249
0.472,98.974,50330.087
0.472,100.000,46463.547
0.472,101.026,46456.483
0.472,102.051,43128.346
0.472,103.077,37727.550
0.472,104.103,35499.969
0.472,105.128,31759.020
0.472,106.154,30170.233
0.472,107.179,35500.793
0.472,108.205,37728.146
0.472,109.231,43128.642
0.472,110.256,46457.543
0.472,111.282,50336.123
0.472,112.308,46457.138
0.472,113.333,43128.902
0.472,114.359,37727.758
0.472,115.385,35500.274
0.472,116.410,31758.769
0.472,117.436,33523.625
0.472,118.462,37721.498
0.472,119.487,40245.970
0.472,120.513,46449.260
0.472,121.538,50331.989
0.472,122.564,50332.847
0.472,123.590,46451.713
0.472,124.615,40248.159
0.472,125.641,35503.713
0.472,126.667,33525.079
0.472,127.692,31758.727
0.472,128.718,33525.143
0.472,129.744,37724.221
0.472,130.769,40248.901
0.472,131.795,46452.396
0.472,132.821,50335.389
0.472,133.846,50334.386
0.472,134.872,46452.069
0.472,135.897,40248.973
0.472,136.923,35503.963
0.472,137.949,33525.354
0.472,138.974,31759.288
0.472,140.000,33524.873
0.472,141.026,35504.859
0.472,142.051,40248.826
0.472,143.077,46451.948
0.472,144.103,50335.209
0.472,145.128,50335.964
0.472,146.154,46452.540
0.472,147.179,40250.051
0.472,148.205,35504.413
0.472,149.231,33525.738
0.472,150.256,31759.502
0.472,151.282,33524.682
0.472,152.308,35504.101
0.472,153.333,40248.955
0.472,154.359,46451.585
0.472,155.385,50335.066
0.472,156.410,54913.087
0.472,157.436,46453.163
0.472,158.462,40249.904
0.472,159.487,35505.425
0.472,160.513,33526.287
0.472,161.538,33524.535
0.472,162.564,33524.567
0.472,163.590,35503.839
0.472,164.615,40247.979
0.472,165.641,46451.366
0.472,166.667,54911.397
0.472,167.692,54913.224
0.472,168.718,46454.316
0.472,169.744,40250.296
0.472,170.769,37724.907
0.472,171.795,35499.578
0.472,172.821,33524.224
0.472,173.846,33524.530
0.472,174.872,33531.804
0.472,175.897,40246.606
0.472,176.923,43133.223
0.472,177.949,54910.874
0.472,178.974,54913.053
0.472,180.000,46455.261
0.472,181.026,40250.882
0.472,182.051,37725.348
0.472,183.077,35499.819
0.472,184.103,31759.234
0.472,185.128,33524.391
0.472,186.154,35503.854
0.472,187.179,40246.035
0.472,188.205,43132.188
0.472,189.231,50334.092
0.472,190.256,54913.216
0.472,191.282,46456.704
0.472,192.308,43126.208
0.472,193.333,37725.903
0.472,194.359,33527.056
0.472,195.385,31758.872
0.472,196.410,33524.497
0.472,197.436,35502.789
0.472,198.462,40245.602
0.472,199.487,43131.712
0.472,200.513,50332.209
