"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1 Oct 2023 10:00:00.000,1 Oct 2023 10:02:32.512,152.512
1 Oct 2023 10:00:00.000,1 Oct 2023 10:04:31.962,271.962
1 Oct 2023 10:00:00.000,1 Oct 2023 10:07:13.753,433.753
1 Oct 2023 10:00:00.000,1 Oct 2023 10:01:30.727,90.727
1 Oct 2023 10:00:00.000,1 Oct 2023 10:01:52.884,112.884
1 Oct 2023 10:00:53.474,1 Oct 2023 10:05:13.959,260.485
1 Oct 2023 10:01:55.632,1 Oct 2023 10:05:46.524,230.892
1 Oct 2023 10:03:36.320,1 Oct 2023 10:11:47.980,491.659
1 Oct 2023 10:03:45.622,1 Oct 2023 10:09:37.420,351.798
1 Oct 2023 10:04:17.624,1 Oct 2023 10:11:22.708,425.083
1 Oct 2023 10:06:02.529,1 Oct 2023 10:14:11.889,489.360
1 Oct 2023 10:06:14.806,1 Oct 2023 10:14:02.390,467.584
1 Oct 2023 10:06:58.834,1 Oct 2023 10:15:08.146,489.311
1 Oct 2023 10:07:24.982,1 Oct 2023 10:12:49.860,324.878
1 Oct 2023 10:07:24.982,1 Oct 2023 10:12:49.860,324.878
1 Oct 2023 10:07:37.563,1 Oct 2023 10:12:15.193,277.631
1 Oct 2023 10:07:57.344,1 Oct 2023 10:14:47.152,409.808
1 Oct 2023 10:08:33.028,1 Oct 2023 10:13:06.605,273.577
1 Oct 2023 10:08:55.635,1 Oct 2023 10:16:43.060,467.425
1 Oct 2023 10:09:08.750,1 Oct 2023 10:17:12.301,483.552
1 Oct 2023 10:09:18.219,1 Oct 2023 10:16:53.888,455.670
1 Oct 2023 10:09:19.103,1 Oct 2023 10:16:56.154,457.050
1 Oct 2023 10:09:19.537,1 Oct 2023 10:16:56.950,457.413
1 Oct 2023 10:09:20.599,1 Oct 2023 10:17:02.531,461.932
1 Oct 2023 10:09:21.986,1 Oct 2023 10:17:28.311,486.324
1 Oct 2023 10:09:23.393,1 Oct 2023 10:16:59.910,456.517
1 Oct 2023 10:09:25.317,1 Oct 2023 10:17:05.969,460.652
1 Oct 2023 10:09:26.831,1 Oct 2023 10:17:35.032,488.201
1 Oct 2023 10:09:32.602,1 Oct 2023 10:17:34.079,481.477
1 Oct 2023 10:09:42.604,1 Oct 2023 10:17:21.483,458.879
1 Oct 2023 10:09:56.333,1 Oct 2023 10:17:33.434,457.101
1 Oct 2023 10:10:18.208,1 Oct 2023 10:18:00.918,462.710
1 Oct 2023 10:10:21.711,1 Oct 2023 10:17:10.456,408.745
1 Oct 2023 10:10:56.013,1 Oct 2023 10:17:28.102,392.088
1 Oct 2023 10:11:42.442,1 Oct 2023 10:18:34.169,411.727
1 Oct 2023 10:12:35.253,1 Oct 2023 10:19:25.497,410.244
1 Oct 2023 10:12:46.043,1 Oct 2023 10:20:43.434,477.391
1 Oct 2023 10:13:09.950,1 Oct 2023 10:20:26.637,436.688
1 Oct 2023 10:13:37.788,1 Oct 2023 10:21:09.407,451.619
1 Oct 2023 10:13:55.748,1 Oct 2023 10:16:14.387,138.640
1 Oct 2023 10:15:09.951,1 Oct 2023 10:22:05.664,415.714
1 Oct 2023 10:15:34.351,1 Oct 2023 10:20:50.806,316.455
1 Oct 2023 10:20:37.769,1 Oct 2023 10:27:35.733,417.964
