"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensors:    Active                               "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Jun 2023 10:00:00.000 to 8 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,4416.309
44.413,33.852,4449.602
44.413,34.000,4483.438
44.485,33.704,4449.017
44.485,33.852,4415.700
44.485,34.000,4448.902
44.485,34.148,4415.684
44.557,33.556,4415.174
44.557,33.704,4350.102
44.557,33.852,4382.325
44.557,34.000,4415.074
44.557,34.148,4382.218
44.557,34.296,4382.218
44.628,33.556,4349.388
44.628,33.704,4349.447
44.628,33.852,4286.161
44.628,34.000,4286.077
44.628,34.148,4317.353
44.628,34.296,4317.374
44.700,33.556,4316.752
44.700,33.704,4285.310
44.700,33.852,4285.309
44.700,34.000,4224.012
44.700,34.148,4254.267
44.700,34.296,4254.248
44.700,34.444,4285.169
44.772,33.556,4284.592
44.772,33.704,4223.204
44.772,33.852,4284.518
44.772,34.000,4284.481
44.772,34.148,4193.107
44.772,34.296,4193.014
44.772,34.444,4223.073
44.772,34.593,4223.044
44.844,33.556,4222.430
44.844,33.704,4222.528
44.844,33.852,4192.414
44.844,34.000,4222.351
44.844,34.148,4192.390
44.844,34.296,4192.307
44.844,34.444,4192.207
44.844,34.593,4162.736
44.844,34.741,4162.637
44.844,34.889,4162.633
44.844,35.037,4162.663
44.916,33.704,4132.821
44.916,33.852,4162.003
44.916,34.000,4161.967
44.916,34.148,4191.563
44.916,34.296,4132.842
44.916,34.444,4104.026
44.916,34.593,4132.641
44.916,34.741,4132.599
44.916,34.889,4132.642
44.916,35.037,4132.629
44.916,35.185,4132.526
44.988,33.704,4131.960
44.988,33.852,4074.825
44.988,34.000,4103.170
44.988,34.148,4074.796
44.988,34.296,4074.881
44.988,34.444,4103.180
44.988,34.593,4046.719
44.988,34.741,4046.705
44.988,34.889,4131.767
44.988,35.037,4131.735
44.988,35.185,4102.978
44.988,35.333,4131.657
45.060,33.704,4018.324
45.060,33.852,4045.914
45.060,34.000,4018.303
45.060,34.148,4018.349
45.060,34.296,4045.846
45.060,34.444,4045.849
45.060,34.593,4045.989
45.060,34.741,4045.993
45.060,34.889,4073.774
45.060,35.037,4073.722
