"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Aug 2023 10:00:00.000 to 8 Aug 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,2561.144
44.413,33.852,2538.455
44.413,34.000,2549.734
44.485,33.704,2460.090
44.485,33.852,2449.523
44.485,34.000,2449.467
44.485,34.148,2449.506
44.557,33.556,2436.948
44.557,33.704,2436.962
44.557,33.852,2426.713
44.557,34.000,2416.469
44.557,34.148,2437.009
44.557,34.296,2437.049
44.628,33.556,2404.266
44.628,33.704,2404.264
44.628,33.852,2404.320
44.628,34.000,2404.417
44.628,34.148,2394.339
44.628,34.296,2404.454
44.700,33.556,2412.687
44.700,33.704,2402.580
44.700,33.852,2412.782
44.700,34.000,2412.837
44.700,34.148,2412.947
44.700,34.296,2412.853
44.700,34.444,2412.791
44.772,33.556,2411.191
44.772,33.704,2411.308
44.772,33.852,2411.314
44.772,34.000,2421.618
44.772,34.148,2431.923
44.772,34.296,2421.602
44.772,34.444,2411.316
44.772,34.593,2411.323
44.844,33.556,2409.903
44.844,33.704,2420.163
44.844,33.852,2420.284
44.844,34.000,2430.550
44.844,34.148,2430.525
44.844,34.296,2430.541
44.844,34.444,2420.270
44.844,34.593,2420.186
44.844,34.741,2420.138
44.844,34.889,2409.901
44.844,35.037,2409.872
44.916,33.704,2418.998
44.916,33.852,2439.699
44.916,34.000,2439.701
44.916,34.148,2429.284
44.916,34.296,2429.310
44.916,34.444,2439.708
44.916,34.593,2429.299
44.916,34.741,2418.932
44.916,34.889,2418.921
44.916,35.037,2408.725
44.916,35.185,2408.789
44.988,33.704,2438.556
44.988,33.852,2438.528
44.988,34.000,2438.533
44.988,34.148,2428.220
44.988,34.296,2438.550
44.988,34.444,2438.536
44.988,34.593,2438.556
44.988,34.741,2417.908
44.988,34.889,2417.855
44.988,35.037,2417.923
44.988,35.185,2417.977
44.988,35.333,2438.605
45.060,33.704,2437.508
45.060,33.852,2437.474
45.060,34.000,2437.488
45.060,34.148,2447.977
45.060,34.296,2437.523
45.060,34.444,2437.481
45.060,34.593,2437.500
45.060,34.741,2437.563
45.060,34.889,2416.965
45.060,35.037,2427.270
45.060,35.185,2448.102
45.060,35.333,2437.561
45.060,35.926,2437.547
45.060,36.074,2437.519
45.060,36.222,2437.541
45.060,36.370,2437.607
45.132,33.556,2447.120
45.132,33.704,2436.580
45.132,33.852,2436.538
45.132,34.000,2446.994
45.132,34.148,2446.974
45.132,34.296,2446.984
45.132,34.444,2436.553
45.132,34.593,2436.560
45.132,34.741,2436.644
45.132,34.889,2447.225
45.132,35.037,2447.219
45.132,35.185,2447.121
45.132,35.333,2447.083
45.132,35.481,2436.571
