"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/RCO:    Active                                   "
"Satellite/RCO111/Sensor/Sensor2:    Active                 "
"Satellite/RCO112/Sensor/Sensor3:    Active                 "
"Satellite/RCO121/Sensor/Sensor4:    Active                 "
"Satellite/RCO122/Sensor/Sensor5:    Active                 "
"Satellite/RCO131/Sensor/Sensor6:    Active                 "
"Satellite/RCO132/Sensor/Sensor7:    Active                 "
"Satellite/RCO141/Sensor/Sensor8:    Active                 "
"Satellite/RCO142/Sensor/Sensor9:    Active                 "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,2215.251
44.413,33.852,2215.103
44.413,34.000,2206.221
44.485,33.704,2232.731
44.485,33.852,2214.796
44.485,34.000,2214.732
44.485,34.148,2197.114
44.557,33.556,2250.619
44.557,33.704,2232.395
44.557,33.852,2232.391
44.557,34.000,2214.477
44.557,34.148,2214.517
44.557,34.296,2205.646
44.628,33.556,2250.257
44.628,33.704,2241.206
44.628,33.852,2232.111
44.628,34.000,2223.257
44.628,34.148,2223.197
44.628,34.296,2223.243
44.700,33.556,2250.030
44.700,33.704,2250.006
44.700,33.852,2240.994
44.700,34.000,2241.019
44.700,34.148,2232.045
44.700,34.296,2232.050
44.700,34.444,2223.135
44.772,33.556,2268.148
44.772,33.704,2249.809
44.772,33.852,2259.103
44.772,34.000,2240.874
44.772,34.148,2250.056
44.772,34.296,2231.961
44.772,34.444,2232.026
44.772,34.593,2232.105
44.844,33.556,2267.894
44.844,33.704,2268.117
44.844,33.852,2258.911
44.844,34.000,2259.056
44.844,34.148,2249.920
44.844,34.296,2250.031
44.844,34.444,2250.126
44.844,34.593,2250.156
44.844,34.741,2250.208
44.844,34.889,2250.160
44.844,35.037,2250.168
44.916,33.704,2277.198
44.916,33.852,2277.404
44.916,34.000,2268.154
44.916,34.148,2268.315
44.916,34.296,2259.168
44.916,34.444,2268.519
44.916,34.593,2259.317
44.916,34.741,2268.590
