"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:19:51.653,1 Jun 2023 10:21:32.495,100.843
2,1 Jun 2023 11:49:47.662,1 Jun 2023 11:51:58.083,130.421
3,1 Jun 2023 13:19:15.905,1 Jun 2023 13:20:43.197,87.291
4,2 Jun 2023 07:51:39.527,2 Jun 2023 07:52:44.953,65.426
5,2 Jun 2023 09:20:14.962,2 Jun 2023 09:22:39.053,144.091
6,2 Jun 2023 10:51:05.293,2 Jun 2023 10:52:41.586,96.293
7,2 Jun 2023 12:20:21.484,2 Jun 2023 12:22:33.571,132.087
8,3 Jun 2023 08:21:02.668,3 Jun 2023 08:23:47.340,164.672
9,3 Jun 2023 09:52:12.538,3 Jun 2023 09:53:40.789,88.251
10,3 Jun 2023 11:21:38.138,3 Jun 2023 11:24:08.788,150.650
11,4 Jun 2023 07:22:14.384,4 Jun 2023 07:25:02.725,168.342
12,4 Jun 2023 08:52:59.461,4 Jun 2023 08:54:45.658,106.197
13,4 Jun 2023 10:23:03.466,4 Jun 2023 10:25:10.014,126.548
14,4 Jun 2023 11:52:27.350,4 Jun 2023 11:54:00.556,93.206
15,5 Jun 2023 06:25:01.507,5 Jun 2023 06:25:54.143,52.636
16,5 Jun 2023 07:53:23.832,5 Jun 2023 07:55:52.752,148.920
17,5 Jun 2023 09:24:19.098,5 Jun 2023 09:25:53.997,94.899
18,5 Jun 2023 10:53:36.282,5 Jun 2023 10:55:51.215,134.933
19,6 Jun 2023 06:54:16.383,6 Jun 2023 06:57:01.539,165.157
20,6 Jun 2023 08:25:24.983,6 Jun 2023 08:26:53.691,88.709
21,6 Jun 2023 09:54:54.048,6 Jun 2023 09:57:21.681,147.633
22,7 Jun 2023 05:55:29.270,7 Jun 2023 05:58:15.783,166.513
23,7 Jun 2023 07:26:09.217,7 Jun 2023 07:27:58.848,109.631
24,7 Jun 2023 08:56:20.665,7 Jun 2023 08:58:21.598,120.933
25,7 Jun 2023 10:25:39.405,7 Jun 2023 10:27:16.347,96.942
26,8 Jun 2023 04:58:29.923,8 Jun 2023 04:59:02.859,32.937
27,8 Jun 2023 06:26:32.990,8 Jun 2023 06:29:06.415,153.426
28,8 Jun 2023 07:57:32.831,8 Jun 2023 07:59:06.319,93.488
29,8 Jun 2023 09:26:51.089,8 Jun 2023 09:29:12.842,141.753

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:05:03.631,1 Jun 2023 11:06:34.878,91.246
2,1 Jun 2023 12:34:21.887,1 Jun 2023 12:36:52.064,150.177
3,2 Jun 2023 08:35:00.676,2 Jun 2023 08:37:49.973,169.297
4,2 Jun 2023 10:06:05.615,2 Jun 2023 10:07:36.399,90.783
5,2 Jun 2023 11:35:45.069,2 Jun 2023 11:38:04.813,139.744
6,2 Jun 2023 13:05:38.191,2 Jun 2023 13:06:31.756,53.565
7,3 Jun 2023 07:36:21.847,3 Jun 2023 07:37:27.131,65.283
8,3 Jun 2023 07:37:30.498,3 Jun 2023 07:38:56.934,86.436
9,3 Jun 2023 09:06:32.219,3 Jun 2023 09:08:42.295,130.076
10,3 Jun 2023 10:37:06.245,3 Jun 2023 10:38:58.868,112.623
11,3 Jun 2023 12:06:21.902,3 Jun 2023 12:08:01.756,99.854
12,4 Jun 2023 08:07:09.645,4 Jun 2023 08:09:50.718,161.073
13,4 Jun 2023 09:38:17.010,4 Jun 2023 09:39:47.061,90.052
14,4 Jun 2023 11:07:35.866,4 Jun 2023 11:10:07.899,152.033
15,5 Jun 2023 07:08:14.211,5 Jun 2023 07:11:04.364,170.153
16,5 Jun 2023 08:39:17.621,5 Jun 2023 08:40:49.416,91.795
17,5 Jun 2023 10:08:59.555,5 Jun 2023 10:11:17.653,138.098
18,5 Jun 2023 11:38:46.890,5 Jun 2023 11:39:48.265,61.375
19,6 Jun 2023 06:09:45.201,6 Jun 2023 06:10:34.733,49.531
20,6 Jun 2023 06:10:46.763,6 Jun 2023 06:12:08.870,82.107
21,6 Jun 2023 07:39:42.085,6 Jun 2023 07:41:55.529,133.444
22,6 Jun 2023 09:10:20.128,6 Jun 2023 09:12:08.749,108.621
23,6 Jun 2023 10:39:35.683,6 Jun 2023 10:41:14.916,99.233
24,7 Jun 2023 06:40:21.045,7 Jun 2023 06:43:04.101,163.056
25,7 Jun 2023 08:11:30.207,7 Jun 2023 08:12:59.232,89.025
26,7 Jun 2023 09:40:50.148,7 Jun 2023 09:43:23.063,152.915
27,8 Jun 2023 05:41:28.629,8 Jun 2023 05:44:18.446,169.817
28,8 Jun 2023 07:12:29.581,8 Jun 2023 07:14:02.471,92.890
29,8 Jun 2023 08:42:14.275,8 Jun 2023 08:44:30.031,135.756

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 14:34:17.468,1 Jun 2023 14:37:04.812,167.344
2,1 Jun 2023 16:05:02.560,1 Jun 2023 16:06:47.216,104.656
3,1 Jun 2023 17:35:11.325,1 Jun 2023 17:37:09.411,118.086
4,1 Jun 2023 19:04:28.100,1 Jun 2023 19:06:06.169,98.069
5,2 Jun 2023 13:37:14.143,2 Jun 2023 13:37:55.236,41.093
6,2 Jun 2023 15:05:25.468,2 Jun 2023 15:07:55.571,150.103
7,2 Jun 2023 16:36:24.918,2 Jun 2023 16:37:55.343,90.425
