"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:50:28.153,1 Jun 2023 11:50:56.512,28.359
2,2 Jun 2023 09:21:34.983,2 Jun 2023 09:21:53.585,18.601
3,3 Jun 2023 08:22:36.246,3 Jun 2023 08:23:03.389,27.143
4,3 Jun 2023 11:22:43.012,3 Jun 2023 11:22:54.534,11.521
5,4 Jun 2023 10:23:42.117,4 Jun 2023 10:24:08.774,26.657
6,5 Jun 2023 07:54:46.101,5 Jun 2023 07:55:08.608,22.507
7,6 Jun 2023 06:55:51.246,6 Jun 2023 06:56:15.085,23.839
8,6 Jun 2023 09:55:52.102,6 Jun 2023 09:56:13.030,20.928
9,7 Jun 2023 08:56:56.420,7 Jun 2023 08:57:20.652,24.232
10,8 Jun 2023 06:27:57.741,8 Jun 2023 06:28:23.124,25.383

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jun 2023 11:36:31.681,2 Jun 2023 11:37:00.823,29.142
2,3 Jun 2023 10:37:45.645,3 Jun 2023 10:37:57.655,12.010
3,4 Jun 2023 08:08:38.765,4 Jun 2023 08:09:08.314,29.549
4,5 Jun 2023 10:09:44.340,5 Jun 2023 10:10:14.342,30.002
5,7 Jun 2023 06:41:51.556,7 Jun 2023 06:42:21.595,30.039
6,8 Jun 2023 08:42:57.416,8 Jun 2023 08:43:27.380,29.964

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 17:35:47.273,1 Jun 2023 17:36:08.116,20.843
2,2 Jun 2023 15:06:49.216,2 Jun 2023 15:07:11.646,22.431
3,3 Jun 2023 14:07:56.568,3 Jun 2023 14:08:18.719,22.151
4,3 Jun 2023 17:07:53.597,3 Jun 2023 17:08:21.063,27.466
5,4 Jun 2023 16:09:06.301,4 Jun 2023 16:09:21.920,15.620
6,5 Jun 2023 13:40:04.039,5 Jun 2023 13:40:29.615,25.575
7,6 Jun 2023 12:41:17.799,6 Jun 2023 12:41:31.491,13.693
8,6 Jun 2023 15:41:09.206,6 Jun 2023 15:41:38.497,29.292
9,7 Jun 2023 14:42:28.547,7 Jun 2023 14:42:33.382,4.834

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 15:20:40.755,1 Jun 2023 15:21:10.446,29.691
2,2 Jun 2023 17:21:47.844,2 Jun 2023 17:22:17.184,29.340
3,4 Jun 2023 13:53:56.926,4 Jun 2023 13:54:26.974,30.048
4,5 Jun 2023 15:55:04.924,5 Jun 2023 15:55:32.917,27.993
5,7 Jun 2023 12:27:13.631,7 Jun 2023 12:27:43.047,29.416
6,7 Jun 2023 15:27:21.559,7 Jun 2023 15:27:33.253,11.694

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 23:21:03.871,1 Jun 2023 23:21:20.342,16.471
2,2 Jun 2023 20:51:59.688,2 Jun 2023 20:52:28.500,28.812
3,3 Jun 2023 22:53:05.166,3 Jun 2023 22:53:34.683,29.516
4,4 Jun 2023 21:54:21.119,4 Jun 2023 21:54:29.922,8.802
5,5 Jun 2023 19:25:12.378,5 Jun 2023 19:25:42.133,29.755
6,6 Jun 2023 21:26:18.063,6 Jun 2023 21:26:48.143,30.080

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 21:05:55.896,1 Jun 2023 21:06:24.476,28.579
2,2 Jun 2023 23:07:02.030,2 Jun 2023 23:07:29.930,27.900
3,3 Jun 2023 20:38:08.088,3 Jun 2023 20:38:27.803,19.715
4,4 Jun 2023 19:39:10.363,4 Jun 2023 19:39:36.799,26.436
5,4 Jun 2023 22:39:15.081,4 Jun 2023 22:39:30.538,15.457
6,5 Jun 2023 21:40:16.204,5 Jun 2023 21:40:42.175,25.971
7,6 Jun 2023 19:11:19.449,6 Jun 2023 19:11:42.781,23.332
8,7 Jun 2023 18:12:25.767,7 Jun 2023 18:12:48.347,22.579
9,7 Jun 2023 21:12:25.165,7 Jun 2023 21:12:47.792,22.628

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jun 2023 03:36:19.291,2 Jun 2023 03:36:32.324,13.033
2,2 Jun 2023 05:06:23.850,2 Jun 2023 05:06:34.002,10.152
3,3 Jun 2023 02:37:15.127,3 Jun 2023 02:37:44.639,29.512
4,4 Jun 2023 04:38:19.600,4 Jun 2023 04:38:49.662,30.061
5,5 Jun 2023 02:09:26.603,5 Jun 2023 02:09:44.770,18.167
6,6 Jun 2023 01:10:25.710,6 Jun 2023 01:10:53.974,28.264
7,7 Jun 2023 03:11:29.663,7 Jun 2023 03:11:59.238,29.575
8,8 Jun 2023 00:42:34.621,8 Jun 2023 00:42:56.440,21.819

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Jun 2023 02:51:19.463,2 Jun 2023 02:51:36.446,16.983
2,2 Jun 2023 05:51:17.039,2 Jun 2023 05:51:36.820,19.781
3,3 Jun 2023 04:52:18.934,3 Jun 2023 04:52:44.546,25.612
4,4 Jun 2023 02:23:18.758,4 Jun 2023 02:23:46.824,28.066
5,5 Jun 2023 04:24:24.813,5 Jun 2023 04:24:49.443,24.630
6,6 Jun 2023 03:25:30.041,6 Jun 2023 03:25:53.150,23.110
7,7 Jun 2023 00:56:28.111,7 Jun 2023 00:56:57.280,29.169
8,8 Jun 2023 02:57:33.499,8 Jun 2023 02:58:00.959,27.460

