"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:11:42.718,2 Aug 2023 04:12:53.856,71.138
2,2 Aug 2023 05:44:49.221,2 Aug 2023 05:46:34.077,104.856
3,2 Aug 2023 07:18:22.845,2 Aug 2023 07:20:11.536,108.691
4,3 Aug 2023 04:06:07.811,3 Aug 2023 04:07:53.970,106.159
5,3 Aug 2023 05:39:40.005,3 Aug 2023 05:41:18.241,98.236
6,3 Aug 2023 07:13:06.048,3 Aug 2023 07:15:01.199,115.152
7,4 Aug 2023 04:00:46.800,4 Aug 2023 04:02:43.122,116.322
8,4 Aug 2023 05:34:29.166,4 Aug 2023 05:36:04.664,95.499
9,4 Aug 2023 07:07:50.784,4 Aug 2023 07:09:47.275,116.491
10,5 Aug 2023 03:55:32.606,5 Aug 2023 03:57:28.004,115.398
11,5 Aug 2023 05:29:15.735,5 Aug 2023 05:30:53.697,97.962
12,5 Aug 2023 07:02:39.602,5 Aug 2023 07:04:26.753,107.151
13,6 Aug 2023 03:50:22.142,6 Aug 2023 03:52:11.246,109.105
14,6 Aug 2023 05:23:59.992,6 Aug 2023 05:25:44.429,104.437
15,6 Aug 2023 06:57:38.682,6 Aug 2023 06:58:53.053,74.370
16,7 Aug 2023 02:11:52.289,7 Aug 2023 02:13:24.082,91.793
17,7 Aug 2023 03:45:13.065,7 Aug 2023 03:46:54.652,101.587
18,7 Aug 2023 05:18:43.134,7 Aug 2023 05:20:35.071,111.937
19,8 Aug 2023 02:06:25.167,8 Aug 2023 02:08:17.765,112.597
20,8 Aug 2023 03:40:03.312,8 Aug 2023 03:41:39.706,96.394
21,8 Aug 2023 05:13:26.779,8 Aug 2023 05:15:23.435,116.656

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 04:57:58.419,2 Aug 2023 04:59:55.296,116.877
2,2 Aug 2023 06:31:41.789,2 Aug 2023 06:33:17.454,95.666
3,2 Aug 2023 08:05:03.203,2 Aug 2023 08:06:58.497,115.294
4,3 Aug 2023 04:52:45.511,3 Aug 2023 04:54:39.519,114.008
5,3 Aug 2023 06:26:27.640,3 Aug 2023 06:28:07.098,99.458
6,3 Aug 2023 07:59:53.895,3 Aug 2023 08:01:35.333,101.438
7,4 Aug 2023 03:14:42.646,4 Aug 2023 03:15:31.981,49.335
8,4 Aug 2023 04:47:35.650,4 Aug 2023 04:49:22.636,106.986
9,4 Aug 2023 06:21:11.445,4 Aug 2023 06:22:58.006,106.561
10,4 Aug 2023 07:54:59.527,4 Aug 2023 07:55:54.212,54.685
11,5 Aug 2023 03:08:59.444,5 Aug 2023 03:10:39.521,100.077
12,5 Aug 2023 04:42:26.582,5 Aug 2023 04:44:06.368,99.787
13,5 Aug 2023 06:15:54.554,5 Aug 2023 06:17:48.246,113.692
14,6 Aug 2023 03:03:35.688,6 Aug 2023 03:05:30.638,114.950
15,6 Aug 2023 04:37:16.337,6 Aug 2023 04:38:52.081,95.745
16,6 Aug 2023 06:10:38.663,6 Aug 2023 06:12:35.566,116.903
17,7 Aug 2023 02:58:19.983,7 Aug 2023 03:00:16.369,116.386
18,7 Aug 2023 04:32:03.647,7 Aug 2023 04:33:40.430,96.783
19,7 Aug 2023 06:05:25.999,7 Aug 2023 06:07:17.268,111.270
20,8 Aug 2023 02:53:08.733,8 Aug 2023 02:54:59.867,111.134
21,8 Aug 2023 04:26:48.450,8 Aug 2023 04:28:30.852,102.401
22,8 Aug 2023 06:00:21.004,8 Aug 2023 06:01:48.480,87.476

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 10:20:24.144,1 Aug 2023 10:22:01.865,97.722
2,1 Aug 2023 11:53:51.774,1 Aug 2023 11:55:44.360,112.586
3,2 Aug 2023 08:41:32.979,2 Aug 2023 08:43:28.314,115.335
4,2 Aug 2023 10:15:15.059,2 Aug 2023 10:16:48.258,93.198
5,2 Aug 2023 11:48:36.314,2 Aug 2023 11:50:33.154,116.840
6,3 Aug 2023 08:36:18.482,3 Aug 2023 08:38:14.595,116.113
7,3 Aug 2023 10:10:03.350,3 Aug 2023 10:11:37.489,94.140
8,3 Aug 2023 11:43:23.886,3 Aug 2023 11:45:16.538,112.652
9,4 Aug 2023 08:31:08.457,4 Aug 2023 08:32:58.648,110.191
10,4 Aug 2023 10:04:48.927,4 Aug 2023 10:06:29.018,100.091
11,4 Aug 2023 11:38:18.511,4 Aug 2023 11:39:50.063,91.551
12,5 Aug 2023 06:52:46.271,5 Aug 2023 06:54:08.352,82.081
13,5 Aug 2023 08:26:00.466,5 Aug 2023 08:27:42.397,101.931
14,5 Aug 2023 09:59:32.845,5 Aug 2023 10:01:21.175,108.330
15,6 Aug 2023 06:47:16.164,6 Aug 2023 06:49:05.899,109.735
16,6 Aug 2023 08:20:52.317,6 Aug 2023 08:22:27.465,95.148
17,6 Aug 2023 09:54:16.665,6 Aug 2023 09:56:11.824,115.159
18,7 Aug 2023 06:41:57.784,7 Aug 2023 06:43:54.614,116.830
19,7 Aug 2023 08:15:42.181,7 Aug 2023 08:17:15.080,92.899
20,7 Aug 2023 09:49:02.224,7 Aug 2023 09:50:58.613,116.389
21,8 Aug 2023 06:36:45.585,8 Aug 2023 06:38:39.644,114.059
22,8 Aug 2023 08:10:29.209,8 Aug 2023 08:12:05.465,96.256
23,8 Aug 2023 09:43:52.156,8 Aug 2023 09:45:38.451,106.295

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 11:07:13.599,1 Aug 2023 11:08:48.988,95.389
2,1 Aug 2023 12:40:35.436,1 Aug 2023 12:42:24.455,109.019
3,2 Aug 2023 09:28:20.158,2 Aug 2023 09:30:08.095,107.936
4,2 Aug 2023 11:01:58.571,2 Aug 2023 11:03:40.892,102.321
5,2 Aug 2023 12:35:33.708,2 Aug 2023 12:36:53.479,79.772
6,3 Aug 2023 07:49:50.040,3 Aug 2023 07:51:23.241,93.201
