"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 18:03:49.336,1 Jun 2023 18:08:41.038,291.702
2,2 Jun 2023 08:27:44.523,2 Jun 2023 08:32:46.625,302.102
3,2 Jun 2023 17:59:04.943,2 Jun 2023 18:02:51.593,226.650
4,3 Jun 2023 08:23:11.214,3 Jun 2023 08:24:09.651,58.436
5,3 Jun 2023 08:25:25.038,3 Jun 2023 08:27:22.494,117.456
6,3 Jun 2023 17:54:44.300,3 Jun 2023 17:57:29.311,165.011
7,4 Jun 2023 06:46:29.315,4 Jun 2023 06:49:04.801,155.487
8,4 Jun 2023 16:17:45.696,4 Jun 2023 16:18:37.813,52.117
9,4 Jun 2023 17:49:00.296,4 Jun 2023 17:52:14.527,194.231
10,5 Jun 2023 06:38:52.070,5 Jun 2023 06:43:49.304,297.234
11,5 Jun 2023 16:09:43.367,5 Jun 2023 16:14:14.415,271.049
12,5 Jun 2023 17:44:45.759,5 Jun 2023 17:45:29.425,43.667
13,6 Jun 2023 06:33:24.110,6 Jun 2023 06:38:26.720,302.610
14,6 Jun 2023 16:04:12.122,6 Jun 2023 16:08:47.062,274.940
15,7 Jun 2023 06:28:19.208,7 Jun 2023 06:30:17.950,118.742
16,7 Jun 2023 06:30:34.913,7 Jun 2023 06:33:04.164,149.252
17,7 Jun 2023 16:00:01.246,7 Jun 2023 16:03:04.710,183.464
18,8 Jun 2023 04:52:41.702,8 Jun 2023 04:54:07.275,85.573
19,8 Jun 2023 06:26:06.052,8 Jun 2023 06:27:27.057,81.005

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 18:51:44.066,1 Jun 2023 18:54:50.070,186.004
2,2 Jun 2023 07:42:05.023,2 Jun 2023 07:42:42.959,37.935
3,2 Jun 2023 07:42:52.139,2 Jun 2023 07:46:21.721,209.582
4,2 Jun 2023 17:13:54.831,2 Jun 2023 17:16:07.989,133.157
5,2 Jun 2023 18:46:16.346,2 Jun 2023 18:49:13.669,177.323
6,3 Jun 2023 07:35:58.113,3 Jun 2023 07:40:58.637,300.524
7,3 Jun 2023 17:06:43.030,3 Jun 2023 17:11:29.633,286.603
8,4 Jun 2023 07:30:31.456,4 Jun 2023 07:35:36.749,305.293
9,4 Jun 2023 17:01:33.286,4 Jun 2023 17:05:50.297,257.011
10,5 Jun 2023 07:25:42.204,5 Jun 2023 07:27:14.178,91.975
11,5 Jun 2023 07:28:00.184,5 Jun 2023 07:30:13.684,133.500
12,5 Jun 2023 16:57:36.256,5 Jun 2023 17:00:15.766,159.510
13,6 Jun 2023 05:49:35.564,6 Jun 2023 05:51:38.058,122.494
14,6 Jun 2023 07:23:30.378,6 Jun 2023 07:24:24.944,54.566
15,6 Jun 2023 16:51:49.691,6 Jun 2023 16:55:09.933,200.242
16,7 Jun 2023 05:41:52.983,7 Jun 2023 05:46:40.680,287.696
17,7 Jun 2023 15:12:45.376,7 Jun 2023 15:16:54.776,249.401
18,7 Jun 2023 16:46:54.506,7 Jun 2023 16:48:38.486,103.980
19,8 Jun 2023 05:36:21.707,8 Jun 2023 05:41:16.805,295.097

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 14:31:48.706,1 Jun 2023 14:36:46.500,297.794
2,2 Jun 2023 00:02:28.965,2 Jun 2023 00:07:14.972,286.007
3,2 Jun 2023 14:26:34.161,2 Jun 2023 14:31:25.312,291.151
4,2 Jun 2023 23:58:05.566,3 Jun 2023 00:01:26.577,201.011
5,3 Jun 2023 12:51:14.433,3 Jun 2023 12:52:13.454,59.021
6,3 Jun 2023 14:24:19.873,3 Jun 2023 14:25:55.765,95.892
7,3 Jun 2023 23:53:16.596,3 Jun 2023 23:56:20.291,183.696
8,4 Jun 2023 12:43:37.109,4 Jun 2023 12:44:13.301,36.193
9,4 Jun 2023 12:44:30.799,4 Jun 2023 12:47:52.864,202.066
10,4 Jun 2023 22:15:36.503,4 Jun 2023 22:17:37.705,121.202
11,4 Jun 2023 23:47:47.724,4 Jun 2023 23:50:46.364,178.640
12,5 Jun 2023 12:37:30.380,5 Jun 2023 12:42:30.831,300.451
13,5 Jun 2023 22:08:17.019,5 Jun 2023 22:13:02.207,285.187
14,6 Jun 2023 12:32:04.756,6 Jun 2023 12:37:09.970,305.214
15,6 Jun 2023 22:03:04.994,6 Jun 2023 22:07:24.686,259.692
16,7 Jun 2023 12:27:16.152,7 Jun 2023 12:28:48.666,92.514
17,7 Jun 2023 12:29:34.354,7 Jun 2023 12:31:47.953,133.599
18,7 Jun 2023 21:59:07.986,7 Jun 2023 22:01:50.769,162.782

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 13:48:06.651,1 Jun 2023 13:49:45.641,98.990
2,1 Jun 2023 15:21:41.789,1 Jun 2023 15:22:51.659,69.869
3,2 Jun 2023 00:50:12.911,2 Jun 2023 00:53:31.587,198.676
4,2 Jun 2023 13:40:22.422,2 Jun 2023 13:45:01.400,278.978
5,2 Jun 2023 23:11:29.370,2 Jun 2023 23:15:05.217,215.847
6,3 Jun 2023 00:45:03.545,3 Jun 2023 00:47:40.726,157.181
7,3 Jun 2023 13:34:40.796,3 Jun 2023 13:39:39.172,298.376
8,3 Jun 2023 23:05:20.293,3 Jun 2023 23:10:11.819,291.526
9,4 Jun 2023 13:29:15.599,4 Jun 2023 13:34:17.718,302.120
10,4 Jun 2023 23:00:33.928,4 Jun 2023 23:04:24.127,230.198
11,5 Jun 2023 13:24:43.048,5 Jun 2023 13:25:41.989,58.942
12,5 Jun 2023 13:26:57.367,5 Jun 2023 13:28:54.550,117.183
13,5 Jun 2023 22:56:18.230,5 Jun 2023 22:59:01.847,163.616
14,6 Jun 2023 11:48:02.981,6 Jun 2023 11:50:37.971,154.990
15,6 Jun 2023 21:19:31.505,6 Jun 2023 21:20:08.022,36.517
16,6 Jun 2023 22:50:33.842,6 Jun 2023 22:53:49.245,195.403
17,7 Jun 2023 11:40:26.871,7 Jun 2023 11:45:23.598,296.727
18,7 Jun 2023 21:11:20.294,7 Jun 2023 21:15:48.287,267.993
19,7 Jun 2023 22:46:14.066,7 Jun 2023 22:47:07.203,53.137

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 20:30:20.141,1 Jun 2023 20:35:24.362,304.221
2,2 Jun 2023 06:01:12.494,2 Jun 2023 06:05:40.848,268.354
3,2 Jun 2023 20:25:20.313,2 Jun 2023 20:27:10.002,109.689
4,2 Jun 2023 20:27:37.729,2 Jun 2023 20:30:01.680,143.951
5,3 Jun 2023 05:57:07.124,3 Jun 2023 06:00:03.402,176.277
6,3 Jun 2023 18:49:35.086,3 Jun 2023 18:51:11.945,96.859
7,3 Jun 2023 20:23:08.249,3 Jun 2023 20:24:20.775,72.526
8,4 Jun 2023 05:51:39.851,4 Jun 2023 05:54:58.768,198.917
9,4 Jun 2023 18:41:49.558,4 Jun 2023 18:46:28.351,278.793
10,5 Jun 2023 04:12:50.531,5 Jun 2023 04:16:31.869,221.337
11,5 Jun 2023 05:46:30.014,5 Jun 2023 05:49:06.739,156.725
12,5 Jun 2023 18:36:06.333,5 Jun 2023 18:41:04.973,298.640
13,6 Jun 2023 04:06:45.216,6 Jun 2023 04:11:36.922,291.707
14,6 Jun 2023 18:30:40.060,6 Jun 2023 18:35:42.464,302.405
15,7 Jun 2023 04:01:59.551,7 Jun 2023 04:05:47.927,228.376
16,7 Jun 2023 18:26:05.616,7 Jun 2023 18:27:06.783,61.167
17,7 Jun 2023 18:28:20.183,7 Jun 2023 18:30:18.500,118.317
18,8 Jun 2023 03:57:40.667,8 Jun 2023 04:00:25.010,164.343

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 19:46:26.510,1 Jun 2023 19:48:42.531,136.021
2,1 Jun 2023 21:20:35.366,1 Jun 2023 21:21:16.418,41.052
3,2 Jun 2023 06:48:46.846,2 Jun 2023 06:52:06.697,199.851
4,2 Jun 2023 19:38:47.368,2 Jun 2023 19:43:38.369,291.001
5,3 Jun 2023 05:09:38.975,3 Jun 2023 05:13:55.893,256.919
6,3 Jun 2023 06:44:01.635,3 Jun 2023 06:45:30.908,89.273
7,3 Jun 2023 19:33:16.802,3 Jun 2023 19:38:14.302,297.500
8,4 Jun 2023 05:03:56.274,4 Jun 2023 05:08:42.039,285.765
9,4 Jun 2023 19:28:00.099,4 Jun 2023 19:32:52.131,292.032
10,5 Jun 2023 04:59:32.830,5 Jun 2023 05:02:52.716,199.886
11,5 Jun 2023 17:52:41.336,5 Jun 2023 17:53:37.307,55.971
12,5 Jun 2023 19:25:44.496,5 Jun 2023 19:27:22.503,98.007
13,6 Jun 2023 04:54:40.818,6 Jun 2023 04:57:45.537,184.719
14,6 Jun 2023 17:45:02.605,6 Jun 2023 17:45:36.828,34.223
15,6 Jun 2023 17:45:56.653,6 Jun 2023 17:49:17.363,200.710
16,7 Jun 2023 03:16:54.893,7 Jun 2023 03:19:02.794,127.901
17,7 Jun 2023 04:49:11.958,7 Jun 2023 04:52:10.199,178.242
18,7 Jun 2023 17:38:54.000,7 Jun 2023 17:43:54.345,300.346
19,8 Jun 2023 03:09:39.293,8 Jun 2023 03:14:25.388,286.096

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 12:05:10.041,1 Jun 2023 12:09:58.782,288.742
2,2 Jun 2023 02:28:59.735,2 Jun 2023 02:34:04.950,305.215
3,2 Jun 2023 12:00:05.475,2 Jun 2023 12:04:16.528,251.053
4,3 Jun 2023 02:24:11.266,3 Jun 2023 02:25:40.219,88.953
5,3 Jun 2023 02:26:29.105,3 Jun 2023 02:28:40.813,131.708
6,3 Jun 2023 11:56:08.673,3 Jun 2023 11:58:42.622,153.949
7,4 Jun 2023 00:47:58.216,4 Jun 2023 00:50:06.940,128.724
8,4 Jun 2023 02:21:58.606,4 Jun 2023 02:22:49.540,50.934
9,4 Jun 2023 11:50:14.716,4 Jun 2023 11:53:34.977,200.261
10,5 Jun 2023 00:40:16.144,5 Jun 2023 00:45:05.879,289.736
11,5 Jun 2023 10:11:06.226,5 Jun 2023 10:15:21.833,255.606
12,5 Jun 2023 11:45:25.262,5 Jun 2023 11:46:59.651,94.389
13,6 Jun 2023 00:34:44.464,6 Jun 2023 00:39:40.803,296.340
14,6 Jun 2023 10:05:21.771,6 Jun 2023 10:10:08.591,286.820
15,7 Jun 2023 00:29:23.062,7 Jun 2023 00:34:17.546,294.484
16,7 Jun 2023 10:00:56.137,7 Jun 2023 10:04:17.425,201.288
17,7 Jun 2023 22:54:10.736,7 Jun 2023 22:54:53.257,42.521
18,8 Jun 2023 00:27:06.120,8 Jun 2023 00:28:48.597,102.477
19,8 Jun 2023 09:56:05.542,8 Jun 2023 09:59:08.494,182.952

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 12:53:11.123,1 Jun 2023 12:56:00.729,169.606
2,2 Jun 2023 01:44:55.796,2 Jun 2023 01:47:34.174,158.379
3,2 Jun 2023 11:16:04.370,2 Jun 2023 11:17:10.653,66.283
4,2 Jun 2023 12:47:28.786,2 Jun 2023 12:50:39.900,191.114
5,3 Jun 2023 01:37:17.970,3 Jun 2023 01:42:16.058,298.088
6,3 Jun 2023 11:08:06.603,3 Jun 2023 11:12:42.705,276.102
7,3 Jun 2023 12:43:20.484,3 Jun 2023 12:43:47.228,26.744
8,4 Jun 2023 01:31:49.279,4 Jun 2023 01:36:52.874,303.595
9,4 Jun 2023 11:02:39.706,4 Jun 2023 11:07:09.860,270.154
10,5 Jun 2023 01:26:45.776,5 Jun 2023 01:28:40.913,115.137
11,5 Jun 2023 01:29:02.117,5 Jun 2023 01:31:29.233,147.115
12,5 Jun 2023 10:58:31.938,5 Jun 2023 11:01:29.955,178.017
13,5 Jun 2023 23:51:03.608,5 Jun 2023 23:52:34.542,90.934
14,6 Jun 2023 01:24:31.850,6 Jun 2023 01:25:49.809,77.958
15,6 Jun 2023 10:53:05.989,6 Jun 2023 10:56:24.483,198.494
16,6 Jun 2023 23:43:16.611,6 Jun 2023 23:47:53.920,277.309
17,7 Jun 2023 09:14:17.549,7 Jun 2023 09:17:55.393,217.844
18,7 Jun 2023 10:47:53.683,7 Jun 2023 10:50:33.192,159.509
19,7 Jun 2023 23:37:30.011,7 Jun 2023 23:42:29.355,299.343
20,8 Jun 2023 09:08:08.769,8 Jun 2023 09:13:00.611,291.842

