"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 10491                                            "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite0011/Sensor/Sensor1:    Active          "
"Satellite/Satellite0012/Sensor/Sensor2:    Active          "
"Satellite/Satellite0021/Sensor/Sensor3:    Active          "
"Satellite/Satellite0022/Sensor/Sensor4:    Active          "
"Satellite/Satellite0031/Sensor/Sensor5:    Active          "
"Satellite/Satellite0032/Sensor/Sensor6:    Active          "
"Satellite/Satellite0041/Sensor/Sensor7:    Active          "
"Satellite/Satellite0042/Sensor/Sensor8:    Active          "
"Satellite/Satellite0051/Sensor/Sensor9:    Active          "
"Satellite/Satellite0052/Sensor/Sensor10:    Active         "
"Satellite/Satellite0061/Sensor/Sensor11:    Active         "
"Satellite/Satellite0062/Sensor/Sensor12:    Active         "
"Satellite/Satellite0071/Sensor/Sensor13:    Active         "
"Satellite/Satellite0072/Sensor/Sensor14:    Active         "
"Satellite/Satellite0081/Sensor/Sensor15:    Active         "
"Satellite/Satellite0082/Sensor/Sensor16:    Active         "
"Satellite/Satellite0091/Sensor/Sensor17:    Active         "
"Satellite/Satellite0092/Sensor/Sensor18:    Active         "
"Satellite/Satellite0101/Sensor/Sensor19:    Active         "
"Satellite/Satellite0102/Sensor/Sensor20:    Active         "
"Satellite/Satellite0111/Sensor/Sensor21:    Active         "
"Satellite/Satellite0112/Sensor/Sensor22:    Active         "
"Satellite/Satellite0121/Sensor/Sensor23:    Active         "
"Satellite/Satellite0122/Sensor/Sensor24:    Active         "
"Satellite/Satellite0131/Sensor/Sensor25:    Active         "
"Satellite/Satellite0132/Sensor/Sensor26:    Active         "
"Satellite/Satellite0141/Sensor/Sensor27:    Active         "
"Satellite/Satellite0142/Sensor/Sensor28:    Active         "
"Satellite/Satellite0151/Sensor/Sensor29:    Active         "
"Satellite/Satellite0152/Sensor/Sensor30:    Active         "
"Satellite/Satellite0161/Sensor/Sensor31:    Active         "
"Satellite/Satellite0162/Sensor/Sensor32:    Active         "
"Access Interval: 1 May 2023 10:00:00.000 to 7 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
38.711,33.791,4121.391
38.711,33.922,4154.859
38.711,34.052,4154.860
38.711,34.183,4188.953
38.711,34.314,4154.874
38.711,34.444,4121.346
38.711,34.575,4121.388
38.711,34.706,4155.077
38.711,34.837,4189.343
38.711,34.967,4259.467
38.711,43.856,4120.909
38.711,43.987,4087.982
38.711,44.118,4120.971
38.711,44.248,4120.978
38.711,44.379,4154.583
38.711,44.510,4154.608
38.711,44.641,4188.657
38.711,44.771,4154.472
38.711,44.902,4120.880
38.814,33.791,4189.224
38.814,33.922,4189.072
38.814,34.052,4154.895
38.814,34.183,4154.912
38.814,34.314,4189.094
38.814,34.444,4121.411
38.814,34.575,4121.433
38.814,34.706,4155.137
38.814,34.837,4189.366
38.814,34.967,4224.262
38.814,35.098,4295.604
38.814,35.229,4332.313
38.814,35.359,4332.534
38.814,35.490,4369.869
38.814,35.621,4446.251
38.814,35.752,4446.525
38.814,35.882,4525.685
38.814,36.013,4566.493
38.814,36.144,4607.985
38.814,36.275,4650.247
38.814,36.405,4650.622
38.814,36.536,4737.271
38.814,36.667,4737.526
38.814,36.797,4694.313
38.814,36.928,4738.256
38.814,37.059,4695.116
38.814,37.190,4695.581
38.814,37.320,4696.010
38.814,37.451,4611.690
38.814,37.582,4653.883
38.814,37.712,4654.088
38.814,37.843,4654.293
38.814,37.974,4697.200
38.814,38.105,4612.666
38.814,38.235,4697.574
38.814,38.366,4654.965
38.814,38.497,4655.263
38.814,38.627,4698.243
38.814,38.758,4655.689
38.814,38.889,4831.625
38.814,39.020,4831.685
38.814,39.150,4742.145
38.814,39.281,4742.156
38.814,39.412,4698.624
38.814,39.542,4655.750
38.814,39.673,4741.950
38.814,39.804,4698.266
38.814,39.935,4655.318
38.814,40.065,4697.928
38.814,40.196,4654.942
38.814,40.327,4612.812
38.814,40.458,4612.456
38.814,40.588,4654.110
38.814,40.719,4653.823
38.814,40.850,4611.682
38.814,40.980,4611.382
38.814,41.111,4695.662
38.814,41.242,4695.318
38.814,41.373,4694.952
38.814,41.503,4694.661
38.814,41.634,4694.428
38.814,41.765,4737.507
38.814,41.895,4650.865
38.814,42.026,4650.448
38.814,42.157,4566.927
38.814,42.288,4525.994
38.814,42.418,4446.811
38.814,42.549,4446.358
38.814,42.680,4407.576
38.814,42.810,4369.483
38.814,42.941,4332.120
38.814,43.072,4295.487
38.814,43.203,4259.301
38.814,43.333,4189.085
38.814,43.464,4154.803
38.814,43.595,4154.653
38.814,43.725,4120.997
38.814,43.856,4120.999
38.814,43.987,4121.141
38.814,44.118,4121.069
38.814,44.248,4121.081
38.814,44.379,4154.667
38.814,44.510,4121.109
38.814,44.641,4154.664
38.814,44.771,4154.627
38.814,44.902,4154.513
38.916,33.791,4223.902
38.916,33.922,4189.216
38.916,34.052,4154.978
38.916,34.183,4154.993
