"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 10:18:16.180,1 Jun 2023 10:23:55.974,339.794
2,1 Jun 2023 11:51:48.212,1 Jun 2023 11:57:31.982,343.769
3,1 Jun 2023 13:25:23.354,1 Jun 2023 13:28:52.504,209.150
4,2 Jun 2023 07:09:41.175,2 Jun 2023 07:11:13.440,92.265
5,2 Jun 2023 08:39:26.686,2 Jun 2023 08:45:14.945,348.259
6,2 Jun 2023 10:13:05.255,2 Jun 2023 10:18:41.343,336.087
7,2 Jun 2023 11:46:33.681,2 Jun 2023 11:52:23.495,349.814
8,2 Jun 2023 13:20:16.524,2 Jun 2023 13:22:49.412,152.888
9,3 Jun 2023 07:03:44.230,3 Jun 2023 07:06:13.126,148.895
10,3 Jun 2023 08:34:04.657,3 Jun 2023 08:40:01.479,356.822
11,3 Jun 2023 10:07:52.582,3 Jun 2023 10:13:27.568,334.985
12,3 Jun 2023 11:41:19.808,3 Jun 2023 11:47:03.442,343.634
13,3 Jun 2023 13:15:13.254,3 Jun 2023 13:16:51.888,98.634
14,4 Jun 2023 06:57:41.889,4 Jun 2023 07:01:08.433,206.545
15,4 Jun 2023 08:28:56.114,4 Jun 2023 08:34:47.019,350.905
16,4 Jun 2023 10:02:38.721,4 Jun 2023 10:08:15.163,336.442
17,4 Jun 2023 11:36:07.137,4 Jun 2023 11:41:14.193,307.056
18,5 Jun 2023 06:51:32.348,5 Jun 2023 06:56:00.346,267.999
19,5 Jun 2023 08:23:49.113,5 Jun 2023 08:29:32.099,342.986
20,5 Jun 2023 09:57:24.200,5 Jun 2023 10:03:04.616,340.416
21,5 Jun 2023 11:30:56.245,5 Jun 2023 11:34:58.274,242.029
22,6 Jun 2023 05:15:39.177,6 Jun 2023 05:16:35.541,56.364
23,6 Jun 2023 06:45:17.075,6 Jun 2023 06:50:49.596,332.521
24,6 Jun 2023 08:18:39.417,6 Jun 2023 08:24:17.236,337.818
25,6 Jun 2023 09:52:09.534,6 Jun 2023 09:57:56.585,347.051
26,6 Jun 2023 11:25:47.782,6 Jun 2023 11:28:51.369,183.587
27,7 Jun 2023 05:09:44.156,7 Jun 2023 05:11:41.783,117.627
28,7 Jun 2023 06:39:42.598,7 Jun 2023 06:45:36.931,354.333
29,7 Jun 2023 08:13:27.640,7 Jun 2023 08:19:02.931,335.291
30,7 Jun 2023 09:46:55.232,7 Jun 2023 09:52:44.312,349.080
31,7 Jun 2023 11:20:42.454,7 Jun 2023 11:22:50.979,128.525
32,8 Jun 2023 05:03:45.003,8 Jun 2023 05:06:39.378,174.375
33,8 Jun 2023 06:34:27.370,8 Jun 2023 06:40:22.952,355.583
34,8 Jun 2023 08:08:14.359,8 Jun 2023 08:13:49.696,335.338
35,8 Jun 2023 09:41:41.829,8 Jun 2023 09:47:15.814,333.986

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 11:05:04.923,1 Jun 2023 11:10:40.052,335.129
2,1 Jun 2023 12:38:32.223,1 Jun 2023 12:44:10.624,338.401
3,1 Jun 2023 14:12:29.598,1 Jun 2023 14:13:52.893,83.295
4,2 Jun 2023 07:54:39.550,2 Jun 2023 07:58:22.571,223.021
5,2 Jun 2023 09:26:10.549,2 Jun 2023 09:31:58.978,348.429
6,2 Jun 2023 10:59:50.823,2 Jun 2023 11:05:28.099,337.276
7,2 Jun 2023 12:33:19.981,2 Jun 2023 12:38:08.164,288.183
8,3 Jun 2023 07:48:27.592,3 Jun 2023 07:53:13.666,286.074
9,3 Jun 2023 09:21:02.739,3 Jun 2023 09:26:44.024,341.286
10,3 Jun 2023 10:54:36.230,3 Jun 2023 11:00:18.197,341.967
11,3 Jun 2023 12:28:09.690,3 Jun 2023 12:31:55.094,225.403
12,4 Jun 2023 06:12:40.046,4 Jun 2023 06:13:56.146,76.099
13,4 Jun 2023 07:42:20.417,4 Jun 2023 07:48:02.331,341.915
14,4 Jun 2023 09:15:52.398,4 Jun 2023 09:21:29.267,336.868
15,4 Jun 2023 10:49:21.611,4 Jun 2023 10:55:10.497,348.886
16,4 Jun 2023 12:23:02.014,4 Jun 2023 12:25:50.131,168.117
17,5 Jun 2023 06:06:44.371,5 Jun 2023 06:08:57.625,133.254
18,5 Jun 2023 07:36:53.068,5 Jun 2023 07:42:49.245,356.178
19,5 Jun 2023 09:10:40.154,5 Jun 2023 09:16:15.207,335.053
20,5 Jun 2023 10:44:07.478,5 Jun 2023 10:49:54.553,347.074
21,5 Jun 2023 12:17:57.686,5 Jun 2023 12:19:51.252,113.566
22,6 Jun 2023 06:00:43.685,6 Jun 2023 06:03:54.046,190.360
23,6 Jun 2023 07:31:41.447,6 Jun 2023 07:37:35.001,353.554
24,6 Jun 2023 09:05:26.569,6 Jun 2023 09:11:02.361,335.792
25,6 Jun 2023 10:38:54.420,6 Jun 2023 10:44:18.379,323.959
26,6 Jun 2023 12:13:04.322,6 Jun 2023 12:13:55.760,51.438
27,7 Jun 2023 05:54:36.379,7 Jun 2023 05:58:46.808,250.429
28,7 Jun 2023 07:26:35.288,7 Jun 2023 07:32:20.155,344.867
29,7 Jun 2023 09:00:12.177,7 Jun 2023 09:05:51.256,339.079
30,7 Jun 2023 10:33:42.996,7 Jun 2023 10:38:02.180,259.183
31,8 Jun 2023 04:18:51.763,8 Jun 2023 04:19:00.963,9.199
32,8 Jun 2023 05:48:19.952,8 Jun 2023 05:53:36.737,316.785
33,8 Jun 2023 07:21:26.263,8 Jun 2023 07:27:05.229,338.966
34,8 Jun 2023 08:54:57.501,8 Jun 2023 09:00:42.467,344.965

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 13:14:04.705,1 Jun 2023 13:14:48.612,43.906
2,1 Jun 2023 14:43:41.202,1 Jun 2023 14:49:08.491,327.289
3,1 Jun 2023 16:16:57.995,1 Jun 2023 16:22:36.068,338.073
4,1 Jun 2023 17:50:28.218,1 Jun 2023 17:56:13.487,345.269
5,1 Jun 2023 19:24:04.582,1 Jun 2023 19:27:22.047,197.465
6,2 Jun 2023 13:08:08.972,2 Jun 2023 13:10:00.016,111.044
7,2 Jun 2023 14:38:03.442,2 Jun 2023 14:43:57.035,353.593
8,2 Jun 2023 16:11:47.465,2 Jun 2023 16:17:22.542,335.076
9,2 Jun 2023 17:45:14.733,2 Jun 2023 17:51:04.837,350.105
10,2 Jun 2023 19:18:59.550,2 Jun 2023 19:21:21.400,141.850
11,3 Jun 2023 13:02:11.573,3 Jun 2023 13:04:59.314,167.741
12,3 Jun 2023 14:32:47.626,3 Jun 2023 14:38:44.167,356.542
13,3 Jun 2023 16:06:35.314,3 Jun 2023 16:12:10.004,334.689
14,3 Jun 2023 17:40:02.039,3 Jun 2023 17:45:42.310,340.271
15,3 Jun 2023 19:13:58.396,3 Jun 2023 19:15:25.963,87.567
16,4 Jun 2023 12:56:08.314,4 Jun 2023 12:59:54.540,226.226
17,4 Jun 2023 14:27:42.326,4 Jun 2023 14:33:30.449,348.123
18,4 Jun 2023 16:01:22.153,4 Jun 2023 16:06:58.944,336.791
19,4 Jun 2023 17:34:50.691,4 Jun 2023 17:39:44.058,293.368
20,5 Jun 2023 12:49:57.170,5 Jun 2023 12:54:46.575,289.405
21,5 Jun 2023 14:22:35.476,5 Jun 2023 14:28:16.405,340.929
22,5 Jun 2023 15:56:08.486,5 Jun 2023 16:01:49.932,341.446
23,5 Jun 2023 17:29:41.277,5 Jun 2023 17:33:31.484,230.207
24,6 Jun 2023 11:14:11.706,6 Jun 2023 11:15:30.544,78.838
25,6 Jun 2023 12:43:52.698,6 Jun 2023 12:49:36.199,343.501
26,6 Jun 2023 14:17:26.090,6 Jun 2023 14:23:02.561,336.471
27,6 Jun 2023 15:50:54.786,6 Jun 2023 15:56:43.375,348.589
28,6 Jun 2023 17:24:34.459,6 Jun 2023 17:27:27.246,172.787
29,7 Jun 2023 11:08:16.948,7 Jun 2023 11:10:32.777,135.830
30,7 Jun 2023 12:38:27.244,7 Jun 2023 12:44:24.029,356.785
31,7 Jun 2023 14:12:14.795,7 Jun 2023 14:17:49.414,334.619
32,7 Jun 2023 15:45:41.572,7 Jun 2023 15:51:29.657,348.085
33,7 Jun 2023 17:19:30.968,7 Jun 2023 17:21:29.054,118.085

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 13:59:08.193,1 Jun 2023 14:02:12.097,183.904
2,1 Jun 2023 15:29:59.306,1 Jun 2023 15:35:54.121,354.815
3,1 Jun 2023 17:03:45.445,1 Jun 2023 17:09:20.470,335.025
4,1 Jun 2023 18:37:12.449,1 Jun 2023 18:42:45.569,333.120
5,1 Jun 2023 20:11:14.436,1 Jun 2023 20:12:24.914,70.478
6,2 Jun 2023 13:53:03.006,2 Jun 2023 13:57:06.350,243.343
7,2 Jun 2023 15:24:54.452,2 Jun 2023 15:30:40.252,345.801
8,2 Jun 2023 16:58:32.084,2 Jun 2023 17:04:09.937,337.853
9,2 Jun 2023 18:32:01.570,2 Jun 2023 18:36:36.433,274.863
10,3 Jun 2023 13:46:49.154,3 Jun 2023 13:51:57.633,308.479
11,3 Jun 2023 15:19:46.820,3 Jun 2023 15:25:26.199,339.379
12,3 Jun 2023 16:53:18.337,3 Jun 2023 16:59:01.605,343.269
13,3 Jun 2023 18:26:52.825,3 Jun 2023 18:30:26.490,213.665
14,4 Jun 2023 12:11:10.517,4 Jun 2023 12:12:45.574,95.057
15,4 Jun 2023 13:40:57.115,4 Jun 2023 13:46:46.683,349.568
16,4 Jun 2023 15:14:36.829,4 Jun 2023 15:20:12.518,335.688
17,4 Jun 2023 16:48:04.726,4 Jun 2023 16:53:54.605,349.879
18,4 Jun 2023 18:21:46.859,4 Jun 2023 18:24:24.096,157.237
19,5 Jun 2023 12:05:14.466,5 Jun 2023 12:07:46.189,151.724
20,5 Jun 2023 13:35:36.919,5 Jun 2023 13:41:34.145,357.226
21,5 Jun 2023 15:09:25.107,5 Jun 2023 15:14:59.628,334.521
22,5 Jun 2023 16:42:51.746,5 Jun 2023 16:48:36.809,345.063
23,5 Jun 2023 18:16:44.440,5 Jun 2023 18:18:27.333,102.893
24,6 Jun 2023 11:59:13.009,6 Jun 2023 12:02:42.499,209.490
25,6 Jun 2023 13:30:29.958,6 Jun 2023 13:36:20.610,350.651
26,6 Jun 2023 15:04:12.182,6 Jun 2023 15:09:48.107,335.925
27,6 Jun 2023 16:37:39.971,6 Jun 2023 16:42:52.572,312.601
28,6 Jun 2023 18:12:04.678,6 Jun 2023 18:12:24.447,19.769
29,7 Jun 2023 11:53:04.355,7 Jun 2023 11:57:35.337,270.982
30,7 Jun 2023 13:25:23.949,7 Jun 2023 13:31:06.610,342.661
31,7 Jun 2023 14:58:58.586,7 Jun 2023 15:04:38.467,339.882
32,7 Jun 2023 16:32:29.947,7 Jun 2023 16:36:37.187,247.240

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2023 19:12:33.382,1 Jun 2023 19:13:37.304,63.921
2,1 Jun 2023 20:42:11.990,1 Jun 2023 20:47:48.150,336.159
3,1 Jun 2023 22:15:38.060,1 Jun 2023 22:21:15.527,337.468
4,1 Jun 2023 23:49:07.840,1 Jun 2023 23:54:55.591,347.751
5,2 Jun 2023 01:22:46.759,2 Jun 2023 01:25:45.299,178.540
6,2 Jun 2023 19:06:38.524,2 Jun 2023 19:08:41.448,122.924
7,2 Jun 2023 20:36:40.260,2 Jun 2023 20:42:35.368,355.107
8,2 Jun 2023 22:10:26.148,2 Jun 2023 22:16:01.330,335.181
9,2 Jun 2023 23:43:53.611,2 Jun 2023 23:49:42.193,348.581
10,3 Jun 2023 01:17:41.772,3 Jun 2023 01:19:45.445,123.673
11,3 Jun 2023 19:00:38.902,3 Jun 2023 19:03:38.674,179.772
12,3 Jun 2023 20:31:26.322,3 Jun 2023 20:37:21.328,355.006
13,3 Jun 2023 22:05:12.796,3 Jun 2023 22:10:48.248,335.452
14,3 Jun 2023 23:38:40.352,3 Jun 2023 23:44:11.552,331.201
15,4 Jun 2023 01:12:43.591,4 Jun 2023 01:13:50.427,66.836
16,4 Jun 2023 18:54:32.978,4 Jun 2023 18:58:32.076,239.098
17,4 Jun 2023 20:26:20.341,4 Jun 2023 20:32:06.579,346.238
18,4 Jun 2023 21:59:58.541,4 Jun 2023 22:05:36.810,338.269
19,4 Jun 2023 23:33:28.593,4 Jun 2023 23:37:59.700,271.107
20,5 Jun 2023 18:48:18.525,5 Jun 2023 18:53:22.494,303.968
21,5 Jun 2023 20:21:11.829,5 Jun 2023 20:26:51.683,339.854
22,5 Jun 2023 21:54:43.913,5 Jun 2023 22:00:27.571,343.658
23,5 Jun 2023 23:28:18.947,5 Jun 2023 23:31:49.028,210.081
24,6 Jun 2023 17:12:37.403,6 Jun 2023 17:14:08.967,91.564
25,6 Jun 2023 18:42:22.631,6 Jun 2023 18:48:10.667,348.036
26,6 Jun 2023 20:16:00.961,6 Jun 2023 20:21:37.075,336.114
27,6 Jun 2023 21:49:29.406,6 Jun 2023 21:55:19.196,349.791
28,6 Jun 2023 23:23:12.098,6 Jun 2023 23:25:45.869,153.771
29,7 Jun 2023 17:06:40.547,7 Jun 2023 17:09:08.748,148.201
30,7 Jun 2023 18:37:00.416,7 Jun 2023 18:42:57.248,356.832
31,7 Jun 2023 20:10:48.336,7 Jun 2023 20:16:23.296,334.960
