"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Aug 2023 10:00:00.000 to 8 Aug 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,50390.893
44.413,33.852,46514.057
44.413,34.000,43191.272
44.485,33.704,50391.040
44.485,33.852,46514.664
44.485,34.000,46514.216
44.485,34.148,46514.225
44.557,33.556,43191.935
44.557,33.704,50391.222
44.557,33.852,54972.435
44.557,34.000,54972.895
44.557,34.148,50391.455
44.557,34.296,54972.345
44.628,33.556,46514.310
44.628,33.704,50391.070
44.628,33.852,50391.592
44.628,34.000,67190.006
44.628,34.148,67189.980
44.628,34.296,50391.867
44.700,33.556,46514.191
44.700,33.704,50391.085
44.700,33.852,60470.385
44.700,34.000,54973.149
44.700,34.148,50392.014
44.700,34.296,60470.453
44.700,34.444,54972.625
44.772,33.556,50391.008
44.772,33.704,54972.290
44.772,33.852,50391.253
44.772,34.000,50391.415
44.772,34.148,50391.437
44.772,34.296,46515.065
44.772,34.444,54972.424
44.772,34.593,50391.097
44.844,33.556,50391.269
44.844,33.704,43191.990
44.844,33.852,46514.591
44.844,34.000,50390.742
44.844,34.148,46514.389
44.844,34.296,50390.902
44.844,34.444,43191.847
44.844,34.593,54972.456
44.844,34.741,54972.476
44.844,34.889,50391.137
44.844,35.037,46514.231
44.916,33.704,50391.017
44.916,33.852,43191.695
44.916,34.000,46513.995
44.916,34.148,43191.368
44.916,34.296,43191.388
44.916,34.444,50390.818
44.916,34.593,46514.796
44.916,34.741,54972.628
44.916,34.889,54972.546
44.916,35.037,54972.235
44.916,35.185,50390.487
44.988,33.704,50390.882
44.988,33.852,46514.202
44.988,34.000,40311.648
44.988,34.148,40311.683
44.988,34.296,46513.938
44.988,34.444,50390.547
44.988,34.593,46514.498
44.988,34.741,50391.030
44.988,34.889,50390.989
44.988,35.037,60469.827
44.988,35.185,50390.929
44.988,35.333,43191.362
45.060,33.704,46514.305
45.060,33.852,46514.128
45.060,34.000,46514.316
45.060,34.148,43191.526
45.060,34.296,46514.003
45.060,34.444,46513.992
45.060,34.593,50390.365
45.060,34.741,50390.491
45.060,34.889,50390.688
45.060,35.037,46514.178
45.060,35.185,46514.305
45.060,35.333,46514.185
45.060,35.926,40311.445
45.060,36.074,43190.777
45.060,36.222,43191.110
45.060,36.370,46513.682
45.132,33.556,43191.108
45.132,33.704,46513.861
45.132,33.852,50390.510
45.132,34.000,46514.602
45.132,34.148,50390.813
45.132,34.296,46514.185
45.132,34.444,46513.849
45.132,34.593,46513.844
45.132,34.741,46513.672
45.132,34.889,43191.091
45.132,35.037,43191.342
45.132,35.185,40311.677
45.132,35.333,43191.651
45.132,35.481,54972.040
45.132,35.630,46514.167
45.132,35.778,46513.820
45.132,35.926,46513.566
45.132,36.074,46513.788
45.132,36.222,43190.993
45.132,36.370,43190.865
45.204,33.259,37791.749
45.204,33.407,40311.272
45.204,33.556,43191.027
45.204,33.704,46513.750
45.204,33.852,50390.610
45.204,34.000,50390.506
45.204,34.148,50390.712
45.204,34.296,54971.820
45.204,34.444,46514.068
45.204,34.593,43191.054
45.204,34.741,40311.214
45.204,34.889,40311.228
45.204,35.037,40311.317
45.204,35.185,46513.896
45.204,35.333,43191.461
45.204,35.481,43191.402
45.204,35.630,50390.764
45.204,35.778,54971.985
45.204,35.926,50390.590
45.204,36.074,46513.710
45.204,36.222,43191.024
45.204,36.370,40311.170
45.276,33.111,40311.590
45.276,33.259,40311.361
45.276,33.407,40311.246
45.276,33.556,40311.500
45.276,33.704,43191.271
45.276,33.852,46513.695
45.276,34.000,50390.239
45.276,34.148,54971.534
45.276,34.296,50390.322
45.276,34.444,43191.252
45.276,34.593,46513.715
45.276,34.741,37791.717
45.276,34.889,37791.704
45.276,35.037,43190.964
45.276,35.185,43190.868
