"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensors:    Active                               "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Jun 2023 10:00:00.000 to 1 Aug 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,18337.524
44.413,33.852,18337.528
44.413,34.000,18273.846
44.485,33.704,18023.276
44.485,33.852,18147.648
44.485,34.000,18273.712
44.485,34.148,18023.302
44.557,33.556,18210.236
44.557,33.704,18210.290
44.557,33.852,17961.589
44.557,34.000,18023.166
44.557,34.148,18273.599
44.557,34.296,18085.131
44.628,33.556,17900.343
44.628,33.704,17900.303
44.628,33.852,18084.968
44.628,34.000,17900.398
44.628,34.148,17779.425
44.628,34.296,18023.072
44.700,33.556,17779.189
44.700,33.704,18022.875
44.700,33.852,17961.306
44.700,34.000,17900.227
44.700,34.148,17961.395
44.700,34.296,17779.280
44.700,34.444,17900.265
44.772,33.556,17779.064
44.772,33.704,17839.326
44.772,33.852,17779.115
44.772,34.000,17719.247
44.772,34.148,17961.169
44.772,34.296,17779.181
44.772,34.444,17839.427
44.772,34.593,17719.287
44.844,33.556,17659.588
44.844,33.704,17541.825
44.844,33.852,17659.550
44.844,34.000,17719.058
44.844,34.148,17659.657
44.844,34.296,17778.966
44.844,34.444,17719.139
44.844,34.593,17659.696
44.844,34.741,17659.685
44.844,34.889,17719.221
44.844,35.037,17542.004
44.916,33.704,17659.432
44.916,33.852,17541.709
44.916,34.000,17483.411
44.916,34.148,17541.693
44.916,34.296,17541.749
44.916,34.444,17483.478
44.916,34.593,17719.008
44.916,34.741,17541.794
44.916,34.889,17483.491
44.916,35.037,17541.775
44.916,35.185,17483.523
44.988,33.704,17367.824
44.988,33.852,17425.359
44.988,34.000,17425.364
44.988,34.148,17425.364
44.988,34.296,17367.854
44.988,34.444,17367.912
44.988,34.593,17425.430
44.988,34.741,17541.607
44.988,34.889,17425.428
44.988,35.037,17541.612
44.988,35.185,17425.389
44.988,35.333,17367.900
45.060,33.704,17253.776
45.060,33.852,17253.756
45.060,34.000,17310.541
45.060,34.148,17367.744
45.060,34.296,17367.712
45.060,34.444,17141.369
45.060,34.593,17310.549
45.060,34.741,17253.815
45.060,34.889,17367.702
45.060,35.037,17541.434
45.060,35.185,17253.769
45.060,35.333,17253.773
45.060,35.926,17310.596
45.060,36.074,17197.474
45.060,36.222,17253.917
45.060,36.370,17425.360
45.132,33.556,17141.165
45.132,33.704,17141.204
45.132,33.852,17197.235
45.132,34.000,17197.239
45.132,34.148,17085.562
45.132,34.296,17141.196
45.132,34.444,17085.529
45.132,34.593,17141.203
45.132,34.741,17253.577
45.132,34.889,17085.512
45.132,35.037,17197.225
45.132,35.185,17310.387
45.132,35.333,17197.237
45.132,35.481,17030.252
45.132,35.630,17141.186
45.132,35.778,17085.564
45.132,35.926,17085.576
45.132,36.074,17141.246
45.132,36.222,17141.277
45.132,36.370,17141.304
45.204,33.259,17030.024
45.204,33.407,17030.025
45.204,33.556,17197.026
45.204,33.704,17030.050
45.204,33.852,17030.093
45.204,34.000,17197.060
45.204,34.148,17030.041
45.204,34.296,16975.109
45.204,34.444,17197.038
45.204,34.593,16975.111
45.204,34.741,17085.330
45.204,34.889,17030.008
45.204,35.037,16975.065
45.204,35.185,16975.102
45.204,35.333,17085.381
45.204,35.481,16975.126
45.204,35.630,17085.362
45.204,35.778,16920.553
45.204,35.926,16975.126
45.204,36.074,16975.155
45.204,36.222,16975.158
45.204,36.370,17141.078
45.276,33.111,16974.915
45.276,33.259,16974.945
45.276,33.407,16920.356
45.276,33.556,16920.354
45.276,33.704,16866.095
45.276,33.852,16920.304
45.276,34.000,16920.323
45.276,34.148,16866.106
45.276,34.296,16920.326
45.276,34.444,16920.312
45.276,34.593,16866.069
45.276,34.741,16866.079
45.276,34.889,16866.077
45.276,35.037,16812.181
45.276,35.185,16866.095
45.276,35.333,16758.647
45.276,35.481,16866.133
45.276,35.630,16974.990
45.276,35.778,16920.376
45.276,35.926,16974.957
45.276,36.074,16974.951
45.276,36.222,16812.225
45.276,36.370,16812.241
45.348,32.667,16920.147
45.348,33.111,16758.478
45.348,33.259,16758.489
45.348,33.407,16812.065
45.348,33.556,16812.070
45.348,33.704,16758.459
45.348,33.852,16812.012
45.348,34.000,16705.261
45.348,34.148,16758.429
45.348,34.296,16812.019
45.348,34.444,16758.466
45.348,34.593,16811.991
45.348,34.741,16705.241
45.348,34.889,16705.271
45.348,35.037,16705.220
45.348,35.185,16758.487
45.348,35.333,16812.013
45.348,35.778,16974.810
45.348,35.926,16812.048
45.348,36.074,16758.509
45.348,36.222,16705.287
45.348,36.370,16758.452
45.420,32.519,16705.092
45.420,32.667,16705.098
45.420,32.815,16705.086
45.420,32.963,16652.203
45.420,33.111,16495.590
45.420,33.259,16652.218
45.420,33.407,16705.088
45.420,33.556,16599.670
45.420,33.704,16652.228
45.420,33.852,16705.083
45.420,34.000,16705.054
45.420,34.148,16705.045
45.420,34.296,16705.032
45.420,34.444,16547.421
45.420,34.593,16547.453
45.420,34.741,16705.049
45.420,34.889,16705.049
45.420,35.037,16599.655
45.420,35.185,16652.201
45.420,36.074,16705.122
45.420,36.222,16758.291
45.420,36.370,16758.309
45.420,36.519,16652.215
45.492,32.667,16495.443
45.492,32.815,16599.525
45.492,32.963,16443.872
45.492,33.111,16392.625
45.492,33.259,16547.238
45.492,33.407,16392.587
45.492,33.556,16547.261
45.492,33.704,16547.278
45.492,33.852,16547.290
45.492,34.000,16443.858
45.492,34.148,16495.374
45.492,34.296,16495.346
45.492,34.444,16443.809
45.492,34.593,16651.973
45.492,34.741,16392.578
45.492,34.889,16392.574
45.492,35.037,16652.013
45.492,35.185,16547.267
45.563,32.815,16240.669
45.563,32.963,16392.466
45.563,33.111,16443.664
45.563,33.259,16443.646
45.563,33.407,16341.490
45.563,33.556,16341.462
45.563,33.704,16392.393
45.563,33.852,16443.635
45.563,34.000,16392.394
45.563,34.148,16341.499
45.563,34.296,16443.646
45.563,34.444,16443.615
45.563,34.593,16392.397
45.563,34.741,16290.883
45.563,34.889,16443.624
45.563,35.037,16190.666
45.635,32.963,16190.470
45.635,33.111,16240.446
45.635,33.259,16341.342
45.635,33.407,16290.715
45.635,33.556,16240.383
45.635,33.704,16290.655
45.635,33.852,16091.340
45.635,34.000,16190.399
45.635,34.148,16290.705
