"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensors:    Active                               "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Jun 2023 10:00:00.000 to 8 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,5161.790
44.413,33.852,5207.180
44.413,34.000,5161.892
44.485,33.704,5160.681
44.485,33.852,5160.658
44.485,34.000,5206.050
44.485,34.148,5206.090
44.557,33.556,5159.667
44.557,33.704,5159.642
44.557,33.852,5205.011
44.557,34.000,5205.022
44.557,34.148,5251.211
44.557,34.296,5251.210
44.628,33.556,5158.790
44.628,33.704,5204.134
44.628,33.852,5204.117
44.628,34.000,5250.273
44.628,34.148,5250.239
44.628,34.296,5250.239
44.700,33.556,5203.396
44.700,33.704,5203.353
44.700,33.852,5249.478
44.700,34.000,5249.414
44.700,34.148,5249.383
44.700,34.296,5249.385
44.700,34.444,5249.420
44.772,33.556,5202.717
44.772,33.704,5248.812
44.772,33.852,5248.720
44.772,34.000,5248.660
44.772,34.148,5248.631
44.772,34.296,5248.633
44.772,34.444,5248.667
44.772,34.593,5248.731
44.844,33.556,5202.052
44.844,33.704,5201.986
44.844,33.852,5248.058
44.844,34.000,5247.999
44.844,34.148,5247.971
44.844,34.296,5247.974
44.844,34.444,5248.007
44.844,34.593,5248.070
44.844,34.741,5248.163
44.844,34.889,5248.288
44.844,35.037,5248.444
44.916,33.704,5155.902
44.916,33.852,5155.908
44.916,34.000,5201.226
44.916,34.148,5201.254
44.916,34.296,5247.400
44.916,34.444,5247.433
44.916,34.593,5247.495
44.916,34.741,5156.213
44.916,34.889,5156.167
44.916,35.037,5067.987
44.916,35.185,5067.914
44.988,33.704,5066.841
44.988,33.852,5110.614
44.988,34.000,5110.681
44.988,34.148,5155.258
44.988,34.296,5110.876
44.988,34.444,5110.831
44.988,34.593,5067.146
44.988,34.741,5067.037
44.988,34.889,5066.984
44.988,35.037,4981.605
44.988,35.185,4981.557
44.988,35.333,4899.019
45.060,33.704,4980.723
45.060,33.852,5023.092
45.060,34.000,4980.787
45.060,34.148,4980.800
45.060,34.296,4939.173
45.060,34.444,4939.149
45.060,34.593,4898.201
45.060,34.741,4898.150
45.060,34.889,4857.868
45.060,35.037,4857.793
45.060,35.185,4818.161
45.060,35.333,4818.053
45.060,35.926,4522.633
45.060,36.074,4488.039
45.060,36.222,4420.739
45.060,36.370,4420.487
45.132,33.556,4740.089
45.132,33.704,4778.429
45.132,33.852,4740.159
45.132,34.000,4778.439
45.132,34.148,4740.132
45.132,34.296,4778.347
45.132,34.444,4739.971
45.132,34.593,4739.897
45.132,34.741,4702.139
45.132,34.889,4702.056
45.132,35.037,4664.905
45.132,35.185,4664.815
45.132,35.333,4628.258
45.132,35.481,4628.162
45.132,35.630,4628.140
45.132,35.778,4556.685
45.132,35.926,4556.510
45.132,36.074,4487.253
45.132,36.222,4487.093
45.132,36.370,4419.963
45.204,33.259,4663.997
45.204,33.407,4591.545
45.204,33.556,4627.402
45.204,33.704,4556.076
45.204,33.852,4591.383
45.204,34.000,4521.169
45.204,34.148,4555.960
45.204,34.296,4521.123
45.204,34.444,4555.881
45.204,34.593,4521.027
45.204,34.741,4555.738
45.204,34.889,4520.825
45.204,35.037,4520.727
45.204,35.185,4520.693
