"Coverage Properties"
"Custom Regions Coverage                                             "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 0.1000 (deg)                                            "
"Number of Points: 2638                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/RCO:    Active                                    "
"Satellite/RCO111/Sensor/Sensor8:    Active                  "
"Satellite/RCO112/Sensor/Sensor9:    Active                  "
"Satellite/RCO121/Sensor/Sensor10:    Active                 "
"Satellite/RCO122/Sensor/Sensor11:    Active                 "
"Satellite/RCO131/Sensor/Sensor12:    Active                 "
"Satellite/RCO132/Sensor/Sensor13:    Active                 "
"Satellite/RCO141/Sensor/Sensor14:    Active                 "
"Satellite/RCO142/Sensor/Sensor15:    Active                 "
"Satellite/RCO151/Sensor/Sensor16:    Active                 "
"Satellite/RCO152/Sensor/Sensor17:    Active                 "
"Access Interval: 1 May 2023 10:00:00.000 to 16 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,5620.164
44.413,33.852,5595.609
44.413,34.000,5644.940
44.485,33.704,5546.620
44.485,33.852,5570.782
44.485,34.000,5570.876
44.485,34.148,5546.720
44.557,33.556,5522.334
44.557,33.704,5546.175
44.557,33.852,5451.737
44.557,34.000,5522.270
44.557,34.148,5498.645
44.557,34.296,5475.125
44.628,33.556,5498.156
44.628,33.704,5498.198
44.628,33.852,5498.124
44.628,34.000,5474.602
44.628,34.148,5451.252
44.628,34.296,5474.604
44.700,33.556,5497.762
44.700,33.704,5427.793
44.700,33.852,5450.865
44.700,34.000,5427.744
44.700,34.148,5474.166
44.700,34.296,5450.816
44.700,34.444,5450.849
44.772,33.556,5381.683
44.772,33.704,5404.384
44.772,33.852,5473.782
44.772,34.000,5427.353
44.772,34.148,5404.384
44.772,34.296,5427.325
44.772,34.444,5473.803
44.772,34.593,5450.527
44.844,33.556,5404.102
44.844,33.704,5404.038
44.844,33.852,5381.270
44.844,34.000,5403.980
44.844,34.148,5426.989
44.844,34.296,5404.066
44.844,34.444,5381.329
44.844,34.593,5427.030
44.844,34.741,5404.203
44.844,34.889,5358.882
44.844,35.037,5404.108
44.916,33.704,5403.723
44.916,33.852,5403.704
44.916,34.000,5380.922
44.916,34.148,5358.381
44.916,34.296,5380.954
44.916,34.444,5336.098
44.916,34.593,5336.126
44.916,34.741,5358.428
44.916,34.889,5426.648
44.916,35.037,5358.449
44.916,35.185,5403.628
44.988,33.704,5449.413
44.988,33.852,5358.133
44.988,34.000,5380.620
44.988,34.148,5335.700
44.988,34.296,5313.499
44.988,34.444,5358.017
44.988,34.593,5313.524
44.988,34.741,5335.664
44.988,34.889,5357.995
44.988,35.037,5357.986
44.988,35.185,5335.601
44.988,35.333,5335.522
45.060,33.704,5313.239
45.060,33.852,5403.011
45.060,34.000,5313.281
45.060,34.148,5335.345
45.060,34.296,5357.682
45.060,34.444,5313.134
45.060,34.593,5357.594
45.060,34.741,5269.286
45.060,34.889,5290.975
45.060,35.037,5291.002
45.060,35.185,5269.198
45.060,35.333,5226.004
45.060,35.926,5247.288
45.060,36.074,5225.824
45.060,36.222,5268.927
45.060,36.370,5312.774
45.132,33.556,5290.768
45.132,33.704,5225.902
45.132,33.852,5269.016
45.132,34.000,5312.856
45.132,34.148,5357.420
45.132,34.296,5335.027
45.132,34.444,5269.019
45.132,34.593,5290.689
45.132,34.741,5290.597
45.132,34.889,5247.158
45.132,35.037,5204.270
45.132,35.185,5225.483
45.132,35.333,5225.513
45.132,35.481,5204.180
45.132,35.630,5246.847
45.132,35.778,5204.122
45.132,35.926,5225.348
45.132,36.074,5225.332
45.132,36.222,5161.999
45.132,36.370,5182.906
45.204,33.259,5268.410
45.204,33.407,5204.082
45.204,33.556,5225.333
45.204,33.704,5246.878
45.204,33.852,5183.125
45.204,34.000,5246.975
45.204,34.148,5225.607
45.204,34.296,5268.670
45.204,34.444,5312.361
45.204,34.593,5246.899
45.204,34.741,5225.289
45.204,34.889,5246.609
45.204,35.037,5161.838
45.204,35.185,5203.717
45.204,35.333,5182.608
45.204,35.481,5182.598
45.204,35.630,5161.668
45.204,35.778,5182.548
45.204,35.926,5140.806
45.204,36.074,5161.516
45.204,36.222,5161.531
45.204,36.370,5120.197
45.276,33.111,5161.415
45.276,33.259,5161.551
45.276,33.407,5203.632
45.276,33.556,5203.661
45.276,33.704,5203.678
45.276,33.852,5203.744
45.276,34.000,5182.639
45.276,34.148,5182.638
45.276,34.296,5182.636
45.276,34.444,5161.705
45.276,34.593,5203.674
45.276,34.741,5182.517
45.276,34.889,5182.386
45.276,35.037,5203.429
45.276,35.185,5161.355
45.276,35.333,5161.218
45.276,35.481,5099.482
45.276,35.630,5119.795
45.276,35.778,5099.334
45.276,35.926,5119.729
45.276,36.074,5099.277
45.276,36.222,5119.742
45.276,36.370,5140.388
45.348,32.667,5078.676
45.348,33.111,5099.100
45.348,33.259,5119.597
45.348,33.407,5099.303
45.348,33.556,5099.405
45.348,33.704,5119.880
45.348,33.852,5203.216
45.348,34.000,5161.213
45.348,34.148,5119.773
45.348,34.296,5140.309
45.348,34.444,5119.713
45.348,34.593,5161.079
45.348,34.741,5099.316
45.348,34.889,5140.279
45.348,35.037,5140.256
45.348,35.185,5140.164
45.348,35.333,5099.101
45.348,35.778,5098.838
45.348,35.926,5098.833
45.348,36.074,5058.516
45.348,36.222,5058.578
45.348,36.370,5078.732
45.420,32.519,5058.151
45.420,32.667,5078.201
45.420,32.815,5078.213
45.420,32.963,5098.497
45.420,33.111,5058.182
45.420,33.259,5038.301
45.420,33.407,5058.309
45.420,33.556,5038.526
45.420,33.704,5058.454
45.420,33.852,5058.470
45.420,34.000,5078.566
45.420,34.148,5098.835
45.420,34.296,5098.806
45.420,34.444,5098.740
45.420,34.593,5078.447
45.420,34.741,5098.713
45.420,34.889,5058.398
45.420,35.037,5038.388
45.420,35.185,5078.411
45.420,36.074,5058.162
45.420,36.222,5038.225
45.420,36.370,5018.456
45.420,36.519,5018.545
45.492,32.667,5017.974
45.492,32.815,5017.973
45.492,32.963,4998.334
45.492,33.111,5037.761
45.492,33.259,4998.415
45.492,33.407,4998.393
45.492,33.556,5037.783
45.492,33.704,5037.858
45.492,33.852,5018.056
45.492,34.000,5018.152
45.492,34.148,5018.121
45.492,34.296,5037.943
45.492,34.444,5037.960
45.492,34.593,5018.105
45.492,34.741,5037.854
45.492,34.889,5077.877
45.492,35.037,5018.069
45.492,35.185,4998.433
45.563,32.815,4939.898
45.563,32.963,4920.866
45.563,33.111,4939.884
45.563,33.259,4997.858
45.563,33.407,4997.845
45.563,33.556,5037.222
45.563,33.704,5017.437
45.563,33.852,5017.481
45.563,34.000,4997.823
45.563,34.148,4959.080
45.563,34.296,4902.010
45.563,34.444,4959.074
45.563,34.593,4978.506
45.563,34.741,4978.438
45.563,34.889,5017.550
45.563,35.037,5037.325
45.635,32.963,4901.434
45.635,33.111,4882.701
45.635,33.259,4939.302
45.635,33.407,4939.359
45.635,33.556,4939.336
45.635,33.704,4997.306
45.635,33.852,4977.781
45.635,34.000,4977.747
45.635,34.148,4939.249
45.635,34.296,4901.396
45.635,34.444,4920.267
45.635,34.593,4901.419
45.635,34.741,4939.407
45.635,34.889,4920.381
45.635,35.037,4939.488
45.707,33.111,4882.150
45.707,33.259,4845.080
45.707,33.407,4863.483
45.707,33.556,4863.530
45.707,33.704,4882.104
45.707,33.852,4919.690
45.707,34.000,4900.834
45.707,34.148,4938.749
45.707,34.296,4938.735
45.707,34.444,4900.854
45.707,34.593,4900.870
45.707,34.741,4900.870
45.707,34.889,4882.175
45.779,33.407,4862.923
45.779,33.556,4826.097
45.779,33.704,4826.073
45.779,33.852,4844.451
45.779,34.000,4862.953
45.779,34.148,4900.300
45.779,34.296,4881.641
45.779,34.444,4881.663
45.779,34.593,4881.636
45.779,34.741,4844.568
45.779,34.889,4808.047
45.851,33.704,4807.394
45.851,33.852,4825.556
45.851,34.000,4807.423
45.851,34.148,4771.535
45.851,34.296,4807.520
45.851,34.444,4789.535
45.851,34.593,4807.556
45.851,34.741,4807.581
45.851,34.889,4807.639
45.923,33.704,4735.656
45.923,33.852,4753.196
45.923,34.000,4753.191
45.923,34.148,4770.907
45.923,34.296,4770.904
45.923,34.444,4735.551
45.923,34.593,4718.114
45.923,34.741,4753.368
45.923,34.889,4735.784
45.995,33.704,4615.175
45.995,33.852,4648.823
45.995,34.000,4665.769
45.995,34.148,4682.870
45.995,34.296,4700.092
45.995,34.444,4700.122
45.995,34.593,4700.143
45.995,34.741,4682.946
45.995,41.259,4683.148
45.995,41.407,4700.326
45.995,41.556,4683.081
45.995,41.704,4683.059
46.067,33.407,4648.261
46.067,33.704,4597.959
46.067,33.852,4581.388
46.067,34.000,4597.879
46.067,34.148,4548.733
46.067,34.296,4565.059
46.067,34.444,4614.591
46.067,34.593,4614.637
46.067,34.741,4648.264
46.067,34.889,4631.472
46.067,41.259,4565.262
46.067,41.407,4548.971
46.067,41.556,4598.182
46.139,32.370,4647.819
46.139,32.519,4630.903
46.139,32.667,4597.471
46.139,32.815,4580.876
46.139,32.963,4564.499
46.139,33.111,4532.062
46.139,33.259,4548.218
46.139,33.407,4532.099
46.139,33.556,4580.922
46.139,33.704,4548.217
46.139,33.852,4548.151
46.139,34.000,4531.958
46.139,34.148,4515.895
46.139,34.296,4484.183
46.139,34.444,4499.981
46.139,34.593,4515.986
46.139,34.741,4580.949
46.139,34.889,4597.498
46.139,35.037,4597.506
46.139,41.111,4548.370
46.139,41.259,4532.162
46.139,41.407,4532.177
46.139,41.556,4484.366
46.211,32.222,4580.531
46.211,32.370,4596.997
46.211,32.519,4564.140
46.211,32.667,4596.921
46.211,32.815,4563.974
46.211,32.963,4547.649
46.211,33.111,4563.854
46.211,33.259,4483.630
46.211,33.407,4499.396
46.211,33.556,4467.917
46.211,33.704,4452.319
46.211,33.852,4436.871
46.211,34.000,4452.316
46.211,34.148,4467.861
46.211,34.296,4467.896
46.211,34.444,4467.898
46.211,34.593,4467.898
46.211,34.741,4499.421
46.211,34.889,4499.459
46.211,35.037,4515.441
46.211,35.185,4515.527
46.211,41.111,4468.165
46.211,41.259,4499.597
46.211,41.407,4483.778
46.211,41.556,4499.605
46.211,41.704,4452.457
46.211,41.852,4483.725
46.211,43.333,4548.057
46.211,43.481,4548.052
46.211,43.630,4564.347
46.283,31.778,4515.012
46.283,32.074,4531.030
46.283,32.222,4499.042
46.283,32.370,4514.932
46.283,32.519,4483.225
46.283,32.667,4531.033
46.283,32.815,4499.057
46.283,32.963,4499.000
46.283,33.111,4483.176
46.283,33.259,4498.871
