"Coverage Properties"
"Custom Regions Coverage                                             "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 0.1000 (deg)                                            "
"Number of Points: 2638                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/RCO:    Active                                    "
"Satellite/Satellite1011/Sensor/Sensor9:    Active           "
"Satellite/Satellite1012/Sensor/Sensor10:    Active          "
"Satellite/Satellite1021/Sensor/Sensor11:    Active          "
"Satellite/Satellite1022/Sensor/Sensor12:    Active          "
"Satellite/Satellite1031/Sensor/Sensor13:    Active          "
"Satellite/Satellite1032/Sensor/Sensor14:    Active          "
"Satellite/Satellite1041/Sensor/Sensor15:    Active          "
"Satellite/Satellite1042/Sensor/Sensor16:    Active          "
"Satellite/Satellite1051/Sensor/Sensor17:    Active          "
"Satellite/Satellite1052/Sensor/Sensor18:    Active          "
"Satellite/Satellite1061/Sensor/Sensor27:    Active          "
"Satellite/Satellite1062/Sensor/Sensor28:    Active          "
"Satellite/Satellite1071/Sensor/Sensor29:    Active          "
"Satellite/Satellite1072/Sensor/Sensor30:    Active          "
"Satellite/Satellite1081/Sensor/Sensor31:    Active          "
"Satellite/Satellite1082/Sensor/Sensor32:    Active          "
"Satellite/Satellite1091/Sensor/Sensor33:    Active          "
"Satellite/Satellite1092/Sensor/Sensor34:    Active          "
"Satellite/Satellite1101/Sensor/Sensor35:    Active          "
"Satellite/Satellite1102/Sensor/Sensor36:    Active          "
"Satellite/Satellite1111/Sensor/Sensor37:    Active          "
"Satellite/Satellite1112/Sensor/Sensor38:    Active          "
"Satellite/Satellite1121/Sensor/Sensor39:    Active          "
"Satellite/Satellite1122/Sensor/Sensor40:    Active          "
"Access Interval: 1 May 2023 10:00:00.000 to 16 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,5143.690
44.413,33.852,5206.427
44.413,34.000,5227.602
44.485,33.704,5143.604
44.485,33.852,5185.233
44.485,34.000,5206.271
44.485,34.148,5227.510
44.557,33.556,5227.544
44.557,33.704,5185.186
44.557,33.852,5164.205
44.557,34.000,5206.184
44.557,34.148,5227.445
44.557,34.296,5227.366
44.628,33.556,5227.432
44.628,33.704,5185.114
44.628,33.852,5122.773
44.628,34.000,5206.104
44.628,34.148,5227.364
44.628,34.296,5227.284
44.700,33.556,5227.326
44.700,33.704,5185.058
44.700,33.852,5122.676
44.700,34.000,5227.311
44.700,34.148,5205.993
44.700,34.296,5227.217
44.700,34.444,5164.019
44.772,33.556,5227.241
44.772,33.704,5184.947
44.772,33.852,5102.179
44.772,34.000,5184.891
44.772,34.148,5205.902
44.772,34.296,5205.885
44.772,34.444,5163.935
44.772,34.593,5081.882
44.844,33.556,5227.146
44.844,33.704,5184.866
44.844,33.852,5081.829
44.844,34.000,5163.892
44.844,34.148,5184.752
44.844,34.296,5184.721
44.844,34.444,5205.834
44.844,34.593,5061.734
44.844,34.741,5143.179
44.844,34.889,5205.798
44.844,35.037,5184.696
44.916,33.704,5122.509
44.916,33.852,5061.639
44.916,34.000,5143.034
44.916,34.148,5205.762
44.916,34.296,5163.730
44.916,34.444,5205.743
44.916,34.593,5061.654
44.916,34.741,5102.045
44.916,34.889,5205.745
44.916,35.037,5184.557
44.916,35.185,5163.736
44.988,33.704,5163.759
44.988,33.852,5081.678
44.988,34.000,5122.335
44.988,34.148,5184.598
44.988,34.296,5163.689
44.988,34.444,5184.557
44.988,34.593,5061.552
44.988,34.741,5101.914
44.988,34.889,5142.909
44.988,35.037,5184.457
44.988,35.185,5122.301
44.988,35.333,5101.788
45.060,33.704,5163.646
45.060,33.852,5122.302
45.060,34.000,5101.810
45.060,34.148,5184.535
45.060,34.296,5163.588
45.060,34.444,5142.782
45.060,34.593,5081.579
45.060,34.741,5101.789
45.060,34.889,5163.574
45.060,35.037,5184.376
45.060,35.185,5163.533
45.060,35.333,5122.167
45.060,35.926,5184.433
45.060,36.074,5101.796
45.060,36.222,5081.444
45.060,36.370,5122.229
45.132,33.556,5163.483
45.132,33.704,5163.558
45.132,33.852,5142.846
45.132,34.000,5061.363
45.132,34.148,5163.579
45.132,34.296,5163.480
45.132,34.444,5142.695
45.132,34.593,5122.201
45.132,34.741,5081.413
45.132,34.889,5184.439
45.132,35.037,5163.386
45.132,35.185,5184.358
45.132,35.333,5122.095
45.132,35.481,5081.258
45.132,35.630,5184.375
45.132,35.778,5205.469
45.132,35.926,5163.409
45.132,36.074,5122.114
45.132,36.222,5101.616
45.132,36.370,5163.482
45.204,33.259,5081.353
45.204,33.407,5184.435
45.204,33.556,5184.336
45.204,33.704,5184.389
45.204,33.852,5163.510
45.204,34.000,5061.257
45.204,34.148,5142.730
45.204,34.296,5184.318
45.204,34.444,5163.351
45.204,34.593,5142.683
45.204,34.741,5101.575
45.204,34.889,5226.726
45.204,35.037,5163.317
45.204,35.185,5184.274
45.204,35.333,5142.577
45.204,35.481,5061.073
45.204,35.630,5101.556
45.204,35.778,5205.378
45.204,35.926,5163.312
45.204,36.074,5122.051
45.204,36.222,5081.280
45.204,36.370,5142.662
45.276,33.111,5142.625
45.276,33.259,5081.249
45.276,33.407,5142.665
45.276,33.556,5163.345
45.276,33.704,5122.042
45.276,33.852,5122.106
45.276,34.000,5041.218
45.276,34.148,5122.011
45.276,34.296,5184.245
45.276,34.444,5121.947
45.276,34.593,5122.009
45.276,34.741,5081.213
45.276,34.889,5142.577
45.276,35.037,5142.523
45.276,35.185,5142.505
45.276,35.333,5121.897
45.276,35.481,5101.357
45.276,35.630,5101.425
45.276,35.778,5184.197
45.276,35.926,5142.469
45.276,36.074,5142.543
45.276,36.222,5081.218
