"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite011/Sensor/Sensor50:    Active          "
"Satellite/Satellite012/Sensor/Sensor51:    Active          "
"Satellite/Satellite021/Sensor/Sensor52:    Active          "
"Satellite/Satellite022/Sensor/Sensor53:    Active          "
"Satellite/Satellite031/Sensor/Sensor54:    Active          "
"Satellite/Satellite032/Sensor/Sensor55:    Active          "
"Satellite/Satellite041/Sensor/Sensor56:    Active          "
"Satellite/Satellite042/Sensor/Sensor57:    Active          "
"Access Interval: 1 Aug 2023 10:00:00.000 to 8 Aug 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,60473.670
44.413,33.852,54975.674
44.413,34.000,50393.954
44.485,33.704,67192.725
44.485,33.852,67192.815
44.485,34.000,50394.175
44.485,34.148,46517.296
44.557,33.556,60473.115
44.557,33.704,54975.453
44.557,33.852,60473.078
44.557,34.000,60473.314
44.557,34.148,60473.782
44.557,34.296,43194.564
44.628,33.556,60473.342
44.628,33.704,54975.289
44.628,33.852,54975.527
44.628,34.000,54975.657
44.628,34.148,50394.071
44.628,34.296,50394.099
44.700,33.556,46517.364
44.700,33.704,60473.784
44.700,33.852,50394.014
44.700,34.000,46517.165
44.700,34.148,46517.513
44.700,34.296,60473.405
44.700,34.444,67192.826
44.772,33.556,43194.770
44.772,33.704,43194.388
44.772,33.852,46517.396
44.772,34.000,54975.658
44.772,34.148,60473.180
44.772,34.296,60473.115
44.772,34.444,60473.183
44.772,34.593,60473.093
44.844,33.556,50394.033
44.844,33.704,40314.735
44.844,33.852,46517.237
44.844,34.000,54975.569
44.844,34.148,67192.913
44.844,34.296,54975.254
44.844,34.444,54975.177
44.844,34.593,60473.330
44.844,34.741,54975.517
44.844,34.889,50394.096
44.844,35.037,40314.775
44.916,33.704,60473.407
44.916,33.852,54975.538
44.916,34.000,46517.224
44.916,34.148,46517.145
44.916,34.296,54975.562
44.916,34.444,60473.388
44.916,34.593,50393.765
44.916,34.741,46517.161
44.916,34.889,50394.031
44.916,35.037,60473.359
44.916,35.185,54975.565
44.988,33.704,67192.664
44.988,33.852,60473.130
44.988,34.000,50394.149
44.988,34.148,46517.213
44.988,34.296,43194.428
44.988,34.444,46517.308
44.988,34.593,46517.281
44.988,34.741,54975.334
44.988,34.889,54975.534
44.988,35.037,67192.668
44.988,35.185,60473.139
44.988,35.333,54975.542
45.060,33.704,54975.108
45.060,33.852,54975.305
45.060,34.000,60473.348
45.060,34.148,54975.453
45.060,34.296,40314.661
45.060,34.444,40314.433
45.060,34.593,46517.324
45.060,34.741,60473.497
45.060,34.889,60473.103
45.060,35.037,54975.113
45.060,35.185,54975.280
45.060,35.333,60473.322
45.060,35.926,46517.274
45.060,36.074,60473.482
45.060,36.222,60473.116
45.060,36.370,54975.118
45.132,33.556,50393.892
45.132,33.704,54975.355
45.132,33.852,50393.958
45.132,34.000,50393.694
45.132,34.148,50393.713
45.132,34.296,50394.117
45.132,34.444,50394.084
45.132,34.593,50393.723
45.132,34.741,46517.084
45.132,34.889,50393.898
45.132,35.037,54975.362
45.132,35.185,50393.979
45.132,35.333,50393.684
45.132,35.481,50393.729
45.132,35.630,50394.103
45.132,35.778,50394.075
45.132,35.926,50393.735
45.132,36.074,46517.083
45.132,36.222,50393.907
45.132,36.370,54975.370
45.204,33.259,54975.401
45.204,33.407,46517.046
45.204,33.556,46517.081
45.204,33.704,46517.194
45.204,33.852,46517.323
45.204,34.000,46517.020
45.204,34.148,54975.226
45.204,34.296,60473.296
45.204,34.444,67192.678
45.204,34.593,54975.474
45.204,34.741,46517.059
45.204,34.889,46517.061
45.204,35.037,43194.475
45.204,35.185,43194.677
45.204,35.333,46517.031
45.204,35.481,54975.215
45.204,35.630,54975.570
45.204,35.778,67192.678
45.204,35.926,60473.153
45.204,36.074,46517.077
45.204,36.222,46517.046
45.204,36.370,50394.133
45.276,33.111,54975.119
45.276,33.259,60473.038
45.276,33.407,50394.248
45.276,33.556,46517.126
45.276,33.704,40314.250
45.276,33.852,40314.494
45.276,34.000,50394.027
45.276,34.148,60473.131
45.276,34.296,54975.193
45.276,34.444,54975.111
45.276,34.593,60473.030
45.276,34.741,50394.251
45.276,34.889,46517.131
45.276,35.037,40314.268
45.276,35.185,40314.470
45.276,35.333,50394.013
45.276,35.481,60473.150
45.276,35.630,54975.213
45.276,35.778,54975.105
45.276,35.926,60473.022
45.276,36.074,60473.435
45.276,36.222,54975.706
45.276,36.370,50394.180
45.348,32.667,60473.554
45.348,33.111,54975.215
45.348,33.259,50393.690
45.348,33.407,46517.287
45.348,33.556,50393.686
45.348,33.704,54975.425
45.348,33.852,46517.132
45.348,34.000,50393.615
45.348,34.148,50393.711
45.348,34.296,54975.283
45.348,34.444,54975.209
45.348,34.593,50393.690
45.348,34.741,50393.785
45.348,34.889,50393.691
45.348,35.037,46517.605
45.348,35.185,46517.108
45.348,35.333,50393.607
45.348,35.778,54975.204
45.348,35.926,60473.198
45.348,36.074,60473.661
45.348,36.222,67193.621
45.348,36.370,60474.978
45.420,32.519,67194.032
45.420,32.667,54976.074
45.420,32.815,54975.666
45.420,32.963,46517.725
45.420,33.111,50393.977
45.420,33.259,46516.939
45.420,33.407,46516.971
45.420,33.556,54975.245
45.420,33.704,67192.679
45.420,33.852,54975.548
45.420,34.000,46517.083
45.420,34.148,46516.843
45.420,34.296,40314.644
45.420,34.444,43194.461
45.420,34.593,46516.968
45.420,34.741,46516.970
45.420,34.889,54975.220
45.420,35.037,67192.684
45.420,35.185,60473.227
45.420,36.074,60474.070
45.420,36.222,75593.738
45.420,36.370,86393.902
45.420,36.519,100793.323
45.492,32.667,75593.486
