"Coverage Properties"
"Custom Regions Coverage                                             "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 0.1000 (deg)                                            "
"Number of Points: 2638                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/RCO:    Active                                    "
"Satellite/RCO111/Sensor/Sensor8:    Active                  "
"Satellite/RCO112/Sensor/Sensor9:    Active                  "
"Satellite/RCO121/Sensor/Sensor10:    Active                 "
"Satellite/RCO122/Sensor/Sensor11:    Active                 "
"Satellite/RCO131/Sensor/Sensor12:    Active                 "
"Satellite/RCO132/Sensor/Sensor13:    Active                 "
"Satellite/RCO141/Sensor/Sensor14:    Active                 "
"Satellite/RCO142/Sensor/Sensor15:    Active                 "
"Access Interval: 1 May 2023 10:00:00.000 to 16 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,7135.571
44.413,33.852,7057.171
44.413,34.000,7096.202
44.485,33.704,6979.887
44.485,33.852,7056.594
44.485,34.000,7056.691
44.485,34.148,6980.025
44.557,33.556,6979.592
44.557,33.704,7017.674
44.557,33.852,6941.774
44.557,34.000,6979.479
44.557,34.148,7056.334
44.557,34.296,7017.920
44.628,33.556,6941.484
44.628,33.704,6979.193
44.628,33.852,6941.408
44.628,34.000,6904.120
44.628,34.148,7017.412
44.628,34.296,6979.330
44.700,33.556,6903.604
44.700,33.704,6830.247
44.700,33.852,6866.836
44.700,34.000,6941.144
44.700,34.148,6903.792
44.700,34.296,6978.838
44.700,34.444,6941.131
44.772,33.556,6793.560
44.772,33.704,6793.581
44.772,33.852,6866.380
44.772,34.000,6829.904
44.772,34.148,6829.911
44.772,34.296,6866.413
44.772,34.444,6940.684
44.772,34.593,6978.459
44.844,33.556,6793.083
44.844,33.704,6865.918
44.844,33.852,6757.460
44.844,34.000,6829.375
44.844,34.148,6793.277
44.844,34.296,6829.438
44.844,34.444,6793.379
44.844,34.593,6940.317
44.844,34.741,6866.109
44.844,34.889,6829.628
44.844,35.037,6903.145
44.916,33.704,6828.927
44.916,33.852,6828.928
44.916,34.000,6792.842
44.916,34.148,6828.996
44.916,34.296,6792.890
44.916,34.444,6757.077
44.916,34.593,6686.656
44.916,34.741,6757.233
44.916,34.889,6792.954
44.916,35.037,6829.172
44.916,35.185,6829.167
44.988,33.704,6792.341
44.988,33.852,6792.510
44.988,34.000,6865.150
44.988,34.148,6721.250
44.988,34.296,6721.221
44.988,34.444,6686.197
44.988,34.593,6617.206
44.988,34.741,6686.168
44.988,34.889,6721.243
44.988,35.037,6756.760
44.988,35.185,6828.750
44.988,35.333,6828.759
45.060,33.704,6756.216
45.060,33.852,6720.765
45.060,34.000,6720.820
45.060,34.148,6720.839
45.060,34.296,6616.703
45.060,34.444,6685.695
45.060,34.593,6616.805
45.060,34.741,6616.764
45.060,34.889,6651.041
45.060,35.037,6720.779
45.060,35.185,6685.784
45.060,35.333,6756.282
45.060,35.926,6685.547
45.060,36.074,6616.433
45.060,36.222,6616.386
45.060,36.370,6650.674
45.132,33.556,6685.351
45.132,33.704,6616.256
45.132,33.852,6582.336
45.132,34.000,6582.220
45.132,34.148,6616.206
45.132,34.296,6685.318
45.132,34.444,6582.461
45.132,34.593,6685.288
45.132,34.741,6650.667
45.132,34.889,6582.361
45.132,35.037,6650.545
45.132,35.185,6582.180
45.132,35.333,6582.117
45.132,35.481,6616.127
45.132,35.630,6582.247
45.132,35.778,6616.105
45.132,35.926,6616.064
45.132,36.074,6582.112
45.132,36.222,6615.942
45.132,36.370,6581.901
45.204,33.259,6650.420
45.204,33.407,6685.012
45.204,33.556,6615.967
45.204,33.704,6581.859
45.204,33.852,6548.120
45.204,34.000,6514.870
45.204,34.148,6514.965
45.204,34.296,6581.916
45.204,34.444,6615.911
45.204,34.593,6548.390
45.204,34.741,6615.931
45.204,34.889,6581.881
45.204,35.037,6548.080
45.204,35.185,6547.980
45.204,35.333,6481.746
45.204,35.481,6514.616
45.204,35.630,6547.934
45.204,35.778,6514.726
45.204,35.926,6481.833
45.204,36.074,6615.562
45.204,36.222,6514.606
45.204,36.370,6547.781
45.276,33.111,6581.673
45.276,33.259,6581.727
45.276,33.407,6581.616
45.276,33.556,6581.515
45.276,33.704,6615.431
45.276,33.852,6481.668
45.276,34.000,6547.787
45.276,34.148,6514.543
45.276,34.296,6514.457
45.276,34.444,6514.569
45.276,34.593,6514.544
45.276,34.741,6547.744
45.276,34.889,6514.399
45.276,35.037,6481.446
45.276,35.185,6481.302
45.276,35.333,6481.182
45.276,35.481,6416.292
45.276,35.630,6448.537
45.276,35.778,6481.202
45.276,35.926,6481.162
45.276,36.074,6448.547
45.276,36.222,6481.173
45.276,36.370,6416.315
45.348,32.667,6547.783
45.348,33.111,6581.183
45.348,33.259,6547.508
45.348,33.407,6581.108
45.348,33.556,6481.338
45.348,33.704,6481.304
45.348,33.852,6547.505
45.348,34.000,6547.503
45.348,34.148,6448.606
45.348,34.296,6481.104
45.348,34.444,6513.919
45.348,34.593,6480.964
45.348,34.741,6416.067
45.348,34.889,6448.267
45.348,35.037,6448.225
45.348,35.185,6415.926
45.348,35.333,6415.872
45.348,35.778,6447.956
45.348,35.926,6415.704
45.348,36.074,6447.970
45.348,36.222,6383.749
45.348,36.370,6448.000
45.420,32.519,6481.197
45.420,32.667,6448.519
45.420,32.815,6448.499
45.420,32.963,6547.187
45.420,33.111,6513.885
45.420,33.259,6480.907
45.420,33.407,6480.891
45.420,33.556,6448.285
45.420,33.704,6480.897
45.420,33.852,6384.103
45.420,34.000,6448.183
45.420,34.148,6513.693
45.420,34.296,6448.077
45.420,34.444,6447.931
45.420,34.593,6447.759
45.420,34.741,6415.420
45.420,34.889,6415.403
45.420,35.037,6383.447
45.420,35.185,6351.756
45.420,36.074,6383.234
45.420,36.222,6351.635
45.420,36.370,6258.611
45.420,36.519,6258.583
45.492,32.667,6415.765
45.492,32.815,6383.788
45.492,32.963,6383.763
45.492,33.111,6415.670
45.492,33.259,6447.851
45.492,33.407,6415.613
45.492,33.556,6383.638
45.492,33.704,6447.802
45.492,33.852,6447.774
45.492,34.000,6415.490
45.492,34.148,6383.409
45.492,34.296,6447.542
45.492,34.444,6351.575
45.492,34.593,6351.428
45.492,34.741,6320.039
45.492,34.889,6351.267
45.492,35.037,6382.870
45.492,35.185,6319.972
45.563,32.815,6320.341
45.563,32.963,6351.557
45.563,33.111,6289.224
45.563,33.259,6258.542
45.563,33.407,6351.539
45.563,33.556,6415.144
45.563,33.704,6351.499
45.563,33.852,6383.048
45.563,34.000,6383.042
45.563,34.148,6382.898
45.563,34.296,6351.097
45.563,34.444,6257.973
45.563,34.593,6288.630
45.563,34.741,6288.539
45.563,34.889,6288.475
45.563,35.037,6319.469
45.635,32.963,6227.568
45.635,33.111,6258.006
45.635,33.259,6288.721
45.635,33.407,6257.950
45.635,33.556,6227.525
45.635,33.704,6319.676
45.635,33.852,6319.595
45.635,34.000,6319.508
45.635,34.148,6319.355
45.635,34.296,6257.594
45.635,34.444,6288.217
45.635,34.593,6227.065
45.635,34.741,6226.946
45.635,34.889,6226.950
45.635,35.037,6288.032
45.707,33.111,6227.094
45.707,33.259,6167.090
45.707,33.407,6137.541
45.707,33.556,6226.961
45.707,33.704,6196.743
45.707,33.852,6226.775
45.707,34.000,6226.754
45.707,34.148,6226.734
45.707,34.296,6287.808
45.707,34.444,6257.067
45.707,34.593,6226.597
45.707,34.741,6196.545
45.707,34.889,6226.527
45.779,33.407,6166.486
45.779,33.556,6166.361
45.779,33.704,6136.776
45.779,33.852,6136.706
45.779,34.000,6166.225
45.779,34.148,6166.198
45.779,34.296,6136.739
45.779,34.444,6196.095
45.779,34.593,6166.283
45.779,34.741,6166.139
45.779,34.889,6136.481
45.851,33.704,6077.967
45.851,33.852,6136.165
45.851,34.000,6077.906
45.851,34.148,6020.805
45.851,34.296,6049.194
45.851,34.444,6077.879
45.851,34.593,6049.111
45.851,34.741,6020.667
45.851,34.889,6048.986
45.923,33.704,5992.174
45.923,33.852,5964.179
45.923,34.000,5964.134
45.923,34.148,5936.471
45.923,34.296,5991.920
45.923,34.444,5963.958
45.923,34.593,5991.828
45.923,34.741,6019.983
45.923,34.889,5963.916
45.995,33.704,5908.562
45.995,33.852,5881.411
45.995,34.000,5881.340
45.995,34.148,5908.416
45.995,34.296,5908.375
45.995,34.444,5908.308
45.995,34.593,5881.192
45.995,34.741,5908.243
45.995,41.259,5908.299
45.995,41.407,5908.327
45.995,41.556,5908.331
45.995,41.704,5935.764
46.067,33.407,5880.851
46.067,33.704,5880.824
46.067,33.852,5907.904
46.067,34.000,5907.881
46.067,34.148,5800.775
46.067,34.296,5827.080
46.067,34.444,5826.989
46.067,34.593,5800.543
46.067,34.741,5826.909
46.067,34.889,5774.354
46.067,41.259,5880.570
46.067,41.407,5827.027
46.067,41.556,5853.662
46.139,32.370,5853.553
46.139,32.519,5853.572
46.139,32.667,5826.843
46.139,32.815,5800.406
46.139,32.963,5800.288
46.139,33.111,5748.127
46.139,33.259,5722.417
46.139,33.407,5774.026
46.139,33.556,5800.233
46.139,33.704,5826.705
46.139,33.852,5853.298
46.139,34.000,5800.187
46.139,34.148,5800.156
46.139,34.296,5747.967
46.139,34.444,5747.866
46.139,34.593,5747.802
46.139,34.741,5722.087
46.139,34.889,5747.805
46.139,35.037,5722.124
46.139,41.111,5826.402
46.139,41.259,5826.431
46.139,41.407,5773.871
46.139,41.556,5747.915
46.211,32.222,5721.970
46.211,32.370,5721.928
46.211,32.519,5721.948
46.211,32.667,5773.493
46.211,32.815,5696.418
46.211,32.963,5747.510
46.211,33.111,5721.830
46.211,33.259,5721.797
46.211,33.407,5696.263
46.211,33.556,5696.257
46.211,33.704,5696.220
46.211,33.852,5696.245
46.211,34.000,5747.383
46.211,34.148,5696.190
46.211,34.296,5721.657
46.211,34.444,5670.915
46.211,34.593,5670.846
46.211,34.741,5696.064
46.211,34.889,5696.028
46.211,35.037,5695.970
46.211,35.185,5695.958
46.211,41.111,5721.493
46.211,41.259,5696.099
46.211,41.407,5696.174
46.211,41.556,5670.999
46.211,41.704,5671.008
46.211,41.852,5696.213
46.211,43.333,5696.375
46.211,43.481,5696.313
46.211,43.630,5721.750
46.283,31.778,5620.771
46.283,32.074,5645.520
46.283,32.222,5645.451
46.283,32.370,5620.659
46.283,32.519,5670.367
46.283,32.667,5695.603
46.283,32.815,5645.406
46.283,32.963,5620.636
46.283,33.111,5620.641
46.283,33.259,5596.092
46.283,33.407,5596.010
46.283,33.556,5645.261
46.283,33.704,5645.209
46.283,33.852,5645.176
46.283,34.000,5620.400
46.283,34.148,5595.845
46.283,34.296,5571.490
46.283,34.444,5571.552
46.283,34.593,5595.919
46.283,34.741,5595.879
46.283,34.889,5620.404
46.283,35.037,5695.365
46.283,35.185,5670.051
46.283,40.815,5571.235
46.283,41.111,5595.631
46.283,41.259,5595.712
46.283,41.407,5547.314
46.283,41.556,5571.527
46.283,41.704,5620.519
46.283,41.852,5571.599
46.283,43.185,5596.058
46.283,43.333,5571.651
46.283,43.481,5595.994
46.283,43.630,5620.467
46.355,32.074,5595.351
46.355,32.222,5546.873
46.355,32.370,5546.775
46.355,32.519,5546.733
46.355,32.667,5522.798
46.355,32.815,5522.795
46.355,32.963,5546.740
46.355,33.111,5570.950
46.355,33.259,5546.758
46.355,33.407,5570.868
46.355,33.556,5522.762
46.355,33.704,5522.708
46.355,33.852,5522.672
46.355,34.000,5522.635
46.355,34.148,5546.598
46.355,34.296,5546.633
46.355,34.444,5546.668
46.355,34.593,5546.688
46.355,34.741,5546.698
46.355,34.889,5570.843
46.355,35.037,5595.137
46.355,35.185,5546.670
46.355,35.333,5570.738
46.355,40.370,5522.437
46.355,40.519,5522.410
46.355,40.667,5475.187
46.355,40.815,5498.701
46.355,40.963,5475.176
46.355,41.111,5475.194
46.355,41.259,5475.255
46.355,41.407,5522.545
46.355,41.556,5570.732
46.355,41.704,5570.766
46.355,41.852,5546.702
46.355,42.000,5570.886
46.355,42.148,5570.885
46.355,43.185,5546.771
46.355,43.333,5546.741
46.355,43.481,5546.710
46.355,43.630,5522.752
46.355,43.926,5498.887
46.427,32.074,5498.452
46.427,32.222,5474.829
46.427,32.370,5474.774
46.427,32.519,5428.274
46.427,32.667,5451.387
46.427,32.815,5451.386
46.427,32.963,5498.272
46.427,33.111,5474.785
46.427,33.259,5474.759
46.427,33.407,5474.735
46.427,33.556,5451.389
46.427,33.704,5428.238
46.427,33.852,5428.171
46.427,34.000,5405.290
46.427,34.148,5451.411
46.427,34.296,5522.009
46.427,34.444,5522.076
46.427,34.593,5498.438
46.427,34.741,5522.072
46.427,34.889,5498.303
46.427,35.037,5451.429
46.427,35.185,5428.242
46.427,35.333,5428.242
46.427,40.370,5474.448
46.427,40.519,5427.979
46.427,40.667,5405.014
46.427,40.815,5405.012
46.427,40.963,5382.255
46.427,41.111,5405.039
46.427,41.259,5405.144
46.427,41.407,5498.094
46.427,41.556,5521.893
46.427,41.704,5522.002
46.427,41.852,5570.099
46.427,42.000,5522.026
46.427,42.593,5428.372
46.427,42.741,5474.831
46.427,42.889,5474.879
46.427,43.037,5498.455
46.427,43.185,5522.140
46.427,43.333,5522.072
46.427,43.481,5498.270
46.427,43.630,5451.341
46.427,43.778,5428.173
46.427,43.926,5405.157
46.498,31.926,5427.657
46.498,32.074,5450.773
46.498,32.370,5404.655
46.498,32.519,5381.909
46.498,32.667,5381.845
46.498,32.815,5404.561
46.498,32.963,5359.241
46.498,33.111,5359.180
46.498,33.259,5381.771
46.498,33.407,5381.783
46.498,33.556,5381.786
46.498,33.704,5381.804
46.498,33.852,5359.344
46.498,34.000,5381.921
46.498,34.148,5427.587
46.498,34.296,5381.920
46.498,34.444,5427.605
46.498,34.593,5404.731
46.498,34.741,5427.621
46.498,34.889,5381.919
46.498,35.037,5404.641
46.498,35.185,5427.547
46.498,35.333,5381.873
46.498,35.481,5381.887
46.498,40.370,5336.688
46.498,40.519,5381.574
46.498,40.667,5404.319
46.498,40.815,5359.030
46.498,40.963,5381.629
46.498,41.111,5381.700
46.498,41.259,5427.371
46.498,41.407,5381.722
46.498,41.556,5381.751
46.498,41.704,5404.545
46.498,41.852,5381.848
46.498,42.000,5381.822
46.498,42.444,5381.899
46.498,42.593,5404.662
