"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensors:    Active                               "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Jun 2023 10:00:00.000 to 8 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,6966.063
44.413,33.852,6965.906
44.413,34.000,6885.662
44.485,33.704,6965.581
44.485,33.852,7047.695
44.485,34.000,7047.663
44.485,34.148,6885.246
44.557,33.556,6884.755
44.557,33.704,6884.932
44.557,33.852,6965.160
44.557,34.000,6885.160
44.557,34.148,6964.999
44.557,34.296,6806.203
44.628,33.556,6729.435
44.628,33.704,6806.072
44.628,33.852,6806.010
44.628,34.000,6884.259
44.628,34.148,6805.960
44.628,34.296,6884.200
44.700,33.556,6653.956
44.700,33.704,6653.885
44.700,33.852,6728.742
44.700,34.000,6728.753
44.700,34.148,6805.233
44.700,34.296,6728.724
44.700,34.444,6728.738
44.772,33.556,6653.465
44.772,33.704,6653.340
44.772,33.852,6653.170
44.772,34.000,6653.136
44.772,34.148,6653.227
44.772,34.296,6728.207
44.772,34.444,6728.393
44.772,34.593,6580.423
44.844,33.556,6579.799
44.844,33.704,6579.597
44.844,33.852,6652.680
44.844,34.000,6652.640
44.844,34.148,6652.697
44.844,34.296,6508.009
44.844,34.444,6508.189
44.844,34.593,6653.217
44.844,34.741,6727.993
44.844,34.889,6508.261
44.844,35.037,6508.036
44.916,33.704,6579.252
44.916,33.852,6579.119
44.916,34.000,6437.416
44.916,34.148,6507.431
44.916,34.296,6507.542
44.916,34.444,6579.272
44.916,34.593,6507.640
44.916,34.741,6579.311
44.916,34.889,6579.293
44.916,35.037,6507.661
44.916,35.185,6579.146
44.988,33.704,6437.249
44.988,33.852,6437.128
44.988,34.000,6436.990
44.988,34.148,6368.529
44.988,34.296,6437.009
44.988,34.444,6507.009
44.988,34.593,6578.588
44.988,34.741,6578.599
44.988,34.889,6578.710
44.988,35.037,6507.191
44.988,35.185,6437.178
44.988,35.333,6507.041
45.060,33.704,6368.069
45.060,33.852,6368.146
45.060,34.000,6171.016
45.060,34.148,6368.085
45.060,34.296,6436.479
45.060,34.444,6506.485
45.060,34.593,6506.487
45.060,34.741,6506.524
45.060,34.889,6578.145
45.060,35.037,6578.190
45.060,35.185,6436.621
45.060,35.333,6301.002
45.060,35.926,6436.449
45.060,36.074,6436.573
45.060,36.222,6506.658
45.060,36.370,6578.146
45.132,33.556,6300.326
45.132,33.704,6300.358
45.132,33.852,6300.484
45.132,34.000,6367.590
45.132,34.148,6300.508
45.132,34.296,6300.466
45.132,34.444,6300.456
45.132,34.593,6435.961
45.132,34.741,6506.016
45.132,34.889,6436.004
45.132,35.037,6367.538
45.132,35.185,6436.082
45.132,35.333,6367.478
45.132,35.481,6300.341
45.132,35.630,6300.285
45.132,35.778,6234.580
45.132,35.926,6367.358
45.132,36.074,6435.999
45.132,36.222,6436.092
45.132,36.370,6367.638
45.204,33.259,6169.790
45.204,33.407,6169.806
45.204,33.556,6234.036
45.204,33.704,6299.848
45.204,33.852,6367.019
45.204,34.000,6300.070
45.204,34.148,6367.062
45.204,34.296,6234.240
45.204,34.444,6234.203
45.204,34.593,6299.846
45.204,34.741,6234.164
45.204,34.889,6366.871
45.204,35.037,6299.787
45.204,35.185,6366.873
45.204,35.333,6366.987
45.204,35.481,6366.980
45.204,35.630,6299.842
45.204,35.778,6234.043
45.204,35.926,6234.088
45.204,36.074,6299.805
45.204,36.222,6435.448
45.204,36.370,6366.937
45.276,33.111,6106.010
45.276,33.259,6105.977
45.276,33.407,6106.158
45.276,33.556,6169.368
45.276,33.704,6233.725
45.276,33.852,6299.395
45.276,34.000,6366.489
45.276,34.148,6233.849
45.276,34.296,6233.807
