"Coverage Properties"
"Custom Regions Coverage                                             "
"Grid Altitude: 0.0000 (km)                                          "
"Ground Altitude set from grid altitude reference (On ellipsoid)     "
"Resolution: 0.1000 (deg)                                            "
"Number of Points: 2638                                              "
"Assets required for a valid access: At Least 1                      "
"Assigned Assets:                                                    "
"Constellation/Sensors:    Active                                "
"Satellite/Satellite011/Sensor/Sensor1:    Active            "
"Satellite/Satellite012/Sensor/Sensor2:    Active            "
"Satellite/Satellite021/Sensor/Sensor3:    Active            "
"Satellite/Satellite022/Sensor/Sensor4:    Active            "
"Satellite/Satellite031/Sensor/Sensor5:    Active            "
"Satellite/Satellite032/Sensor/Sensor6:    Active            "
"Satellite/Satellite041/Sensor/Sensor7:    Active            "
"Satellite/Satellite042/Sensor/Sensor8:    Active            "
"Access Interval: 1 Jun 2023 10:00:00.000 to 15 Jun 2023 10:00:00.000"
"Regional Acceleration: Automatic                                    "
"Light time delay: Ignored                                           "
"Maximum Sampling Time Step: 360.000 secs                            "
"Minimum Sampling Time Step: 0.010 secs                              "
"Time Convergence: 5.000e-03 secs                                    "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14          "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,3288.135
44.413,33.852,3278.801
44.413,34.000,3278.681
44.485,33.704,3232.067
44.485,33.852,3223.177
44.485,34.000,3223.092
44.485,34.148,3214.155
44.557,33.556,3169.256
44.557,33.704,3177.870
44.557,33.852,3177.831
44.557,34.000,3160.551
44.557,34.148,3160.440
44.557,34.296,3160.459
44.628,33.556,3133.672
44.628,33.704,3125.251
44.628,33.852,3116.878
44.628,34.000,3116.908
44.628,34.148,3108.601
44.628,34.296,3100.311
44.700,33.556,3050.058
44.700,33.704,3058.108
44.700,33.852,3058.113
44.700,34.000,3050.071
44.700,34.148,3074.332
44.700,34.296,3058.158
44.700,34.444,3058.082
44.772,33.556,2993.508
44.772,33.704,2993.549
44.772,33.852,3001.304
44.772,34.000,2985.980
44.772,34.148,3001.337
44.772,34.296,3001.375
44.772,34.444,2993.637
44.772,34.593,3001.401
44.844,33.556,2931.484
44.844,33.704,2938.930
44.844,33.852,2953.998
44.844,34.000,2954.032
44.844,34.148,2954.045
44.844,34.296,2954.036
44.844,34.444,2946.601
44.844,34.593,2931.677
44.844,34.741,2924.249
44.844,34.889,2939.037
44.844,35.037,2954.020
44.916,33.704,2864.879
44.916,33.852,2886.274
44.916,34.000,2879.151
44.916,34.148,2879.145
44.916,34.296,2864.938
44.916,34.444,2871.980
44.916,34.593,2879.102
44.916,34.741,2850.772
44.916,34.889,2857.740
44.916,35.037,2857.802
44.916,35.185,2879.156
44.988,33.704,2760.682
44.988,33.852,2767.247
44.988,34.000,2773.887
44.988,34.148,2767.348
44.988,34.296,2760.774
44.988,34.444,2767.272
44.988,34.593,2773.865
44.988,34.741,2767.259
44.988,34.889,2747.583
44.988,35.037,2767.261
