"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/Sensor:    Active                                "
"Satellite/Satellite011/Sensor/Sensor1:    Active           "
"Satellite/Satellite012/Sensor/Sensor2:    Active           "
"Satellite/Satellite021/Sensor/Sensor3:    Active           "
"Satellite/Satellite022/Sensor/Sensor4:    Active           "
"Satellite/Satellite031/Sensor/Sensor5:    Active           "
"Satellite/Satellite032/Sensor/Sensor6:    Active           "
"Satellite/Satellite041/Sensor/Sensor7:    Active           "
"Satellite/Satellite042/Sensor/Sensor8:    Active           "
"Access Interval: 1 Aug 2023 10:00:00.000 to 8 Aug 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,46511.597
44.413,33.852,46511.588
44.413,34.000,37790.191
44.485,33.704,43189.305
44.485,33.852,43189.142
44.485,34.000,43189.367
44.485,34.148,46512.671
44.557,33.556,37789.563
44.557,33.704,35566.737
44.557,33.852,35567.560
44.557,34.000,54969.893
44.557,34.148,54969.754
44.557,34.296,54969.813
44.628,33.556,37789.451
44.628,33.704,37790.004
44.628,33.852,43189.599
44.628,34.000,43189.763
44.628,34.148,54969.950
44.628,34.296,43190.096
44.700,33.556,35566.977
44.700,33.704,46511.540
44.700,33.852,46511.601
44.700,34.000,43189.535
44.700,34.148,35567.185
44.700,34.296,40310.042
44.700,34.444,46511.681
44.772,33.556,43189.115
44.772,33.704,43188.954
44.772,33.852,40309.614
44.772,34.000,37789.718
44.772,34.148,40309.202
44.772,34.296,37789.698
44.772,34.444,37790.020
44.772,34.593,43189.001
44.844,33.556,46512.088
44.844,33.704,35566.996
44.844,33.852,35566.395
44.844,34.000,37789.342
44.844,34.148,40308.804
44.844,34.296,37789.381
44.844,34.444,35566.400
44.844,34.593,35566.667
44.844,34.741,40310.241
44.844,34.889,50388.652
44.844,35.037,54969.704
44.916,33.704,37790.103
44.916,33.852,40309.114
44.916,34.000,37789.226
44.916,34.148,35565.978
44.916,34.296,35566.141
44.916,34.444,37789.424
44.916,34.593,40309.627
44.916,34.741,43189.346
44.916,34.889,43189.918
44.916,35.037,46512.485
44.916,35.185,43189.515
44.988,33.704,46511.473
44.988,33.852,40309.502
44.988,34.000,37789.444
44.988,34.148,35566.143
44.988,34.296,35566.282
44.988,34.444,40309.297
44.988,34.593,46511.441
44.988,34.741,46511.605
44.988,34.889,37790.056
44.988,35.037,35566.900
44.988,35.185,46511.693
44.988,35.333,46511.424
45.060,33.704,37789.769
45.060,33.852,43188.804
45.060,34.000,40309.661
45.060,34.148,37790.145
45.060,34.296,40309.633
45.060,34.444,43188.827
45.060,34.593,40309.324
45.060,34.741,35566.677
45.060,34.889,37789.487
45.060,35.037,37789.496
45.060,35.185,37789.470
45.060,35.333,35567.004
45.060,35.926,37790.338
45.060,36.074,43188.862
45.060,36.222,37789.887
45.060,36.370,37789.588
45.132,33.556,37789.130
45.132,33.704,35566.224
45.132,33.852,37789.812
45.132,34.000,43189.726
45.132,34.148,54969.644
45.132,34.296,46512.203
45.132,34.444,37790.179
45.132,34.593,35566.331
45.132,34.741,35566.179
45.132,34.889,37789.096
45.132,35.037,40308.619
45.132,35.185,37789.200
45.132,35.333,35566.159
45.132,35.481,35566.610
45.132,35.630,43189.545
45.132,35.778,54969.709
45.132,35.926,46512.459
45.132,36.074,37790.056
45.132,36.222,35566.296
45.132,36.370,37789.143
45.204,33.259,35565.816
45.204,33.407,35565.804
45.204,33.556,37789.040
45.204,33.704,37789.469
45.204,33.852,40309.544
45.204,34.000,43189.308
45.204,34.148,43189.635
45.204,34.296,43189.479
45.204,34.444,40309.597
45.204,34.593,40309.130
45.204,34.741,37789.162
45.204,34.889,35565.976
45.204,35.037,35565.767
45.204,35.185,35566.080
45.204,35.333,37789.374
45.204,35.481,37790.004
45.204,35.630,43189.291
45.204,35.778,37790.905
45.204,35.926,43189.403
45.204,36.074,43189.126
45.204,36.222,37789.710
45.204,36.370,37789.101
45.276,33.111,35566.429
45.276,33.259,35565.950
45.276,33.407,35565.933
45.276,33.556,35566.379
45.276,33.704,40309.495
45.276,33.852,46511.334
45.276,34.000,40309.387
45.276,34.148,35566.506
45.276,34.296,37789.767
45.276,34.444,43188.932
45.276,34.593,46511.272
45.276,34.741,37789.519
45.276,34.889,35566.066
45.276,35.037,35565.910
45.276,35.185,35566.177
45.276,35.333,37790.105
45.276,35.481,46511.429
45.276,35.630,37789.897
45.276,35.778,35566.444
45.276,35.926,35566.702
45.276,36.074,46511.361
45.276,36.222,46511.233
45.276,36.370,37789.551
45.348,32.667,35565.891
45.348,33.111,40309.348
45.348,33.259,37790.011
45.348,33.407,40309.442
45.348,33.556,43188.740
45.348,33.704,40309.120
45.348,33.852,35566.343
45.348,34.000,37789.196
45.348,34.148,37789.391
45.348,34.296,37789.209
45.348,34.444,35566.353
45.348,34.593,37789.550
45.348,34.741,43188.696
45.348,34.889,37789.947
45.348,35.037,35567.028
45.348,35.185,43188.867
45.348,35.333,37789.711
45.348,35.778,40308.718
45.348,35.926,37789.134
45.348,36.074,35566.177
45.348,36.222,35566.599
45.348,36.370,43188.631
45.420,32.519,33589.386
45.420,32.667,35565.334
45.420,32.815,35565.547
45.420,32.963,33589.829
45.420,33.111,33590.643
45.420,33.259,46512.076
45.420,33.407,50388.691
45.420,33.556,37790.065
45.420,33.704,35566.214
45.420,33.852,35565.900
45.420,34.000,37788.885
