"Coverage Properties"
"Custom Regions Coverage                                            "
"Grid Altitude: 0.0000 (km)                                         "
"Ground Altitude set from grid altitude reference (On ellipsoid)    "
"Resolution: 0.1000 (deg)                                           "
"Number of Points: 2638                                             "
"Assets required for a valid access: At Least 1                     "
"Assigned Assets:                                                   "
"Constellation/RCO:    Active                                   "
"Satellite/RCO111/Sensor/Sensor1:    Active                 "
"Satellite/RCO112/Sensor/Sensor3:    Active                 "
"Satellite/RCO121/Sensor/Sensor4:    Active                 "
"Satellite/RCO122/Sensor/Sensor5:    Active                 "
"Satellite/RCO131/Sensor/Sensor6:    Active                 "
"Satellite/RCO132/Sensor/Sensor7:    Active                 "
"Satellite/RCO141/Sensor/Sensor8:    Active                 "
"Satellite/RCO142/Sensor/Sensor9:    Active                 "
"Access Interval: 1 May 2023 10:00:00.000 to 8 May 2023 10:00:00.000"
"Regional Acceleration: Automatic                                   "
"Light time delay: Ignored                                          "
"Maximum Sampling Time Step: 360.000 secs                           "
"Minimum Sampling Time Step: 0.010 secs                             "
"Time Convergence: 5.000e-03 secs                                   "
"Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         "

"FOM Properties"
"Average Revisit Time                            "
"Minimum number of assets required: 1            "
"Gaps at ends of analysis interval are considered"
"Satisfaction is not enabled                     "
"FOM value range check is not enabled.           "

"Latitude (deg)","Longitude (deg)","FOM Value (sec)"
44.413,33.704,2501.635
44.413,33.852,2512.609
44.413,34.000,2512.537
44.485,33.704,2510.751
44.485,33.852,2510.665
44.485,34.000,2510.594
44.485,34.148,2510.536
44.557,33.556,2509.159
44.557,33.704,2509.054
44.557,33.852,2508.965
44.557,34.000,2508.891
44.557,34.148,2508.831
44.557,34.296,2508.785
44.628,33.556,2507.640
44.628,33.704,2507.531
44.628,33.852,2507.438
44.628,34.000,2507.360
44.628,34.148,2507.297
44.628,34.296,2507.249
44.700,33.556,2506.262
44.700,33.704,2506.147
44.700,33.852,2506.048
44.700,34.000,2505.967
44.700,34.148,2505.901
44.700,34.296,2505.850
44.700,34.444,2505.814
44.772,33.556,2505.004
44.772,33.704,2504.882
44.772,33.852,2504.778
44.772,34.000,2504.691
44.772,34.148,2504.622
44.772,34.296,2504.568
44.772,34.444,2504.531
44.772,34.593,2504.509
44.844,33.556,2503.853
44.844,33.704,2503.722
44.844,33.852,2503.612
44.844,34.000,2503.521
44.844,34.148,2503.447
44.844,34.296,2503.390
44.844,34.444,2503.350
44.844,34.593,2503.327
44.844,34.741,2503.319
44.844,34.889,2503.328
44.844,35.037,2503.352
44.916,33.704,2502.660
44.916,33.852,2502.542
44.916,34.000,2502.445
44.916,34.148,2502.366
44.916,34.296,2502.306
44.916,34.444,2502.264
44.916,34.593,2502.238
44.916,34.741,2502.230
44.916,34.889,2502.239
44.916,35.037,2502.264
44.916,35.185,2502.307
44.988,33.704,2501.687
44.988,33.852,2501.561
44.988,34.000,2501.457
44.988,34.148,2501.373
44.988,34.296,2501.309
44.988,34.444,2501.263
44.988,34.593,2501.236
44.988,34.741,2501.227
44.988,34.889,2501.236
44.988,35.037,2501.263
44.988,35.185,2501.308
44.988,35.333,2501.371
45.060,33.704,2500.800
45.060,33.852,2500.663
45.060,34.000,2500.551
45.060,34.148,2500.461
45.060,34.296,2500.392
45.060,34.444,2500.344
45.060,34.593,2500.315
45.060,34.741,2500.305
45.060,34.889,2500.314
45.060,35.037,2500.342
45.060,35.185,2500.389
45.060,35.333,2500.456
45.060,35.926,2500.949
45.060,36.074,2501.140
45.060,36.222,2501.371
45.060,36.370,2501.676
45.132,33.556,2500.176
45.132,33.704,2499.995
45.132,33.852,2499.846
45.132,34.000,2499.724
45.132,34.148,2499.627
45.132,34.296,2499.553
45.132,34.444,2499.501
45.132,34.593,2499.470
45.132,34.741,2499.459
45.132,34.889,2499.468
45.132,35.037,2499.497
45.132,35.185,2499.548
45.132,35.333,2499.619
45.132,35.481,2499.713
45.132,35.630,2499.832
45.132,35.778,2499.977
45.132,35.926,2500.153
45.132,36.074,2500.368
45.132,36.222,2500.646
45.132,36.370,2511.973
45.204,33.259,2511.056
45.204,33.407,2499.761
45.204,33.556,2499.479
45.204,33.704,2499.273
45.204,33.852,2499.107
45.204,34.000,2498.974
45.204,34.148,2498.869
45.204,34.296,2498.788
45.204,34.444,2498.732
45.204,34.593,2498.697
45.204,34.741,2498.685
45.204,34.889,2498.695
45.204,35.037,2498.726
45.204,35.185,2498.780
45.204,35.333,2498.857
45.204,35.481,2498.958
45.204,35.630,2499.087
45.204,35.778,2499.247
45.204,35.926,2499.444
45.204,36.074,2499.700
45.204,36.222,2511.019
45.204,36.370,2511.321
45.276,33.111,2533.173
45.276,33.259,2510.483
45.276,33.407,2510.181
45.276,33.556,2498.892
45.276,33.704,2498.636
45.276,33.852,2498.448
45.276,34.000,2498.299
45.276,34.148,2498.183
45.276,34.296,2498.096
45.276,34.444,2498.034
45.276,34.593,2497.996
45.276,34.741,2497.983
45.276,34.889,2497.993
45.276,35.037,2498.026
45.276,35.185,2498.084
45.276,35.333,2498.168
45.276,35.481,2498.279
45.276,35.630,2498.421
45.276,35.778,2498.600
45.276,35.926,2498.834
45.276,36.074,2510.142
45.276,36.222,2510.421
45.276,36.370,2533.139
45.348,32.667,2579.432
45.348,33.111,2532.605
45.348,33.259,2532.343
45.348,33.407,2509.658
45.348,33.556,2509.381
45.348,33.704,2498.102
45.348,33.852,2497.870
45.348,34.000,2497.701
45.348,34.148,2497.571
45.348,34.296,2497.474
45.348,34.444,2497.405
45.348,34.593,2497.364
45.348,34.741,2497.349
45.348,34.889,2497.359
45.348,35.037,2497.396
45.348,35.185,2497.459
45.348,35.333,2497.550
45.348,35.778,2498.046
45.348,35.926,2509.341
45.348,36.074,2509.598
45.348,36.222,2532.307
45.348,36.370,2532.550
45.420,32.519,2602.721
45.420,32.667,2578.819
45.420,32.815,2578.620
45.420,32.963,2555.130
45.420,33.111,2554.908
45.420,33.259,2531.827
45.420,33.407,2531.587
45.420,33.556,2508.909
45.420,33.704,2508.656
45.420,33.852,2497.389
45.420,34.000,2497.182
45.420,34.148,2497.032
45.420,34.296,2496.923
45.420,34.444,2496.846
45.420,34.593,2496.800
45.420,34.741,2496.783
45.420,34.889,2496.795
45.420,35.037,2496.834
45.420,35.185,2496.904
45.420,36.074,2531.549
45.420,36.222,2531.772
45.420,36.370,2543.452
45.420,36.519,2555.079
45.492,32.667,2601.950
45.492,32.815,2578.056
45.492,32.963,2577.875
45.492,33.111,2554.394
45.492,33.259,2554.192
45.492,33.407,2531.120
45.492,33.556,2530.902
45.492,33.704,2508.234
45.492,33.852,2508.005
45.492,34.000,2496.754
45.492,34.148,2496.570
45.492,34.296,2496.443
45.492,34.444,2496.357
45.492,34.593,2496.305
45.492,34.741,2496.286
45.492,34.889,2496.298
45.492,35.037,2496.342
45.492,35.185,2496.420
45.563,32.815,2589.396
45.563,32.963,2577.362
45.563,33.111,2577.199
45.563,33.259,2553.729
45.563,33.407,2553.547
45.563,33.556,2530.486
45.563,33.704,2530.291
45.563,33.852,2507.635
45.563,34.000,2507.431
45.563,34.148,2496.198
45.563,34.296,2496.041
45.563,34.444,2495.939
45.563,34.593,2495.879
45.563,34.741,2495.857
45.563,34.889,2495.871
45.563,35.037,2495.921
45.635,32.963,2576.999
45.635,33.111,2576.735
45.635,33.259,2553.441
45.635,33.407,2553.134
45.635,33.556,2541.547
45.635,33.704,2529.926
45.635,33.852,2518.531
45.635,34.000,2507.114
45.635,34.148,2506.936
45.635,34.296,2495.725
45.635,34.444,2495.597
45.635,34.593,2495.525
45.635,34.741,2495.499
45.635,34.889,2495.514
45.635,35.037,2495.574
45.707,33.111,2576.402
45.707,33.259,2576.177
45.707,33.407,2552.865
45.707,33.556,2552.610
45.707,33.704,2541.029
45.707,33.852,2529.441
45.707,34.000,2518.055
45.707,34.148,2506.673
45.707,34.296,2506.526
45.707,34.444,2495.341
45.707,34.593,2495.249
45.707,34.741,2495.216
45.707,34.889,2495.234
45.779,33.407,2575.690
45.779,33.556,2552.377
45.779,33.704,2552.161
45.779,33.852,2529.274
45.779,34.000,2529.036
45.779,34.148,2517.668
45.779,34.296,2506.321
45.779,34.444,2506.209
45.779,34.593,2495.059
45.779,34.741,2495.013
45.779,34.889,2495.038
45.851,33.704,2551.971
45.851,33.852,2551.791
45.851,34.000,2528.910
45.851,34.148,2528.718
45.851,34.296,2506.280
45.851,34.444,2506.070
45.851,34.593,2506.004
45.851,34.741,2494.908
45.851,34.889,2494.954
45.923,33.704,2574.940
45.923,33.852,2551.649
45.923,34.000,2551.507
45.923,34.148,2528.643
45.923,34.296,2528.500
45.923,34.444,2506.074
45.923,34.593,2505.946
45.923,34.741,2505.968
45.923,34.889,2505.945
45.995,33.704,2574.784
45.995,33.852,2574.688
45.995,34.000,2551.419
45.995,34.148,2551.320
45.995,34.296,2528.488
45.995,34.444,2528.407
45.995,34.593,2506.047
45.995,34.741,2517.112
45.995,41.259,2539.775
45.995,41.407,2551.288
45.995,41.556,2562.911
45.995,41.704,2574.648
46.067,33.407,2622.415
46.067,33.704,2598.264
46.067,33.852,2574.588
46.067,34.000,2574.534
46.067,34.148,2551.298
46.067,34.296,2551.259
46.067,34.444,2528.494
46.067,34.593,2539.807
46.067,34.741,2517.262
46.067,34.889,2539.809
46.067,41.259,2551.164
46.067,41.407,2562.748
46.067,41.556,2574.448
46.139,32.370,2658.690
46.139,32.519,2658.746
46.139,32.667,2658.816
46.139,32.815,2658.902
46.139,32.963,2659.002
46.139,33.111,2646.648
46.139,33.259,2646.719
46.139,33.407,2622.214
46.139,33.556,2622.228
46.139,33.704,2598.147
46.139,33.852,2598.141
46.139,34.000,2574.501
46.139,34.148,2574.503
46.139,34.296,2551.335
46.139,34.444,2562.898
46.139,34.593,2539.946
46.139,34.741,2562.950
46.139,34.889,2539.952
46.139,35.037,2562.902
46.139,41.111,2551.192
46.139,41.259,2562.710
46.139,41.407,2574.358
46.139,41.556,2586.112
46.211,32.222,2658.304
46.211,32.370,2658.347
46.211,32.519,2658.406
46.211,32.667,2658.480
46.211,32.815,2658.570
46.211,32.963,2658.676
46.211,33.111,2658.799
46.211,33.259,2646.465
46.211,33.407,2646.565
46.211,33.556,2622.084
46.211,33.704,2622.137
46.211,33.852,2598.091
46.211,34.000,2598.141
46.211,34.148,2574.567
46.211,34.296,2586.386
46.211,34.444,2563.026
46.211,34.593,2586.496
46.211,34.741,2563.083
46.211,34.889,2586.498
46.211,35.037,2563.035
46.211,35.185,2586.392
46.211,41.111,2562.884
46.211,41.259,2574.416
46.211,41.407,2586.106
46.211,41.556,2597.935
46.211,41.704,2609.857
46.211,41.852,2621.908
46.211,43.333,2658.097
46.211,43.481,2658.069
46.211,43.630,2658.055
46.283,31.778,2657.959
46.283,32.074,2657.974
46.283,32.222,2658.005
46.283,32.370,2658.050
46.283,32.519,2658.112
46.283,32.667,2658.190
46.283,32.815,2658.284
46.283,32.963,2658.396
46.283,33.111,2658.527
46.283,33.259,2658.677
46.283,33.407,2646.370
46.283,33.556,2646.506
46.283,33.704,2622.061
46.283,33.852,2622.168
46.283,34.000,2598.188
46.283,34.148,2610.274
46.283,34.296,2586.502
46.283,34.444,2610.451
46.283,34.593,2586.620
46.283,34.741,2610.510
46.283,34.889,2586.623
46.283,35.037,2610.454
46.283,35.185,2586.513
46.283,40.815,2598.384
46.283,41.111,2598.266
46.283,41.259,2586.307
46.283,41.407,2598.024
46.283,41.556,2609.882
46.283,41.704,2621.882
46.283,41.852,2633.953
46.283,43.185,2657.819
46.283,43.333,2657.775
46.283,43.481,2657.746
46.283,43.630,2657.731
46.355,32.074,2657.718
