"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 10:30:38.039,1 Aug 2023 10:31:39.225,61.186
2,2 Aug 2023 04:19:49.308,2 Aug 2023 04:25:15.444,326.136
3,2 Aug 2023 05:54:17.098,2 Aug 2023 05:59:33.330,316.232
4,2 Aug 2023 07:28:57.299,2 Aug 2023 07:34:12.424,315.125
5,2 Aug 2023 09:03:10.799,2 Aug 2023 09:07:34.107,263.308
6,3 Aug 2023 02:55:13.837,3 Aug 2023 02:58:56.179,222.342
7,3 Aug 2023 04:28:01.004,3 Aug 2023 04:33:31.925,330.921
8,3 Aug 2023 06:02:48.005,3 Aug 2023 06:07:57.844,309.839
9,3 Aug 2023 07:37:12.274,3 Aug 2023 07:42:30.426,318.152
10,3 Aug 2023 09:11:45.204,3 Aug 2023 09:15:01.667,196.464
11,4 Aug 2023 03:02:20.577,4 Aug 2023 03:07:30.371,309.795
12,4 Aug 2023 04:36:24.395,4 Aug 2023 04:41:48.807,324.412
13,4 Aug 2023 06:11:13.725,4 Aug 2023 06:16:24.305,310.580
14,4 Aug 2023 07:45:26.749,4 Aug 2023 07:50:32.089,305.341
15,5 Aug 2023 01:39:25.668,5 Aug 2023 01:40:18.960,53.292
16,5 Aug 2023 03:10:22.254,5 Aug 2023 03:15:50.666,328.412
17,5 Aug 2023 04:44:55.064,5 Aug 2023 04:50:09.582,314.518
18,5 Aug 2023 06:19:32.309,5 Aug 2023 06:24:48.243,315.934
19,5 Aug 2023 07:53:47.637,5 Aug 2023 07:57:56.545,248.907
20,6 Aug 2023 01:45:23.396,6 Aug 2023 01:49:36.701,253.305
21,6 Aug 2023 03:18:36.356,6 Aug 2023 03:24:06.874,330.518
22,6 Aug 2023 04:53:25.420,6 Aug 2023 04:58:34.826,309.406
23,6 Aug 2023 06:27:46.761,6 Aug 2023 06:33:04.353,317.593
24,6 Aug 2023 08:02:28.057,6 Aug 2023 08:05:27.945,179.888
25,7 Aug 2023 01:52:50.929,7 Aug 2023 01:58:06.857,315.929
26,7 Aug 2023 03:27:01.966,7 Aug 2023 03:32:24.307,322.341
27,7 Aug 2023 05:01:49.658,7 Aug 2023 05:07:01.332,311.674
28,7 Aug 2023 06:36:01.888,7 Aug 2023 06:41:00.894,299.006
29,8 Aug 2023 00:29:34.251,8 Aug 2023 00:31:17.758,103.506
30,8 Aug 2023 02:00:56.148,8 Aug 2023 02:06:25.759,329.611
31,8 Aug 2023 03:35:33.027,8 Aug 2023 03:40:46.010,312.984
32,8 Aug 2023 05:10:07.163,8 Aug 2023 05:15:23.798,316.635
33,8 Aug 2023 06:44:25.145,8 Aug 2023 06:48:18.987,233.842

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 03:33:21.758,2 Aug 2023 03:37:56.782,275.024
2,2 Aug 2023 05:06:53.003,2 Aug 2023 05:12:22.515,329.511
3,2 Aug 2023 06:41:43.384,2 Aug 2023 06:46:52.630,309.246
4,2 Aug 2023 08:16:01.889,2 Aug 2023 08:21:17.940,316.051
5,2 Aug 2023 09:50:55.890,2 Aug 2023 09:53:31.320,155.431
6,3 Aug 2023 03:41:02.740,3 Aug 2023 03:46:23.628,320.888
7,3 Aug 2023 05:15:20.567,3 Aug 2023 05:20:40.679,320.113
8,3 Aug 2023 06:50:06.018,3 Aug 2023 06:55:18.929,312.911
9,3 Aug 2023 08:24:17.997,3 Aug 2023 08:29:07.843,289.846
10,4 Aug 2023 02:17:28.193,4 Aug 2023 02:19:47.370,139.177
11,4 Aug 2023 03:49:11.542,4 Aug 2023 03:54:41.413,329.871
12,4 Aug 2023 05:23:51.771,4 Aug 2023 05:29:03.378,311.607
13,4 Aug 2023 06:58:22.520,4 Aug 2023 07:03:39.805,317.285
14,4 Aug 2023 08:32:44.168,4 Aug 2023 08:36:27.460,223.293
15,5 Aug 2023 02:23:45.313,5 Aug 2023 02:28:34.905,289.592
16,5 Aug 2023 03:57:29.456,5 Aug 2023 04:02:57.602,328.145
17,5 Aug 2023 05:32:20.272,5 Aug 2023 05:37:29.638,309.366
18,5 Aug 2023 07:06:36.487,5 Aug 2023 07:11:50.155,313.668
19,5 Aug 2023 08:41:50.063,5 Aug 2023 08:43:50.977,120.913
20,6 Aug 2023 02:31:35.208,6 Aug 2023 02:36:59.334,324.126
21,6 Aug 2023 04:05:58.348,6 Aug 2023 04:11:16.549,318.201
22,6 Aug 2023 05:40:41.440,6 Aug 2023 05:45:55.480,314.040
23,6 Aug 2023 07:14:53.800,6 Aug 2023 07:19:32.116,278.315
24,7 Aug 2023 01:07:42.848,7 Aug 2023 01:10:32.504,169.657
25,7 Aug 2023 02:39:45.692,7 Aug 2023 02:45:16.362,330.670
26,7 Aug 2023 04:14:29.558,7 Aug 2023 04:19:40.165,310.606
27,7 Aug 2023 05:48:57.167,7 Aug 2023 05:54:15.133,317.966
28,7 Aug 2023 07:23:23.423,7 Aug 2023 07:26:53.639,210.216
29,8 Aug 2023 01:14:11.758,8 Aug 2023 01:19:12.554,300.796
