Access;Start Time (UTCG);Stop Time (UTCG);Duration (sec)
1;1 May 2023 10:16:00.192;1 May 2023 10:17:31.540;91.348
2;1 May 2023 11:47:56.371;1 May 2023 11:50:55.059;178.688
3;1 May 2023 13:22:14.570;1 May 2023 13:24:38.611;144.042
4;1 May 2023 14:55:06.740;1 May 2023 14:57:42.866;156.125
5;2 May 2023 10:09:14.737;2 May 2023 10:12:25.818;191.081
6;2 May 2023 11:43:01.259;2 May 2023 11:45:38.992;157.734
7;2 May 2023 13:16:54.895;2 May 2023 13:19:33.556;158.661
8;2 May 2023 14:49:52.410;2 May 2023 14:51:52.868;120.458
9;3 May 2023 10:03:52.092;3 May 2023 10:07:11.054;198.963
10;3 May 2023 11:38:03.920;3 May 2023 11:40:24.724;140.804
11;3 May 2023 13:11:28.134;3 May 2023 13:14:23.532;175.398
12;3 May 2023 14:44:56.353;3 May 2023 14:46:16.045;79.693
13;4 May 2023 09:58:34.589;4 May 2023 10:01:50.849;196.260
14;4 May 2023 11:33:04.396;4 May 2023 11:35:12.724;128.329
15;4 May 2023 13:06:05.926;4 May 2023 13:09:08.340;182.415
16;5 May 2023 08:22:05.099;5 May 2023 08:22:54.760;49.661
17;5 May 2023 09:53:25.139;5 May 2023 09:56:31.987;186.849
18;5 May 2023 11:27:52.108;5 May 2023 11:30:06.593;134.485
19;5 May 2023 13:00:45.534;5 May 2023 13:03:39.580;174.046
20;6 May 2023 08:15:05.704;6 May 2023 08:17:58.604;172.900
21;6 May 2023 09:48:26.243;6 May 2023 09:51:15.611;169.368
22;6 May 2023 11:22:33.804;6 May 2023 11:25:04.874;151.071
23;6 May 2023 12:55:26.892;6 May 2023 12:57:32.476;125.584
24;7 May 2023 08:09:31.352;7 May 2023 08:12:47.895;196.542
25;7 May 2023 09:43:28.905;7 May 2023 09:46:00.209;151.303
26;7 May 2023 11:17:10.624;7 May 2023 11:19:57.796;167.172
27;7 May 2023 12:50:17.583;7 May 2023 12:52:05.115;107.532
28;8 May 2023 08:04:12.334;8 May 2023 08:07:30.469;198.134
29;8 May 2023 09:38:36.281;8 May 2023 09:40:46.984;130.703
;;;
Access;Start Time (UTCG);Stop Time (UTCG);Duration (sec)
1;1 May 2023 11:01:03.015;1 May 2023 11:04:22.012;198.997
2;1 May 2023 12:35:25.510;1 May 2023 12:37:37.269;131.760
3;1 May 2023 14:08:37.610;1 May 2023 14:11:35.751;178.141
4;1 May 2023 15:42:19.052;1 May 2023 15:43:20.498;61.446
5;2 May 2023 10:55:46.776;2 May 2023 10:59:00.516;193.740
6;2 May 2023 12:30:17.820;2 May 2023 12:32:25.741;127.922
7;2 May 2023 14:03:16.650;2 May 2023 14:06:18.298;181.649
8;3 May 2023 09:18:57.082;3 May 2023 09:20:13.679;76.597
9;3 May 2023 10:50:40.262;3 May 2023 10:53:43.540;183.279
10;3 May 2023 12:25:03.526;3 May 2023 12:27:22.905;139.379
11;3 May 2023 13:57:55.930;3 May 2023 14:00:39.772;163.843
12;4 May 2023 09:12:07.965;4 May 2023 09:15:12.390;184.425
13;4 May 2023 10:45:45.019;4 May 2023 10:48:27.244;162.225
14;4 May 2023 12:19:44.371;4 May 2023 12:22:19.489;155.118
15;4 May 2023 13:52:39.180;4 May 2023 13:54:43.506;124.326
16;5 May 2023 09:06:42.472;5 May 2023 09:09:59.675;197.203
17;5 May 2023 10:40:45.740;5 May 2023 10:43:12.362;146.622
18;5 May 2023 12:14:19.080;5 May 2023 12:17:11.043;171.963
19;5 May 2023 13:47:34.526;5 May 2023 13:49:08.984;94.458
20;6 May 2023 09:01:23.535;6 May 2023 09:04:40.829;197.294
21;6 May 2023 10:35:50.506;6 May 2023 10:37:59.793;129.286
