"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 10:32:39.343,1 May 2023 10:33:29.389,50.046
2,1 May 2023 20:38:18.187,1 May 2023 20:40:40.454,142.267
3,2 May 2023 10:26:26.842,2 May 2023 10:27:56.860,90.018
4,2 May 2023 20:32:31.078,2 May 2023 20:34:45.855,134.777
5,3 May 2023 10:20:26.240,3 May 2023 10:22:20.168,113.929
6,3 May 2023 20:26:49.945,3 May 2023 20:28:42.890,112.945
7,4 May 2023 10:14:16.827,4 May 2023 10:16:39.723,142.896
8,4 May 2023 20:21:18.770,4 May 2023 20:22:13.656,54.886
9,5 May 2023 10:08:09.331,5 May 2023 10:10:53.085,163.754
10,6 May 2023 10:02:13.373,6 May 2023 10:05:00.400,167.027
11,6 May 2023 21:38:48.543,6 May 2023 21:39:30.475,41.932
12,7 May 2023 09:56:22.181,7 May 2023 09:59:01.205,159.024
13,7 May 2023 21:32:26.843,7 May 2023 21:33:57.198,90.355
14,8 May 2023 09:50:26.520,8 May 2023 09:53:03.044,156.524
15,8 May 2023 21:26:22.821,8 May 2023 21:28:19.178,116.357
16,9 May 2023 09:44:35.012,9 May 2023 09:46:56.467,141.455
17,9 May 2023 21:20:28.535,9 May 2023 21:22:35.047,126.512
18,10 May 2023 09:38:48.070,10 May 2023 09:41:07.082,139.013
19,10 May 2023 21:14:39.443,10 May 2023 21:16:49.047,129.604
20,11 May 2023 09:33:06.304,11 May 2023 09:35:13.537,127.233
21,11 May 2023 21:08:53.567,11 May 2023 21:11:04.204,130.637
22,12 May 2023 09:27:29.954,12 May 2023 09:29:18.897,108.943
23,12 May 2023 21:03:06.288,12 May 2023 21:05:27.609,141.321
24,13 May 2023 09:21:55.836,13 May 2023 09:23:21.809,85.973
25,13 May 2023 20:57:25.644,13 May 2023 20:59:42.863,137.219
26,14 May 2023 09:16:22.943,14 May 2023 09:17:12.150,49.207
27,14 May 2023 20:51:29.231,14 May 2023 20:53:53.253,144.022
28,15 May 2023 20:45:38.026,15 May 2023 20:47:59.329,141.303

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 21:22:39.836,1 May 2023 21:24:44.109,124.273
2,2 May 2023 09:40:56.889,2 May 2023 09:43:17.642,140.754
3,2 May 2023 21:16:49.048,2 May 2023 21:18:57.477,128.429
4,3 May 2023 09:35:13.342,3 May 2023 09:37:25.693,132.351
5,3 May 2023 21:11:03.356,3 May 2023 21:13:11.372,128.015
6,4 May 2023 09:29:34.039,4 May 2023 09:31:30.312,116.273
7,4 May 2023 21:05:15.153,4 May 2023 21:07:34.481,139.328
8,5 May 2023 09:24:03.281,5 May 2023 09:25:35.950,92.669
9,5 May 2023 20:59:31.645,5 May 2023 21:01:52.068,140.423
10,6 May 2023 09:18:24.761,6 May 2023 09:19:32.381,67.620
11,6 May 2023 20:53:41.427,6 May 2023 20:56:04.151,142.723
12,7 May 2023 20:47:48.738,7 May 2023 20:50:11.935,143.197
13,8 May 2023 20:41:58.831,8 May 2023 20:44:20.313,141.482
14,9 May 2023 10:30:17.586,9 May 2023 10:31:25.706,68.120
15,9 May 2023 20:36:08.043,9 May 2023 20:38:28.844,140.801
16,10 May 2023 10:24:12.568,10 May 2023 10:25:51.612,99.044
17,10 May 2023 20:30:23.286,10 May 2023 20:32:31.955,128.669
18,11 May 2023 10:18:11.807,11 May 2023 10:20:13.929,122.122
19,11 May 2023 20:24:44.793,11 May 2023 20:26:23.655,98.862
20,12 May 2023 10:11:56.975,12 May 2023 10:14:31.215,154.240
21,12 May 2023 20:19:18.860,12 May 2023 20:19:54.616,35.756
22,13 May 2023 10:05:55.854,13 May 2023 10:08:42.202,166.348
23,14 May 2023 10:00:01.870,14 May 2023 10:02:47.378,165.509
24,14 May 2023 21:36:22.751,14 May 2023 21:37:27.885,65.134
25,15 May 2023 09:54:09.533,15 May 2023 09:56:46.927,157.394
26,15 May 2023 21:30:09.590,15 May 2023 21:31:50.637,101.047
27,16 May 2023 09:48:14.893,16 May 2023 09:50:48.299,153.406

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 May 2023 12:01:14.944,1 May 2023 12:04:01.580,166.636
2,1 May 2023 23:37:40.947,1 May 2023 23:38:37.028,56.081
3,2 May 2023 11:55:24.276,2 May 2023 11:58:01.498,157.223
4,2 May 2023 23:31:25.585,2 May 2023 23:33:01.134,95.548
5,3 May 2023 11:49:28.217,3 May 2023 11:52:03.897,155.680
6,3 May 2023 23:25:23.680,3 May 2023 23:27:22.908,119.228
7,4 May 2023 11:43:37.303,4 May 2023 11:45:58.041,140.738
8,4 May 2023 23:19:30.521,4 May 2023 23:21:37.709,127.188
9,5 May 2023 11:37:50.954,5 May 2023 11:40:09.151,138.198
10,5 May 2023 23:13:42.410,5 May 2023 23:15:52.047,129.638
11,6 May 2023 11:32:09.719,6 May 2023 11:34:15.217,125.497
12,6 May 2023 23:07:56.026,6 May 2023 23:10:09.740,133.715
13,7 May 2023 11:26:34.707,7 May 2023 11:28:20.880,106.172
14,7 May 2023 23:02:09.680,7 May 2023 23:04:31.341,141.661
15,8 May 2023 11:20:59.307,8 May 2023 11:22:22.984,83.678
16,8 May 2023 22:56:27.029,8 May 2023 22:58:45.737,138.708
17,9 May 2023 11:15:28.756,9 May 2023 11:16:10.404,41.648
18,9 May 2023 22:50:31.382,9 May 2023 22:52:55.526,144.144
19,10 May 2023 22:44:40.800,10 May 2023 22:47:01.568,140.768
20,11 May 2023 12:33:15.473,11 May 2023 12:33:56.798,41.325
21,11 May 2023 22:38:49.887,11 May 2023 22:41:12.297,142.410
22,12 May 2023 12:27:00.824,12 May 2023 12:28:25.454,84.631
23,12 May 2023 22:33:02.160,12 May 2023 22:35:18.352,136.192
