"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 10:33:23.051,1 Aug 2023 10:36:05.113,162.062
2,2 Aug 2023 03:02:56.159,2 Aug 2023 03:06:12.625,196.465
3,2 Aug 2023 04:45:32.653,2 Aug 2023 04:52:28.819,416.165
4,2 Aug 2023 06:31:35.784,2 Aug 2023 06:38:14.613,398.830
5,2 Aug 2023 08:17:20.633,2 Aug 2023 08:24:02.480,401.847
6,2 Aug 2023 10:03:37.591,2 Aug 2023 10:07:08.681,211.090
7,3 Aug 2023 02:34:05.344,3 Aug 2023 02:36:33.200,147.856
8,3 Aug 2023 04:16:12.758,3 Aug 2023 04:23:08.254,415.496
9,3 Aug 2023 06:02:11.744,3 Aug 2023 06:08:51.540,399.796
10,3 Aug 2023 07:48:00.536,3 Aug 2023 07:54:44.010,403.474
11,3 Aug 2023 09:34:02.386,3 Aug 2023 09:38:05.568,243.182
12,4 Aug 2023 02:05:23.955,4 Aug 2023 02:06:39.597,75.643
13,4 Aug 2023 03:46:53.819,4 Aug 2023 03:53:47.603,413.784
14,4 Aug 2023 05:32:47.480,4 Aug 2023 05:39:28.643,401.163
15,4 Aug 2023 07:18:40.390,4 Aug 2023 07:25:24.235,403.845
16,4 Aug 2023 09:04:31.947,4 Aug 2023 09:08:57.963,266.016
17,5 Aug 2023 03:17:36.066,5 Aug 2023 03:24:26.739,410.673
18,5 Aug 2023 05:03:23.112,5 Aug 2023 05:10:05.981,402.869
19,5 Aug 2023 06:49:20.102,5 Aug 2023 06:56:03.338,403.237
20,5 Aug 2023 08:35:04.451,5 Aug 2023 08:39:49.417,284.966
21,6 Aug 2023 02:48:18.380,6 Aug 2023 02:55:05.546,407.166
22,6 Aug 2023 04:33:58.756,6 Aug 2023 04:40:43.599,404.843
23,6 Aug 2023 06:19:59.593,6 Aug 2023 06:26:42.288,402.695
24,6 Aug 2023 08:05:38.989,6 Aug 2023 08:10:40.233,301.244
25,7 Aug 2023 02:19:02.650,7 Aug 2023 02:25:43.895,401.244
26,7 Aug 2023 04:04:34.437,7 Aug 2023 04:11:21.546,407.110
27,7 Aug 2023 05:50:38.791,7 Aug 2023 05:57:20.883,402.092
28,7 Aug 2023 07:36:14.771,7 Aug 2023 07:41:38.077,323.307
29,8 Aug 2023 01:49:48.567,8 Aug 2023 01:56:21.619,393.052
30,8 Aug 2023 03:35:10.201,8 Aug 2023 03:41:59.818,409.616
31,8 Aug 2023 05:21:17.631,8 Aug 2023 05:27:58.863,401.232
32,8 Aug 2023 07:06:51.723,8 Aug 2023 07:12:36.334,344.611

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,2 Aug 2023 03:53:06.015,2 Aug 2023 03:59:38.749,392.734
2,2 Aug 2023 05:38:27.283,2 Aug 2023 05:45:16.984,409.702
3,2 Aug 2023 07:24:34.801,2 Aug 2023 07:31:16.002,401.201
4,2 Aug 2023 09:10:08.857,2 Aug 2023 09:15:54.180,345.323
5,3 Aug 2023 03:23:54.717,3 Aug 2023 03:30:15.620,380.902
6,3 Aug 2023 05:09:03.460,3 Aug 2023 05:15:55.562,412.102
7,3 Aug 2023 06:55:13.218,3 Aug 2023 07:01:53.401,400.183
8,3 Aug 2023 08:40:46.739,3 Aug 2023 08:46:50.538,363.799
9,4 Aug 2023 02:54:46.929,4 Aug 2023 03:00:51.410,364.481
10,4 Aug 2023 04:39:40.175,4 Aug 2023 04:46:34.415,414.240
11,4 Aug 2023 06:25:51.195,4 Aug 2023 06:32:30.369,399.174
12,4 Aug 2023 08:11:25.311,4 Aug 2023 08:17:42.472,377.162
13,5 Aug 2023 02:25:44.029,5 Aug 2023 02:31:26.187,342.158
14,5 Aug 2023 04:10:17.575,5 Aug 2023 04:17:13.500,415.926
15,5 Aug 2023 05:56:28.712,5 Aug 2023 06:03:07.039,398.328
16,5 Aug 2023 07:42:04.388,5 Aug 2023 07:48:31.216,386.827
17,6 Aug 2023 01:56:48.847,6 Aug 2023 02:01:59.218,310.371
18,6 Aug 2023 03:40:55.808,6 Aug 2023 03:47:52.774,416.966
19,6 Aug 2023 05:27:05.778,6 Aug 2023 05:33:43.855,398.077
20,6 Aug 2023 07:12:43.846,6 Aug 2023 07:19:17.465,393.619
21,6 Aug 2023 09:00:18.893,6 Aug 2023 09:01:21.968,63.075
22,7 Aug 2023 01:28:13.106,7 Aug 2023 01:32:29.639,256.533
23,7 Aug 2023 03:11:35.029,7 Aug 2023 03:18:32.171,417.143
24,7 Aug 2023 04:57:42.422,7 Aug 2023 05:04:20.675,398.253
25,7 Aug 2023 06:43:23.558,7 Aug 2023 06:50:02.135,398.577
26,7 Aug 2023 08:30:07.025,7 Aug 2023 08:32:46.942,159.917
27,8 Aug 2023 00:59:38.063,8 Aug 2023 01:02:55.955,197.892
28,8 Aug 2023 02:42:15.403,8 Aug 2023 02:49:11.622,416.218
29,8 Aug 2023 04:28:18.695,8 Aug 2023 04:34:57.499,398.804
30,8 Aug 2023 06:14:03.421,8 Aug 2023 06:20:45.191,401.770
31,8 Aug 2023 08:00:20.986,8 Aug 2023 08:03:50.810,209.824

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 10:14:58.699,1 Aug 2023 10:21:39.268,400.569
2,1 Aug 2023 12:00:29.693,1 Aug 2023 12:07:15.774,406.081
3,1 Aug 2023 13:46:35.288,1 Aug 2023 13:53:15.867,400.579
4,1 Aug 2023 15:32:08.999,1 Aug 2023 15:37:40.052,331.053
5,2 Aug 2023 09:45:45.853,2 Aug 2023 09:52:17.908,392.055
6,2 Aug 2023 11:31:06.299,2 Aug 2023 11:37:55.057,408.758
7,2 Aug 2023 13:17:15.012,2 Aug 2023 13:23:54.470,399.459
8,2 Aug 2023 15:02:47.302,2 Aug 2023 15:08:39.399,352.097
9,3 Aug 2023 09:16:35.867,3 Aug 2023 09:22:55.688,379.821
10,3 Aug 2023 11:01:43.331,3 Aug 2023 11:08:34.653,411.321
11,3 Aug 2023 12:47:54.295,3 Aug 2023 12:54:32.542,398.247
12,3 Aug 2023 14:33:26.441,3 Aug 2023 14:39:35.147,368.707
13,4 Aug 2023 08:47:29.537,4 Aug 2023 08:53:32.343,362.807
14,4 Aug 2023 10:32:20.934,4 Aug 2023 10:39:14.528,413.593
15,4 Aug 2023 12:18:33.106,4 Aug 2023 12:25:10.218,397.113
16,4 Aug 2023 14:04:06.210,4 Aug 2023 14:10:26.926,380.715
17,5 Aug 2023 08:18:28.368,5 Aug 2023 08:24:07.931,339.563
18,5 Aug 2023 10:02:59.252,5 Aug 2023 10:09:54.646,415.394
19,5 Aug 2023 11:49:11.437,5 Aug 2023 11:55:47.735,396.298
20,5 Aug 2023 13:34:46.457,5 Aug 2023 13:41:15.751,389.294
21,6 Aug 2023 07:49:35.446,6 Aug 2023 07:54:41.709,306.263
22,6 Aug 2023 09:33:38.440,6 Aug 2023 09:40:34.950,416.511
23,6 Aug 2023 11:19:49.293,6 Aug 2023 11:26:25.426,396.133
24,6 Aug 2023 13:05:27.047,6 Aug 2023 13:12:02.379,395.332
25,6 Aug 2023 14:52:36.405,6 Aug 2023 14:54:24.811,108.406
26,7 Aug 2023 07:21:02.811,7 Aug 2023 07:25:12.745,249.934
27,7 Aug 2023 09:04:18.652,7 Aug 2023 09:11:15.376,416.725
28,7 Aug 2023 10:50:26.713,7 Aug 2023 10:57:03.058,396.345
29,7 Aug 2023 12:36:07.862,7 Aug 2023 12:42:47.389,399.527
30,7 Aug 2023 14:22:39.353,7 Aug 2023 14:25:39.832,180.479
31,8 Aug 2023 06:52:25.975,8 Aug 2023 06:55:39.401,193.426
32,8 Aug 2023 08:35:00.058,8 Aug 2023 08:41:55.850,415.792

"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Aug 2023 11:07:30.370,1 Aug 2023 11:14:27.095,416.724
2,1 Aug 2023 12:53:38.391,1 Aug 2023 13:00:14.740,396.350
3,1 Aug 2023 14:39:19.584,1 Aug 2023 14:45:59.149,399.565
4,1 Aug 2023 16:25:50.744,1 Aug 2023 16:28:51.859,181.115
5,2 Aug 2023 08:55:38.034,2 Aug 2023 08:58:50.918,192.884
6,2 Aug 2023 10:38:11.795,2 Aug 2023 10:45:07.568,415.773
7,2 Aug 2023 12:24:15.426,2 Aug 2023 12:30:52.415,396.989
8,2 Aug 2023 14:10:00.514,2 Aug 2023 14:16:42.601,402.088
9,2 Aug 2023 15:56:10.717,2 Aug 2023 15:59:53.949,223.232
10,3 Aug 2023 08:26:48.188,3 Aug 2023 08:29:11.703,143.515
11,3 Aug 2023 10:08:52.765,3 Aug 2023 10:15:48.004,415.239
12,3 Aug 2023 11:54:52.159,3 Aug 2023 12:01:30.220,398.061
13,3 Aug 2023 13:40:41.460,3 Aug 2023 13:47:24.580,403.119
14,3 Aug 2023 15:26:38.309,3 Aug 2023 15:30:50.182,251.873
15,4 Aug 2023 07:58:11.772,4 Aug 2023 07:59:15.043,63.271
16,4 Aug 2023 09:39:34.894,4 Aug 2023 09:46:28.353,413.460
17,4 Aug 2023 11:25:28.669,4 Aug 2023 11:32:08.233,399.563
18,4 Aug 2023 13:11:22.324,4 Aug 2023 13:18:05.299,402.976
19,4 Aug 2023 14:57:09.929,4 Aug 2023 15:01:42.424,272.495
20,5 Aug 2023 09:10:18.026,5 Aug 2023 09:17:08.483,410.457
21,5 Aug 2023 10:56:05.082,5 Aug 2023 11:02:46.508,401.426
22,5 Aug 2023 12:42:03.017,5 Aug 2023 12:48:45.174,402.156
23,5 Aug 2023 14:27:44.155,5 Aug 2023 14:32:35.496,291.340
24,6 Aug 2023 08:41:01.478,6 Aug 2023 08:47:48.268,406.790
25,6 Aug 2023 10:26:41.525,6 Aug 2023 10:33:25.117,403.592
26,6 Aug 2023 12:12:43.460,6 Aug 2023 12:19:24.886,401.425
27,6 Aug 2023 13:58:20.110,6 Aug 2023 14:03:27.814,307.704
28,7 Aug 2023 08:11:46.916,7 Aug 2023 08:18:27.566,400.650
29,7 Aug 2023 09:57:18.024,7 Aug 2023 10:04:04.072,406.048
30,7 Aug 2023 11:43:23.577,7 Aug 2023 11:50:04.167,400.590
31,7 Aug 2023 13:28:57.313,7 Aug 2023 13:34:28.128,330.815
