name,mass (kg),alt (km),gsd,alt/gsd,power (W)
MANTIS,0.5,500,32,15625,10
TriScape 100,1.2,500,4.75,105263,6
MultiScape 100,1.2,500,4.75,105263,6
HyperScape 100,1.2,500,4.75,105263,6
HyperScout1,1.3,500,70,7143,9
CHAMELEON,1.6,500,20,25000,10
HyperScout2,1.7,500,75,6667,11
Caiman,1.8,500,3.25,153846,10
iSIM-90 Dual Channel,4,500,2,250000,25
SEEING 130 Wide,8,500,30,16667,0
DRAGONEYE,17,500,1.4,357143,40
SV-35,35,500,1,500000,170
SV-42,40,500,0.75,666667,170
SV-50,130,500,0.5,1000000,275
SV-80,250,500,0.35,1428571,350
