name,pressure (bar),volume (L),PV,dry mass (kg)
80274-1,26,45.1,1172.6,6.7
80275-1,30,32.1,963,7.7
80276-1,22,32.1,706.2,4.1
80278-1,6.9,4.7,32.43,1.5
80285-1,22,33.6,739.2,7
80290-1,27.3,12.5,341.25,2.5
80303-1,27.3,32.2,879.06,5.9
80304-1,27.6,38.5,1062.6,3.5
80337-1,30,28.3,849,6.4
80342-1,36.2,14.5,524.9,2.7
80353-1,27.6,58.6,1617.36,3.9
80358-1,27.3,32.2,879.06,5.9
80359-1,26,26,676,7
80384-1,24.1,32.2,776.02,5.9
80389-1,22.1,22.5,497.25,3.7
80397-1,22.1,30.2,667.42,4.5
80401-1,24.1,33.6,809.76,7
80421-1,27.6,8.6,237.36,1.93
80444-1,23.4,10,234,2.7
80454-1,20.7,24.9,515.43,5.2
80455-1,22.1,37.6,830.96,5.6
80468-1,22.1,22.5,497.25,3.7
80498-1,36.2,14.5,524.9,2.7
80540-1,17.2,30.1,517.72,2.45
80591-1,32.1,14.5,465.45,2.7
80588-1,27.6,1.3,35.88,0.64
80600-1,27,1.19,32.13,1.29
80608-1,27.58,9.435,260.2173,2.345
